paper_id,pdf_filename,title,year,doi,target_compound_role,evidence_category,include_as_1_4_DMN_degradation_evidence,include_as_pathway_step,biological_system,analytical_method,substrate_information,product_information,gene_information,enzyme_information,curation_summary,exclusion_or_limitation,verification_status
DMN-P01,"1,4-dimethylnaphthalene treatment of seed potatoes affects tuber size distribution..pdf","1,4-Dimethylnaphthalene Treatment of Seed Potatoes Affects Tuber Size Distribution",2005,,Applied potato sprout inhibitor,Plant/agronomic response,No,No,Potato seed tubers,Agronomic and residue measurements,"1,4-DMN treatment",No microbial transformation products reported,,,"Evaluates sprout inhibition, emergence, yield, and tuber-size distribution.",No microbial biodegradation experiment and no substrate-to-product transformation.,Full PDF screened
DMN-P02,Anaerobic biodegradation of benzo(a)pyrene by a novel Cellulosimicrobium cellulans CWS2 isolated from polycyclic aromatic hydrocarbon-contaminated soil..pdf,Anaerobic biodegradation of benzo(a)pyrene by a novel Cellulosimicrobium cellulans CWS2,2017,10.1016/j.bjm.2017.04.014,Not studied,Other-substrate biodegradation,No,No,Cellulosimicrobium cellulans CWS2,GC-MS and benzo(a)pyrene removal assays,Benzo(a)pyrene,Benzo(a)pyrene-related metabolites,,,Direct biodegradation evidence for benzo(a)pyrene.,"Does not test 1,4-DMN.",Full PDF screened; DOI present in PDF
DMN-P03,"Biodegradation of Crude Oil by Nitrate-Reducing, Sulfate-Reducing, and Methanogenic Microbial Communities under High-Pressure Conditions..pdf","Biodegradation of Crude Oil by Nitrate-Reducing, Sulfate-Reducing, and Methanogenic Microbial Communities under High-Pressure Conditions",2024,10.3390/microorganisms12081543,One named isomer within a pooled crude-oil C2-naphthalene fraction,Indirect mixture-level biodegradation evidence,Yes - indirect,No,"Sulfate-reducing enrichment from Jilin Oilfield production water; Desulfomicrobium, Desulfovibrio, Desulfotomaculum/Desulfovirgula, and Thermodesulfovibrio reported",GC-MS total-ion chromatograms of crude-oil aromatic fractions,"Crude-oil C2-naphthalene fraction containing 1,4-DMN and multiple other isomers","Products not identified for 1,4-DMN","No 1,4-DMN-specific gene identified","No 1,4-DMN-specific enzyme identified",C2-naphthalene fraction was largely degraded after 90 days under sulfate-reducing atmospheric- and high-pressure incubations at 60 C.,"1,4-DMN was not quantified separately from the pooled isomer fraction; no reaction products or specific degrader were assigned.",Full PDF screened; DOI present in PDF
DMN-P04,"Changes in gene expression in potato meristems treated with the sprout suppressor 1,4-dimethylnaphthalene are dependent on tuber age and dormancy status..pdf","Changes in gene expression in potato meristems treated with the sprout suppressor 1,4-dimethylnaphthalene are dependent on tuber age and dormancy status",2020,10.1371/journal.pone.0235444,Potato sprout inhibitor,Plant transcriptomic response,No,No,Solanum tuberosum meristems,RNA-seq,"1,4-DMN exposure",No degradation products reported,"Plant stress, DNA replication, and cell-division responses",,Characterizes potato gene-expression responses to treatment.,Response genes are not microbial degradation genes and no chemical transformation was measured.,Full PDF screened; DOI present in PDF
DMN-P05,Diesel and Crude Oil Biodegradation by Cold-Adapted Microbial Communities in the Labrador Sea..pdf,Diesel and Crude Oil Biodegradation by Cold-Adapted Microbial Communities in the Labrador Sea,2021,10.1128/AEM.00800-21,Not specifically resolved,Petroleum-mixture biodegradation,No,No,Cold marine sediment microbial communities,"Hydrocarbon chemistry, amplicon sequencing, and metagenomics",Diesel and crude oil,"No 1,4-DMN-specific products",General hydrocarbon-degradation potential,General alkane/aromatic degradation potential,Demonstrates cold marine petroleum biodegradation.,"Does not provide isomer-specific evidence for 1,4-DMN.",Full PDF screened; DOI present in PDF
DMN-P06,"Exposure of Potato Tuber to Varying Concentrations of 1,4-Dimethylnaphthalene Decrease the Expression of Transcripts for Plastid Proteins.pdf","Exposure of Potato Tuber to Varying Concentrations of 1,4-Dimethylnaphthalene Decrease the Expression of Transcripts for Plastid Proteins",2016,10.1007/s12230-016-9504-x,Potato sprout inhibitor,Plant transcriptomic response,No,No,Potato tubers,Transcript-expression analysis,"1,4-DMN exposure",No degradation products reported,Plant plastid-associated transcript responses,,Measures potato transcriptional responses.,No microbial biodegradation or metabolite identification.,Full PDF screened; DOI present in PDF
DMN-P07,"Functionalized derivatives of 1,4-dimethylnaphthalene as precursors for biomedical applications synthesis, structures, spectroscopy and photochemical activation in the presence of dioxygen..pdf","Functionalized derivatives of 1,4-dimethylnaphthalene as precursors for biomedical applications",2012,10.1039/c2ob26236c,Chemical precursor,Synthetic/photochemical chemistry,No,No,No microbial system,"Chemical synthesis, spectroscopy, and photochemistry","Functionalized 1,4-DMN derivatives",Synthetic derivatives and endoperoxides,,,Describes non-biological synthesis and photochemical activation.,Chemical products are not microbial degradation products.,Full PDF screened; DOI present in PDF
DMN-P08,Genome sequence analysis of deep sea Aspergillus sydowii BOBA1 and effect of high pressure on biodegradation of spent engine oil..pdf,Genome sequence analysis of deep sea Aspergillus sydowii BOBA1 and effect of high pressure on biodegradation of spent engine oil,2021,10.1038/s41598-021-88525-9,Not specifically studied,Other-substrate biodegradation,No,No,Aspergillus sydowii BOBA1,Spent-engine-oil degradation and genome analysis,Spent engine oil,"No 1,4-DMN-specific products",General hydrocarbon/xenobiotic pathway genes,"General dioxygenase, hydrolase, reductase, and peroxidase annotations",Supports fungal spent-oil degradation.,"Genome annotations do not establish 1,4-DMN degradation.",Full PDF screened; DOI present in PDF
DMN-P09,"Structural phase transition in a charge-transfer compound tropylium hexafluoridoantimonateV-1,4-dimethylnaphthalene ..pdf","Structural phase transition in a charge-transfer compound: tropylium hexafluoridoantimonate(V)-1,4-dimethylnaphthalene",2022,10.1107/S2053229622005320,Crystal component,Crystallography/materials chemistry,No,No,No biological system,X-ray crystallography and dielectric measurements,"1,4-DMN charge-transfer crystal",No biodegradation products,,,Describes crystal structure and phase transition.,No biodegradation experiment.,Full PDF screened; DOI present in PDF
DMN-P10,Substrate interactions during aerobic biodegradation of benzene..pdf,Substrate interactions during aerobic biodegradation of benzene,1989,10.1128/aem.55.12.3221-3225.1989,Directly measured mixed-culture substrate,Direct parent-compound disappearance,Yes - direct,No,Two undefined aerobic mixed bacterial biofilm inocula acclimated in rotating-drum systems,Pentane extraction followed by GC-FID; ATP biomass assay,"1,4-DMN at approximately 0.20 mg/L, alone or in factorial mixtures of aromatic compounds",Products and mineralization were not measured,No genes identified,No enzymes identified,"DMN disappearance ranged with mixture composition; authors report aromatic hydrocarbons including DMN were degraded within 11 days, with many DMN-containing treatments reaching 100% disappearance.","Undefined consortium, no isolate assignment, no products, no mineralization measurement, and no gene/enzyme evidence.",Full PDF screened; DOI verified through Crossref
