paper_id,pdf_filename,title,year,doi,screening_decision,reason,evidence_category,organism_or_system,products_or_metabolites_reported,gene_or_enzyme_reported,database_use,integration_status
ACE-P01,A Comprehensive Review of Multifunctional Nanozymes for Degradation and Detection of Organophosphorus Pesticides in the Environment..pdf,A comprehensive review of multifunctional nanozymes for degradation and detection of organophosphorus pesticides in the environment,,,Exclude,Review/nanozyme focus; not primary microbial acephate degradation evidence.,Review/background,,,,Background only,Not integrated
ACE-P02,Aerobic dichlorvos degradation by iPseudomonas stutzerii smk complete pathway and implications for toxicity in iMus musculusi..pdf,Aerobic dichlorvos degradation by Pseudomonas stutzeri,2020,,Exclude,"Wrong target pesticide; dichlorvos, not acephate.",Wrong pesticide,Pseudomonas stutzeri,,,Do not use for acephate pathway,Not integrated
ACE-P03,Aflatoxin Bâ‚ degradation by a Pseudomonas strain..pdf,Aflatoxin B1 degradation by a Pseudomonas strain,,,Exclude,Wrong substrate; aflatoxin.,Wrong substrate,Pseudomonas strain,,,Do not use for acephate pathway,Not integrated
ACE-P04,Are the issues involving acephate already resolved A scientometric review..pdf,Are the issues involving acephate already resolved? A scientometric review,2023,10.1016/j.envres.2023.117034,Exclude,Scientometric review; useful for context only.,Review/background,,,,Background only,Not integrated
ACE-P05,Biodegradation of Uric Acid by Bacillus paramycoidesi-YC02..pdf,Biodegradation of uric acid by Bacillus paramycoides YC02,2023,10.3390/microorganisms11081989,Exclude,Wrong substrate; uric acid.,Wrong substrate,Bacillus paramycoides YC02,,,Do not use for acephate pathway,Not integrated
ACE-P06,Biodegradation of acephate and methamidophos by a soil bacterium Pseudomonas aeruginosa strain Is-6..pdf,Biodegradation of acephate and methamidophos by a soil bacterium Pseudomonas aeruginosa strain Is-6,2014,10.1080/03601234.2013.836868,Include,"Primary microbial degradation paper with organism, products, pathway proposal, HPLC and ESI-MS.",Direct microbial pathway evidence,Pseudomonas aeruginosa strain Is-6,"Methamidophos; O,S-dimethyl phosphorothioate (DMPT); acetic acid residue; final phosphoric acid and CO2 proposed",Carboxylesterase and methamidophos phosphoamide hydrolase proposed; no cloned gene,Evidence + pathway steps,Ready for manual review
ACE-P07,Biodegradation of acephate by Bacillus paramycoides NDZ and its degradation pathway..pdf,Biodegradation of acephate by Bacillus paramycoides NDZ and its degradation pathway,2020,10.1007/s11274-020-02931-1,Include,Primary microbial degradation paper with GC-MS pathway proposal.,Direct microbial pathway evidence,Bacillus paramycoides NDZ,"Methamidophos detected; methamidophos further degradation to O,S-dimethyl hydrogen phosphorothioate, then CO2/H3PO4 proposed",Amidases and phosphotriesterases proposed; no specific gene,Evidence + pathway steps,Ready for manual review
ACE-P08,Biodegradation of pesticide in agricultural soil employing entomopathogenic fungi Current state of the art and future perspectives..pdf,Biodegradation of pesticide in agricultural soil employing entomopathogenic fungi,2023,10.1016/j.heliyon.2023.e23406,Exclude,Review; not acephate-specific primary pathway evidence.,Review/background,Entomopathogenic fungi,,,Background only,Not integrated
ACE-P09,Contribution of insect gut microbiota and their associated enzymes in insect physiology and biodegradation of pesticides..pdf,Contribution of insect gut microbiota and their associated enzymes in insect physiology and biodegradation of pesticides,2022,10.3389/fmicb.2022.979383,Exclude,Review; can guide future searches but not primary acephate evidence.,Review/background,Insect gut microbiota,,General enzyme classes,Background only,Not integrated
ACE-P10,Cytotoxic and Genotoxic Effects of Acephate on Human Sperm..pdf,Cytotoxic and genotoxic effects of acephate on human sperm,2017,10.1155/2017/3874817,Exclude,"Toxicology, not degradation.",Toxicology,Human sperm,,,Do not use for pathway,Not integrated
