step_id,pesticide,pathway_variant,step_order,substrate,product,organism_or_system,gene,enzyme,evidence_type,arrow_style_recommendation,source_doi,confidence,notes,integration_status
ACE-S01,Acephate,Pseudomonas aeruginosa Is-6,1,Acephate,Methamidophos,Pseudomonas aeruginosa strain Is-6,,Carboxylesterase proposed,Detected metabolite in whole-cell isolate,Dashed,10.1080/03601234.2013.836868,High for metabolite; moderate for enzyme,Transient methamidophos detected by HPLC/ESI-MS.,Ready for manual review
ACE-S02,Acephate,Pseudomonas aeruginosa Is-6,2,Methamidophos,"O,S-dimethyl phosphorothioate (DMPT)",Pseudomonas aeruginosa strain Is-6,,Methamidophos phosphoamide hydrolase proposed,Detected metabolite in whole-cell isolate,Dashed,10.1080/03601234.2013.836868,Moderate,DMPT was detected in trace/transient amounts.,Ready for manual review
ACE-S03,Acephate,Pseudomonas aeruginosa Is-6,3,"O,S-dimethyl phosphorothioate (DMPT)",Phosphoric acid + CO2,Pseudomonas aeruginosa strain Is-6,,,Proposed/mineralization endpoint,Dotted,10.1080/03601234.2013.836868,Low to moderate,Final transformation proposed from mineralization logic; not all final products directly quantified.,Ready for manual review
ACE-S04,Acephate,Bacillus paramycoides NDZ,1,Acephate,Methamidophos,Bacillus paramycoides NDZ,,Amidase proposed,Detected metabolite in whole-cell isolate,Dashed,10.1007/s11274-020-02931-1,High for metabolite; moderate for enzyme,Methamidophos identified by GC-MS as main metabolite.,Ready for manual review
ACE-S05,Acephate,Bacillus paramycoides NDZ,2,Methamidophos,"O,S-dimethyl hydrogen phosphorothioate",Bacillus paramycoides NDZ,,Phosphotriesterase/amidase proposed,Proposed downstream step,Dotted,10.1007/s11274-020-02931-1,Low to moderate,Downstream route inferred; not all downstream compounds directly detected in NDZ culture.,Ready for manual review
ACE-S06,Acephate,Insect gut isolates,1,Acephate,"Methamidophos + O,O-dimethyl phosphoramidate",Enterobacter asburiae PXE,,,Detected metabolites in whole-cell isolate,Dashed,,Moderate,LC-MS product assignment; DOI not found in provided PDF.,Ready for manual review
ACE-S07,Acephate,Insect gut isolates,1,Acephate,"O,S-dimethyl phosphoramidothioate",Bacillus cereus PX-B.C.Or,,,Detected metabolite in whole-cell isolate,Dashed,,Moderate,LC-MS product assignment.,Ready for manual review
ACE-S08,Acephate,Pseudomonas pseudoalcaligenes PS-5,1,Acephate,Non-methamidophos phosphate/sulfur-containing fragments,Pseudomonas pseudoalcaligenes PS-5,,,Detected/proposed fragments by ESI-MS/FTIR,Dotted,10.1007/s13205-017-0900-9,Moderate,Methamidophos was not detected; use as separate pathway variant.,Ready for manual review
ACE-S09,Acephate,Pseudomonas ACP isolates,1,Acephate,Methamidophos,Pseudomonas azotoformans ACP1; P. aeruginosa ACP2; P. putida ACP3,,,Detected metabolite in whole-cell isolates,Dashed,10.3390/biom10030433,Moderate,One of several products in MS/FTIR pathway.,Ready for manual review
ACE-S10,Acephate,Pseudomonas ACP isolates,2,Methamidophos,S-methyl O-hydrogen phosphorothioamidate,Pseudomonas azotoformans ACP1; P. aeruginosa ACP2; P. putida ACP3,,,Detected metabolite/proposed pathway,Dashed,10.3390/biom10030433,Moderate,Major product listed with m/z 125.0.,Ready for manual review
ACE-S11,Acephate,Pseudomonas ACP isolates,3,S-methyl O-hydrogen phosphorothioamidate,Phosphenothioic S-acid + phosphenamide,Pseudomonas azotoformans ACP1; P. aeruginosa ACP2; P. putida ACP3,,,Detected metabolites/proposed pathway,Dotted,10.3390/biom10030433,Low to moderate,Products reported; exact step order should be checked against Figure 5 before final database integration.,Ready for manual review
ACE-S12,Acephate,Microbial consortium ZQ01,1,Acephate,Methamidophos,Microbial consortium ZQ01,,Hydrolytic enzyme inferred,Detected metabolite,Dashed,10.1016/j.jhazmat.2021.127841,High for metabolite,Part of novel pathway; enzyme/gene not assigned.,Ready for manual review
ACE-S13,Acephate,Microbial consortium ZQ01,2,Acephate,Acetamide + acetic acid,Microbial consortium ZQ01,,Hydrolytic/oxidative reactions inferred,Detected metabolites,Dashed,10.1016/j.jhazmat.2021.127841,High for products; moderate for exact arrow,Acetamide and acetic acid detected; pathway includes C-N bond breakage and oxidation.,Ready for manual review
ACE-S14,Acephate,Microbial consortium ZQ01,3,Acephate/methanethiol route,Methanethiol + dimethyl disulfide,Microbial consortium ZQ01,,,Detected metabolites,Dotted,10.1016/j.jhazmat.2021.127841,Moderate,Keep as proposed branch until exact reaction order is checked from figure/supplement.,Ready for manual review
