evidence_id,pesticide,organism_or_system,gene,enzyme,substrate,product_or_metabolite,method,doi,source_pdf,curation_status
CPF-E001,Chlorpyrifos,,,,Chlorpyrifos,,,,A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf,Waiting for real PDF/full text
CPF-E002,Chlorpyrifos,,,,Chlorpyrifos,,,,Biodegradation_of_Iprodione_and_Chlorpyrifos_Using_an_Immobilized_Bacterial_Cons.pdf,Waiting for real PDF/full text
CPF-E003,Chlorpyrifos,,,,Chlorpyrifos,,,,Biodegradation_of_chlorpyrifos_and_its_hydrolysis_product_3_5_6_trichloro_2_pyri.pdf,Waiting for real PDF/full text
CPF-E004,Chlorpyrifos,,,,Chlorpyrifos,,,,Biodegradation_of_chlorpyrifos_by_enterobacter_strain_B_14_and_its_use_in_biorem.pdf,Waiting for real PDF/full text
CPF-E005,Chlorpyrifos,,,,Chlorpyrifos,,,,Biodegradation_of_chlorpyrifos_using_isolates__from_contaminated_agricultural_so.pdf,Waiting for real PDF/full text
CPF-E006,Chlorpyrifos,,,,Chlorpyrifos,,,,Biodegradation_of_two_organophosphorus_pesticides_in_whole_corn_silage_as_affect.pdf,Waiting for real PDF/full text
CPF-E007,Chlorpyrifos,,,,Chlorpyrifos,,,,Biotransformation_of_Chlorpyrifos__i_Shewanella_oneidensis__i__MR_1_in_the_Prese.pdf,Waiting for real PDF/full text
CPF-E008,Chlorpyrifos,,,,Chlorpyrifos,,,,Chlorpyrifos_degradation_efficiency_of__i_Bacillus__i__sp__laccase_immobilized_o.pdf,Waiting for real PDF/full text
CPF-E009,Chlorpyrifos,,,,Chlorpyrifos,,,,Effect_of_chlorpyrifos_on_soil_microbial_diversity_and_its_biotransformation_by_.pdf,Waiting for real PDF/full text
CPF-E010,Chlorpyrifos,,,,Chlorpyrifos,,,,Effects_of_soil_pH_on_the_biodegradation_of_chlorpyrifos_and_isolation_of_a_chlo.pdf,Waiting for real PDF/full text
CPF-E011,Chlorpyrifos,,,,Chlorpyrifos,,,,Isolation_and_Molecular_Characterization_of_Novel_Chlorpyrifos_and_3_5_6_trichlo.pdf,Waiting for real PDF/full text
CPF-E012,Chlorpyrifos,,,,Chlorpyrifos,,,,Isolation_and_characterization_of_organophosphorus_phosphatases_from__i_Bacillus.pdf,Waiting for real PDF/full text
CPF-E013,Chlorpyrifos,,,,Chlorpyrifos,,,,Optimization_of_Growth_Conditions_for_Chlorpyrifos_Degrading_Bacteria_in_Farm_So.pdf,Waiting for real PDF/full text
CPF-E014,Chlorpyrifos,,,,Chlorpyrifos,,,,Purification_and_characterization_of_a_novel_chlorpyrifos_hydrolase_from_Cladosp.pdf,Waiting for real PDF/full text
CPF-E015,Chlorpyrifos,,,,Chlorpyrifos,,,,Toxicity_assessment_of_chlorpyrifos_degrading_fungal_bio_composites_and_their_en.pdf,Waiting for real PDF/full text
