paper_id,filename,title_from_filename,file_status,curation_priority,priority_reason,curation_decision,next_action
CPF-P001,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf,A Comprehensive Review of Multifunctional Nanozymes for Degradation and Detectio,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P002,A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf,A Novel Organophosphorus Acid Anhydrolase from Deep Sea Sediment with High Degra,HTML placeholder saved as .pdf,High,Likely microbial/enzyme/pathway evidence if the real PDF is obtained,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P003,A_biomarker_validation_study_of_prenatal_chlorpyrifos_exposure_within_an_inner_c.pdf,A biomarker validation study of prenatal chlorpyrifos exposure within an inner c,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P004,A_modeling_framework_for_estimating_children_s_residential_exposure_and_dose_to_.pdf,A modeling framework for estimating children s residential exposure and dose to,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P005,Aerobic_dichlorvos_degradation_by__i_Pseudomonas_stutzeri__i__smk__complete_path.pdf,Aerobic dichlorvos degradation by Pseudomonas stutzeri smk complete path,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P006,Amelioration_of_Chlorpyrifos_Induced_Toxicity_in__i_Brassica_juncea__i__L__by_Co.pdf,Amelioration of Chlorpyrifos Induced Toxicity in Brassica juncea L by Co,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P007,An_Aptasensor_Based_on_a_Flexible_Screen_Printed_Silver_Electrode_for_the_Rapid_.pdf,An Aptasensor Based on a Flexible Screen Printed Silver Electrode for the Rapid,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P008,An_Overview_of_Photocatalytic_Membrane_Degradation_Development_.pdf,An Overview of Photocatalytic Membrane Degradation Development,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P009,An_invertebrate_model_of_the_developmental_neurotoxicity_of_insecticides__effect.pdf,An invertebrate model of the developmental neurotoxicity of insecticides effect,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P010,Antioxidant_and_Protective_Effects_of__i_Artemisia_campestris__i__Essential_Oil_.pdf,Antioxidant and Protective Effects of Artemisia campestris Essential Oil,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P011,Application_of_Fe_MOFs_in_Photodegradation_and_Removal_of_Air_and_Water_Pollutan.pdf,Application of Fe MOFs in Photodegradation and Removal of Air and Water Pollutan,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P012,Application_of_Viscose_Based_Porous_Carbon_Fibers_in_Food_Processing_Malathion_a.pdf,Application of Viscose Based Porous Carbon Fibers in Food Processing Malathion a,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P013,Biodegradation_and_metabolic_pathway_of_fenvalerate_by_Citrobacter_freundii_CD_9.pdf,Biodegradation and metabolic pathway of fenvalerate by Citrobacter freundii CD 9,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P014,Biodegradation_of_Iprodione_and_Chlorpyrifos_Using_an_Immobilized_Bacterial_Cons.pdf,Biodegradation of Iprodione and Chlorpyrifos Using an Immobilized Bacterial Cons,HTML placeholder saved as .pdf,High,Likely microbial/enzyme/pathway evidence if the real PDF is obtained,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P015,Biodegradation_of_chlorpyrifos_and_its_hydrolysis_product_3_5_6_trichloro_2_pyri.pdf,Biodegradation of chlorpyrifos and its hydrolysis product 3 5 6 trichloro 2 pyri,HTML placeholder saved as .pdf,High,Likely microbial/enzyme/pathway evidence if the real PDF is obtained,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P016,Biodegradation_of_chlorpyrifos_by_enterobacter_strain_B_14_and_its_use_in_biorem.pdf,Biodegradation of chlorpyrifos by enterobacter strain B 14 and its use in biorem,HTML placeholder saved as .pdf,High,Likely microbial/enzyme/pathway evidence if the real PDF is obtained,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P017,Biodegradation_of_chlorpyrifos_using_isolates__from_contaminated_agricultural_so.pdf,Biodegradation of chlorpyrifos using isolates from contaminated agricultural so,HTML placeholder saved as .pdf,High,Likely microbial/enzyme/pathway evidence if the real PDF is obtained,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P018,Biodegradation_of_monocrotophos__cypermethrin___fipronil_by__i_Proteus_myxofacie.pdf,Biodegradation of monocrotophos cypermethrin fipronil by Proteus myxofacie,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P019,Biodegradation_of_phenmedipham_by_novel__i_Ochrobactrum_anthropi__i__NC_1_.pdf,Biodegradation of phenmedipham by novel Ochrobactrum anthropi NC 1,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P020,Biodegradation_of_polychlorinated_biphenyls__PCBs__by_the_novel_identified_cyano.pdf,Biodegradation of polychlorinated biphenyls PCBs by the novel identified cyano,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
