pesticide,evidence_source,pdf_file,probable_title,doi,year,microorganism,evidence_type,gene,enzyme_or_protein,substrate,products_or_metabolites,experimental_method,database_use_recommendation,curator_notes,curation_folder
Thiamethoxam,PDF automated candidate; manual validation required,"(Quasi)-Binomial vs. Gaussian Models to Evaluate Thiamethoxam, Pirimiphos-Methyl, Alpha-Cypermethrin and Deltamethrin on Different Types of Storage Bag Materials Against Ephestia kuehniella Zeller (Lepidoptera Pyralidae) an.pdf",(Quasi)-Binomial vs. Gaussian Models to Evaluate,10.3390/insects; 10.3390/insects12020182,2021,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,A BaTiO3WS2 composite for piezo-photocatalytic.pdf,https://doi.org/10.1038/s42004-022-00707-2 OPEN,10.1038/s42004-022-00707-2,2022,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,"A common neonicotinoid pesticide, thiamethoxam, alters honey bee activity, motor functions, and movement to light..pdf",www.nature.com/scientificreports,10.1007/978-1-4615-2676-6; 10.1007/s00244-007-9071-8,2018,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,"A common neonicotinoid pesticide, thiamethoxam, impairs honey bee flight ability..pdf",www.nature.com/scientificreports,10.1002/(SICI)1096-9063(199704)49:4; 10.1002/etc.3183,2017,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,A Critical Review on Metal-Organic Frameworks and Their Composites as Advanced Materials for Adsorption and Photocatalytic Degradation of Emerging Organic Pollutants from Wastewater..pdf,A Critical Review on Metal-Organic Frameworks and,10.3390/polym12112648,2020,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,A facile strategy for photocatalytic degradation of seven neonicotinoids over sulfur and oxygen co-doped carbon nitride..pdf,Contents lists available at ScienceDirect,10.1002/adfm; 10.1007/s11356-017-9240-x,2020,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,A four-year field program investigating long-term effects of repeated exposure of honey bee colonies to flowering crops treated with thiamethoxam..pdf,A Four-Year Field Program Investigating Long-Term,10.1371/journal.pone.0077193; 10.1371/journal.pone.0077193.g001,2013,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,A review on WO3 photocatalysis used for wastewater treatment and pesticide degradation.pdf,Contents lists available at ScienceDirect,10.1002/anie.200802207; 10.1002/pssa.201700218,2025,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,A toxicokinetic model for thiamethoxam in rats implications for higher-tier risk assessment..pdf,Ecotoxicology (2013) 22:548–557,10.1007/s10646-013-1047-z,2013,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Adsorption and Photocatalytic Degradation of Pesticides into Nanocomposites A Review..pdf,Adsorption and Photocatalytic Degradation of Pesticides into,10.3390/molecules27196261,2022,of Toxicity to to; of hazardous hazardous Moderately; strain of Pseudomonas putida; straintoof Toxicity f ofthePseudomonas; to the bacterial of,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Adsorption-desorption and degradation of insecticides clothianidin and thiamethoxam in agricultural soils..pdf,Chemosphere 207 (2018) 708e714,10.1016/j.chemosphere.2018.05.139,2018,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Aerobic Degradation of Clothianidin to 2-Chloro-methyl Thiazole and Methyl 3-(Thiazole-yl) Methyl Guanidine Produced by iPseudomonas stutzerii smk..pdf,"Volume 2019, Article ID 4807913, 12 pages",10.1155/2019/4807913,2019,AAP; AAP-1 isolated from insecticide; BCH; BOD-3; BOD-3 in the phylogenetic; DQ1,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,An Aptamer Sensor Based on Alendronic Acid-Modified Upconversion Nanoparticles Combined with Magnetic Separation for Rapid and Sensitive Detection of Thiamethoxam..pdf,An Aptamer Sensor Based on Alendronic Acid-Modified,10.3390/foods14020182; 10.3390/foods14020182/s1,2025,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
