pesticide,pdf_file,probable_title,doi_candidates,year_candidates,candidate_microorganisms_or_strains,biodegradation_term_hits,molecular_term_hits,pathway_term_hits,automated_evidence_signal,review_decision,review_notes,curation_folder,pesticide_mentions,pesticide_degradation_contexts,microbial_contexts_near_pesticide,gene_enzyme_contexts_near_pesticide,abiotic_or_irrelevant_flags,title_has_pesticide,title_has_degradation_term,best_pesticide_context,review_score,review_priority,recommended_review_action,likely_database_use
Trifloxystrobin,Modification of the existing maximum residue levels and setting of import tolerances for trifloxystrobin in various crops (2).pdf,Evaluation of Chronic Dietary Risk of Trifloxystrobin and,10.3390/foods14101745; 10.3390/foods14101745/s1,2022; 2023; 2024; 2025,,34,4,60,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Trifloxystrobin/PesticideDB_curation_Trifloxystrobin_20260707,126,18,9,8,0,1,0,"103%) throughout four spiking levels (0.01, 0.1, 0.3, and 1 mg/kg), with relative stan dard deviations (RSD) ≤ 4.8%. At 3 days after treatment, the residues of trifloxystrobin (including trifloxystrobin acid), bupirimate, and ethirimol in cucumbers were found to range from <0.01 to 0.013 mg/kg, <0.01 to 0.076 mg/kg, and <0.01 to 0.04 mg/kg, respec tively. A chronic dietary risk assessment was conducted using a probabilistic model. The results showed an acceptable chronic risk (RQc ≤ 2.476%) for trifloxystrobin, bupirimate, and ethirimol across different sexes and ages, supporting the conclusion that the use of these fungicides in cucumber cultivation under the tested conditions was safe for Chinese consumers. More research was needed on children because they are at higher risk than other groups. Keywords: trifloxystrobin; bupirimate; metabolite; residue; dietary risk assessment Academic",264,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Glufosinate-Ammonium,"Accumulation, metabolites formation and elimination behavior of rac-glufosinate-ammonium and glufosinate-P in zebrafish (Danio rerio)..pdf",Food Chemistry: X 15 (2022) 100383,10.1002/etc.5620170713; 10.1007/978-1; 10.1007/978-1-4612-2672-7_4; 10.1007/s00216-008,2018; 2019; 2020; 2022,,49,5,43,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Glufosinate-Ammonium/PesticideDB_curation_Glufosinate_Ammonium_20260707,104,24,8,8,0,0,0,"Food Chemistry: X 15 (2022) 100383 Contents lists available at ScienceDirect Food Chemistry: X journal homepage: www.sciencedirect.com/journal/food-chemistry-x Accumulation, metabolites formation and elimination behavior of rac-glufosinate-ammonium and glufosinate-P in zebrafish (Danio rerio) Fei Wang , Qiao Lin , Xueqin Shi , Yunfang Li , Pengyu Deng , Yuping Zhang *, Deyu Hu * State Key Laboratory Breeding Base of Green Pesticide and Agricultural Bioengineering, Key Laboratory of Green Pesticide and Agricultural Bioengineering, Ministry of Education, Guizhou University, Guiyang 550025, PR China A R T I C L E I N F O A B S T R A C T Keywords: An efficient trace detection method for the determination of residues of the glufosinate enantio",255,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Glufosinate-Ammonium,Comparing toxicity and biodegradation of racemic glufosinate and L-glufosinate in green algae Scenedesmus obliquus..pdf,Science of the Total Environment 823 (2022) 153791,10.1002/chir.22018; 10.1002/etc; 10.1002/etc.2613; 10.1002/ps,2019; 2020; 2021; 2022,,91,37,48,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Glufosinate-Ammonium/PesticideDB_curation_Glufosinate_Ammonium_20260707,166,31,26,19,0,0,0,"ww.elsevier.com/locate/scitotenv Comparing toxicity and biodegradation of racemic glufosinate and L-glufosinate in green algae Scenedesmus obliquus Xiurou Meng, Fei Wang, Yunfang Li, Pengyu Deng, Deyu Hu, Yuping Zhang ⁎ State Key Laboratory Breeding Base of Green Pesticide and Agricultural Bioengineering, Key Laboratory of Green Pesticide and Agricultural Bioengineering, Ministry of Education, Guizhou University, Guiyang 550025, PR China H I G H L I G H T S G R A P H I C A L A B S T R A C T • L-glufosinate-ammonium was more toxic to S. obliquus than rac-glufosinate-ammo nium. • Rac-glufosinate and L-glufosinate had dif ferent effects on the toxicity of S. obliquus. • A residual analysis method for glufosinate enantiomers and their metabolites in S. obliquus system was established. • S. obliquus could promote the degradation of glufosinate-ammonium. • NAG was the main metabolite in the al",255,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Mandipropamid,Indigenous functional microbial degradation of the chiral fungicide mandipropamid in repeatedly treated soils Preferential changes in the R-enantiomer..pdf,Contents lists available at ScienceDirect,10.1016/j.jhazmat.2022.128961,2019; 2020; 2021; 2022,,91,99,20,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Mandipropamid/PesticideDB_curation_Mandipropamid_20260707,52,30,35,19,0,0,0,"Journal of Hazardous Materials 435 (2022) 128961 Contents lists available at ScienceDirect Journal of Hazardous Materials journal homepage: www.elsevier.com/locate/jhazmat Indigenous functional microbial degradation of the chiral fungicide mandipropamid in repeatedly treated soils: Preferential changes in the R-enantiomer Lingxi Han a, b, Yalei Liu a, Jiyun Nie a, b, Xiangwei You a, Yiqiang Li a, Xiuguo Wang a, *, Jun Wang c a Tobacco Research Institute of Chinese Academy of Agricultural Sciences (CAAS), Qingdao 266101, PR China b College of Horticulture, Qingdao Agricultural University/Laboratory of Quality & Safety Risk Assessment for Fruit (Qingdao), Ministry of Agriculture and Rural Affairs/ National Technology Centre for Whole Process Qua",255,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Pymetrozine,A novel hydrolase PyzH catalyses the cleavage of C=N double bond for pymetrozine degradation in Pseudomonas sp. BYT-1..pdf,"Environmental Microbiology (2021) 23(6), 3265–3273 doi:10.1111/1462-2920.15557",10.1111/1462-2920.15557,2018; 2019; 2021; 2025,AC100. Appl Environ Microbiol; BL21; BR60; BYT-1; BYT-1 and; BYT-1 and its derivative,63,122,40,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pymetrozine/PesticideDB_curation_Pymetrozine_20260707,115,34,31,38,0,0,0,"Environmental Microbiology (2021) 23(6), 3265–3273 doi:10.1111/1462-2920.15557 A novel hydrolase PyzH catalyses the cleavage of C=N double bond for pymetrozine degradation in Pseudomonas sp. BYT-1 Mingliang Zhang, Yijun Ren, Shilong Du, moderately persistent compound (JMPR, 2014). FollowYidong Zhou, Wankui Jiang, Zhijian Ke, Mingli Jiang, ing its widespread use, pymetrozine has been detected Jiguo Qiu, Jian He and Qing Hong * in the environment, agricultural products and animals Key Laboratory of Agricultural Environmental (Badawy et al., 2015; Zhang et al., 2015). A single dose Microbiology, Ministry of Agriculture, College of Life of pymetrozine (0.",255,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Teflubenzuron,Transformation of the insecticide teflubenzuron by microorganisms..pdf,This article was downloaded by: [Dalhousie University],10.1081/PFC-100106185,2000; 2001; 2007; 2014,Bacillus brevis 625 incubated; was checked on its,43,7,35,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Teflubenzuron/PesticideDB_curation_Teflubenzuron_20260707,43,39,39,11,0,0,0,"ed by: [Dalhousie University] On: 13 July 2014, At: 21:29 Publisher: Taylor & Francis Informa Ltd Registered in England and Wales Registered Number: 1072954 Registered office: Mortimer House, 37-41 Mortimer Street, London W1T 3JH, UK Journal of Environmental Science and Health, Part B: Pesticides, Food Contaminants, and Agricultural Wastes Publication details, including instructions for authors and subscription information: http://www.tandfonline.com/loi/lesb20 TRANSFORMATION OF THE INSECTICIDE TEFLUBENZURON BY MICROORGANISMS a a b Zoja I. Finkelstein , Boris P. Baskunov , Ivonne M. C. M. Rietjens , Marelle G. b b c Boersma , Jacques Vervoort & Ludmila A. Golovleva a G.K. Skryabin Institute of Biochemistry and Physiology of Microorganisms , RAS, Pushchino, Moscow region, 142290, Russia b Laboratory of Biochemistry and Division of Toxicology , Wageningen University , Dreijenlaan 3, 6703,",255,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Thiamethoxam,Influence of the neonicotinoid insecticide thiamethoxam on soil bacterial community composition and metabolic function..pdf,Contents lists available at ScienceDirect,10.1016/j.jhazmat.2020.124275,2018; 2019; 2020; 2021,CPN 1. Biodegradation 19; RHA1. Appl. Environ. 616,64,105,17,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707,77,25,38,22,0,0,0,"gy, Institute of Cotton Research, Chinese Academy of Agricultural Sciences, Anyang, Henan 455000, China A R T I C L E I N F O A B S T R A C T Keywords: Understanding of neonicotinoid insecticides toxicity on non-target organisms, such as bees, has indirectly pro­ Bacteria moted their soil treatment use. However, their effect on soil ecosystems haven’t fully understood. Here, based on Degradation genes 16S rRNA high-throughput sequencing and metagenomics, the effects of neonicotinoid insecticide thiamethoxam Metagenomics on bacterial communities and metabolic functions in two types of soils were studied. Thiamethoxam treatment Neonicotinoid insecticides Soil significantly affected soil bacterial abundance, reduced microbial diversity, and changed the bacterial commu­ nity structure in the short term, and the structure soon returned to a stable state. Soil type and time were important fact",255,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Triazophos,"Cloning, expression and mutation of a triazophos hydrolase gene from Burkholderia sp. SZL-1..pdf","FEMS Microbiology Letters Advance Access published April 19, 2016",,2012; 2013; 2015; 2016,E6. Strain TPD-1 could; FLN-7 that hydrolyzes amide; G1 could degrade 34; GS-1 and its degrading; GS-1 could degrade 100; Klebsiella sp E6 effectively,50,71,33,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Triazophos/PesticideDB_curation_Triazophos_20260707,87,30,36,24,0,0,0,"cn Downloaded from http://femsle.oxfordjournals.org/ by guest on April 26, 2016 1 Abstract Triazophos is a broad-spectrum and highly effective insecticide, and the residues of triazophos have been frequently detected in the environment. A triazophos-degrading bacterium, Burkholderia sp. SZL-1, was isolated from a long-term triazophos-polluted soil. Strain SZL-1 could hydrolyze triazophos to 1-phenyl-3-hydroxy-1,2,4-triazole (PHT), which was further utilized as the carbon sources for growth. The triazophos hydrolase gene trhA, cloned from strain SZL-1, was expressed and homogenously purified using Ni-nitrilotriacetic acid affinity chromatography. TrhA is 55 kDa and displays maximum activity at 25℃, pH 8.0. This enzyme still has nearly 60% activity at the range of 15-50℃ for 30 min. TrhA was mutated by sequential error prone PCR and screened for improved activity for triazophos degradation",255,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Triazophos,Identification of the biochemical degradation pathway of triazophos and its intermediate in Diaphorobacter sp. TPD-1.pdf,Curr Microbiol (2011) 62:1294–1301,10.1007/s00284-010-9746-7; 10.1007/s00284-010-9859-z,2008; 2009; 2010; 2011,Diaphorobacter sp. TPD-1 was; Diaphorobacter triazophos or PHT; Dsp-2; During the triazophos biodegradation; E6; GS-1 and its degrading,121,11,63,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Triazophos/PesticideDB_curation_Triazophos_20260707,108,34,32,11,0,0,0,"Curr Microbiol (2011) 62:1294–1301 DOI 10.1007/s00284-010-9859-z Identification of the Biochemical Degradation Pathway of Triazophos and its Intermediate in Diaphorobacter sp. TPD-1 Chengli Yang • Rong Li • Yao Song • Kai Chen • Shunpeng Li • Jiandong Jiang Received: 2 November 2010 / Accepted: 16 December 2010 / Published online: 7 January 2011 Ó Springer Science+Business Media, LLC 2011 Abstract Triazophos is one of the most widely used Introduction organophosphorus insecticides usually detectable in the environment. A bacterial strain, Diaphorobacter sp. TPD-1, Organophosphorus insecticides (OPs) are frequently capable of",255,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Triazophos,"Isolation, identification and characterization of a novel triazophos-degrading Bacillus sp. (TAP-1)..pdf",Microbiological Research 167 (2012) 299–305,10.1016/j.micres.2011.10.004,2010; 2011; 2012; 2022,ANctcri1; B-5. J Biosci Bioeng; B230; Bacillus sp. TAP-1 was; Barik S; CCGE2286,111,65,18,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Triazophos/PesticideDB_curation_Triazophos_20260707,45,26,35,27,0,0,0,"ewage sludge in a wastewater treatReceived 13 June 2011 ing system of organophosphorus pesticide produced by Funong Group Co. in Jianou, Fujian, southeastern Received in revised form 22 October 2011 China. The isolate is a gram-positive and rod-shaped bacterium capable of hydrolyzing insecticide triAccepted 24 October 2011 azophos and was identiﬁed as a strain of Bacillus using polyphasic taxonomy combined with analysis of the morphological and physio-biochemical properties. TAP-1 could degrade triazophos through coKeywords: metabolism. When fed with nutrients such as yeast extract, peptone and glucose, TAP-1 could degrade Triazophos 98.5% of TAP in the medium (100 mg/l) within 5 days. The optimal pH and temperature for the degraDegradation Bacillus sp. dation were 6.5–8 and 32 ◦ C, respectively. An enzyme distribution experiment showed that the enzyme responsible for TAP degradation app",255,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Triazophos,Minute-Speed Biodegradation of Organophosphorus Insecticides by Cupriavidus nantongensis X1T.pdf,"Cite This: J. Agric. Food Chem. 2019, 67, 13558−13567 pubs.acs.org/JAFC",10.1021/acs.jafc.9b06157,2017; 2018; 2019; 2020,C2A1. J. Hazard; CNP-8; Dsp-2; HNM. J. Basic Microbiol; However; Stenotrophomonas sp. SMSP-1 and,265,89,76,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Triazophos/PesticideDB_curation_Triazophos_20260707,40,40,39,24,0,0,0,"States * S Supporting Information Downloaded via ORTA DOGU TEKNIK UNIV on July 12, 2020 at 17:17:00 (UTC). ABSTRACT: Organophosphorus insecticides (OPs) have been widely used to control agricultural pests, which has raised concerns about OP residues in crops and the environment. In this study, we investigated the degradation kinetics and pathways of 8 OPs by Cupriavidus nantongensis X1T and identiﬁed the enzyme via gene cloning and in vitro assays. The degradation half life of methyl parathion, triazophos, and phoxim was only 5, 9, and 43 min, respectively. It was 46 fold faster than that of triazophos by Bacillus sp. TAP-1, a well-studied triazophos-degrader. Strain X1T completely degraded not only chlorpyrifos, methyl parathion, parathion, fenitrothion, triazophos, and phoxim at 50 mg/L within 48 h but also the phenolic metabolites. This was the fastest degradation of OPs by bacterial",255,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
