pesticide,doi,pdf_path,pages,extracted_chars,snippet_count,screening_status
Paraquat,10.3389/fmicb.2020.02003,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Paraquat/Paraquat_10.3389_fmicb.2020.02003.pdf,12,47526,12,screened
Pinoxaden,10.21203/rs.3.rs-1375498/v1,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Pinoxaden/Pinoxaden_10.21203_rs.3.rs-1375498_v1.pdf,19,39475,14,screened
Fenvalerate,10.1139/cjm-2019-0183,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Fenvalerate/Fenvalerate_10.1139_cjm-2019-0183.pdf,34,26765,14,screened
Fenvalerate,10.1186/s13568-020-01128-x,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Fenvalerate/Fenvalerate_10.1186_s13568-020-01128-x.pdf,15,56789,14,screened
Fenvalerate,10.1186/s13568-022-01392-z,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Fenvalerate/Fenvalerate_10.1186_s13568-022-01392-z.pdf,14,51114,14,screened
Fenvalerate,10.4014/jmb.2110.10048,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Fenvalerate/Fenvalerate_10.4014_jmb.2110.10048.pdf,11,49457,10,screened
Phorate,10.1002/jobm.202100332,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Phorate/Phorate_10.1002_jobm.202100332.pdf,18,41966,0,screened
Thiacloprid,10.3389/fmicb.2022.906026,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Thiacloprid/Thiacloprid_10.3389_fmicb.2022.906026.pdf,12,55153,12,screened
Deltamethrin,10.1186/s13568-020-01043-1,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Deltamethrin/Deltamethrin_10.1186_s13568-020-01043-1.pdf,11,40725,11,screened
Tebuconazole,10.1007/s11356-023-25669-3,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Tebuconazole/Tebuconazole_10.1007_s11356-023-25669-3.pdf,15,66258,14,screened
Difenoconazole,10.4014/jmb.2308.08037,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Difenoconazole/Difenoconazole_10.4014_jmb.2308.08037.pdf,9,45030,9,screened
Prochloraz,10.1371/journal.pone.0220975,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Prochloraz/Prochloraz_10.1371_journal.pone.0220975.pdf,13,31264,12,screened
Flubendiamide,10.1007/s13205-015-0347-9,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Flubendiamide/Flubendiamide_10.1007_s13205-015-0347-9.pdf,6,24382,6,screened
Flubendiamide,10.1007/s13213-019-01536-w,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Flubendiamide/Flubendiamide_10.1007_s13213-019-01536-w.pdf,13,54748,13,screened
Propiconazole,10.1007/s13205-016-0429-3,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Propiconazole/Propiconazole_10.1007_s13205-016-0429-3.pdf,10,36186,10,screened
Propiconazole,10.1186/s12866-020-01885-6,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Propiconazole/Propiconazole_10.1186_s12866-020-01885-6.pdf,14,55564,12,screened
Imazethapyr,10.1007/s00284-023-03533-4,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Imazethapyr/Imazethapyr_10.1007_s00284-023-03533-4.pdf,9,40743,9,screened
Bentazone,10.1016/j.jhazmat.2020.124476,/Users/nana/Desktop/PepDB/PepDatabase/curation_outputs/pathway_open_access_all_remaining_20260709/downloaded_open_access_pdfs/Bentazone/Bentazone_10.1016_j.jhazmat.2020.124476.pdf,60,22870,14,screened
