pesticide,usb_folder,folder_found,total_pdf_named_files,real_pdf_count,html_placeholder_count,other_count,read_error_count,curation_status,priority,recommended_next_action,sample_files
Propylene oxide,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Propylene oxide,Yes,172,0,172,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_Core_Shell__Nanocomposites_as_Photocatalysts_for_the_Degradation_of_the_Water_P.pdf | _i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | _i_Garcinia_cambogia__i__attenuates_adipogenesis_by_affecting_CEBPB_and_SQSTM1_p.pdf | A_multiple_Kirkendall_strategy_for_converting_nanosized_zero_valent_iron_to_high.pdf
Parathion-Methyl,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Parathion-Methyl,Yes,116,0,116,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf
Phosphonic acid,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Phosphonic acid,Yes,96,0,96,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,1__Acylamino_alkylphosphonic_Acids_Alkaline_Deacylation_.pdf | _2_Aminobenzothiazole__Methyl_1_1_Bisphosphonic_Acids__Targeting_Matrix_Metallop.pdf | A_Miniaturized_Method_for_Evaluating_the_Dynamic_Gas_Phase_Adsorption_and_Degrad.pdf | A_phosphonate_induced_gene_which_promotes_Penicillium_mediated_bioconversion_of_.pdf
Deltamethrin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Deltamethrin,Yes,72,0,72,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_novel_miRNA__miR_13664__targets_CpCYP314A1_to_regulate_deltamethrin_resistance.pdf | Absence_of_close_range_excitorepellent_effects_in_malaria_mosquitoes_exposed_to_.pdf
Permethrin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Permethrin,Yes,70,0,70,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Acute_Exposure_to_Permethrin_Modulates_Behavioral_Functions__Redox__and_Bioenerg.pdf | Adult_Mosquito_and_Butterfly_Exposure_to_Permethrin_and_Relative_Risk_Following_.pdf | Bio_efficacy_of_aluminum_phosphide_and_cypermethrin_against_some_physiological_a.pdf | Changes_in_pest_infestation_levels__self_reported_pesticide_use__and_permethrin_.pdf
Diphenylamine,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Diphenylamine,Yes,52,0,52,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,1_6_α_L_Fucosidases_from__i_Bifidobacterium_longum__i__subsp___i_infantis__i__AT.pdf | 3_Chlorodiphenylamine_activates_cardiac_troponin_by_a_mechanism_distinct_from_be.pdf | Adsorption_of_DNA_to_sand_and_variable_degradation_rates_of_adsorbed_DNA_.pdf | Anomalous_efficiency_elevation_of_quantum_dot_light_emitting_diodes_induced_by_o.pdf
Carbaryl,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/carbaryl,Yes,50,0,50,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | A_bispecific_nanobody_with_high_sensitivity_efficiency_for_simultaneous_determin.pdf | A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | A_Novel_Paper_Based_Electrochemical_Biosensor_Based_on_N_O_Rich_Covalent_Organic.pdf
Fipronil,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Fipronil,Yes,50,0,50,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_GABA_Receptor_Modulator_and_Semiochemical_Compounds_Evidenced_Using_Volatolomi.pdf | Activated_carbon_as_a_means_of_limiting_bioaccumulation_of_organochlorine_pestic.pdf | Ameliorative_Effects_of_Boswellic_Acid_on_Fipronil_Induced_Toxicity__Antioxidant.pdf | Arylpyrrole_and_fipronil_analogues_that_inhibit_the_motility_and_or_development_.pdf
Cyfluthrin/beta-cyfluthrin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/cyfluthrin.beta.cyfluthrin,Yes,48,0,48,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Bacterial_Cytochrome_P450_Involvement_in_the_Biodegradation_of_Fluorinated_Pyret.pdf
Carbendazim,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Carbendazim,Yes,47,0,47,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_i_Daphnia_magna__i__Multigeneration_Exposure_to_Carbendazim__Gene_Transcription.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Novel_Cu_sub_2__sub_O_ZnO_PET_Composite_Membrane_for_the_Photocatalytic_Degrad.pdf | A_Sensitive_and_Selective_Electrochemical_Aptasensor_for_Carbendazim_Detection_.pdf
