pesticide,usb_folder,folder_found,total_pdf_named_files,real_pdf_count,html_placeholder_count,other_count,read_error_count,curation_status,priority,recommended_next_action,sample_files
Thiamethoxam,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam,Yes,150,150,0,0,0,not_started,high,Ready for evidence/pathway screening from readable PDFs.,"(Quasi)-Binomial vs. Gaussian Models to Evaluate Thiamethoxam, Pirimiphos-Methyl, Alpha-Cypermethrin and Deltamethrin on Different Types of Storage Bag Materials Against Ephestia kuehniella Zeller (Lepidoptera Pyralidae) an.pdf | A BaTiO3WS2 composite for piezo-photocatalytic.pdf | A common neonicotinoid pesticide, thiamethoxam, alters honey bee activity, motor functions, and movement to light..pdf | A common neonicotinoid pesticide, thiamethoxam, impairs honey bee flight ability..pdf"
Triazophos,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Triazophos,Yes,44,44,0,0,0,not_started,high,Ready for evidence/pathway screening from readable PDFs.,"A Comprehensive Review of Multifunctional Nanozymes for Degradation and Detection of Organophosphorus Pesticides in the Environment..pdf | A review on WO3 photocatalysis used for wastewater treatment and pesticide degradation.pdf | A sensitive fluorometric bio-barcodes immunoassay for detection of triazophos residue in agricultural products and water samples by iterative cycles of DNA-RNA hybridization and dissociation of fluorophores by Ribonuclease.pdf | Adsorption and degradation of triazophos, chlorpyrifos and their main hydrolytic metabolites in paddy soil from Chaohu Lake, China..pdf"
Vinclozolin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Vinclozolin,Yes,29,29,0,0,0,not_started,high,Ready for evidence/pathway screening from readable PDFs.,Alterations in the developing testis transcriptome following embryonic vinclozolin exposure..pdf | Bacterial degradation of monocyclic aromatic amines..pdf | Biodegradation of propiconazole by newly isolated Burkholderia sp. strain BBK_9..pdf | Chemical and biological transformation of the fungicide vinclozolin..pdf
Trifloxystrobin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Trifloxystrobin,Yes,24,24,0,0,0,not_started,high,Ready for evidence/pathway screening from readable PDFs.,An Overview of Strobilurin Fungicide DegradationCurrent Status and Future Perspective..pdf | Determination of trifloxystrobin and its metabolites in Hawaii soils by ASE-LC-MSMS.pdf | Detoxification Esterase StrH Initiates Strobilurin Fungicide Degradation in iHyphomicrobiumi sp. Strain DY-1..pdf | Effect of intermittent water flow on biodegradation of organic micropollutants in the hyporheic zone..pdf
Abamectin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Abamectin,Yes,18,18,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,"Contribution of insect gut microbiota and their associated enzymes in insect physiology and biodegradation of pesticides..pdf | Degradation of abamectin and doramectin on sheep grazed pasture..pdf | Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism..pdf | Degradation of sex pheromone and plant volatile components by an antennal glutathione S-transferase in the oriental fruit moth,Grapholita molesta Busck (Lepidoptera Tortricidae)..pdf"
Glufosinate-Ammonium,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Glufosinate-Ammonium,Yes,18,18,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,"Accumulation, metabolites formation and elimination behavior of rac-glufosinate-ammonium and glufosinate-P in zebrafish (Danio rerio)..pdf | Casein Kinase 2 Mediates Degradation of Transcription Factor Pcf1 during Appressorium Formation in the Rice Blast Fungus..pdf | Chromatographic Methods for the Determination of Glyphosate in Cereals Together with a Discussion of Its Occurrence, Accumulation, Fate, Degradation, and Regulatory Status..pdf | Co-option of an extracellular protease for transcriptional control of nutrient degradation in the fungus Aspergillus nidulans..pdf"
Imazamox,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Imazamox,Yes,18,18,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,"Adsorption and degradation of imazapic in soils under different environmental conditions..pdf | Analysis of the Photodegradation of the Imidazolinone Herbicides Imazamox, Imazapic, Imazaquin, and Imazamethabenz-methyl in Aqueous Solution..pdf | Application of an Enzymatic Hydrolysed L-α-Amino Acid Based Biostimulant to Improve Sunflower Tolerance to Imazamox.pdf | Behavior of imidazolinone herbicide enantiomers in earthworm-soil microcosms Degradation and bioaccumulation..pdf"
Phosmet,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Phosmet,Yes,17,17,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,An efficient catalytic degradation of trichloroethene in a percarbonate system catalyzed by ultra-fine heterogeneous zeolite supported zero valent iron-nickel bimetallic composite..pdf | Elucidating the kinetics and mechanisms of tetramethrin biodegradation by the fungal strain Neocosmospora sp. AF3.pdf | Evaluation of chemical and photochemical oxidation processes for degradation of phosmet on lowbush blueberries (Vaccinium angustifolium)..pdf | Heterogeneous reaction of suspended phosmet particles with NO3 radicals..pdf
Thiophanate-Methyl,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiophanate-Methyl,Yes,17,17,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,A Novel Cu2OZnO@PET Composite Membrane for the Photocatalytic Degradation of Carbendazim.pdf | Biodegradation kinetics of the benzimidazole fungicide thiophanate-methyl by bacteria isolated from loamy sand soil..pdf | Biodegradation of carbendazim by a potent novel Chryseobacterium sp. JAS14 and plant growth promoting Aeromonas caviae JAS15 with subsequent toxicity analysis.pdf | Changed degradation behavior of pesticides when present in mixtures..pdf
Pymetrozine,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pymetrozine,Yes,16,16,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,"A novel hydrolase PyzH catalyses the cleavage of C=N double bond for pymetrozine degradation in Pseudomonas sp. BYT-1..pdf | Acute Toxicity of an Emerging Insecticide Pymetrozine to Procambarus clarkii Associated with Rice-Crayfish Culture (RCIS)..pdf | Degradation of cyprodinil, fludioxonil, cyfluthrin and pymetrozine on lettuce after different application methods..pdf | Development and evaluation of pymetrozine controlled-release formulation to control paddy planthopper..pdf"
