pesticide,output_folder,workbook,readable_pdfs_processed,candidate_evidence_rows,existing_database_rows
Thiamethoxam,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707/thiamethoxam_pathway_curation_review.xlsx,150,150,22
Triazophos,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Triazophos/PesticideDB_curation_Triazophos_20260707,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Triazophos/PesticideDB_curation_Triazophos_20260707/triazophos_pathway_curation_review.xlsx,44,44,12
Vinclozolin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Vinclozolin/PesticideDB_curation_Vinclozolin_20260707,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Vinclozolin/PesticideDB_curation_Vinclozolin_20260707/vinclozolin_pathway_curation_review.xlsx,29,28,1
Trifloxystrobin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Trifloxystrobin/PesticideDB_curation_Trifloxystrobin_20260707,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Trifloxystrobin/PesticideDB_curation_Trifloxystrobin_20260707/trifloxystrobin_pathway_curation_review.xlsx,24,24,1
Abamectin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Abamectin/PesticideDB_curation_Abamectin_20260707,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Abamectin/PesticideDB_curation_Abamectin_20260707/abamectin_pathway_curation_review.xlsx,18,18,2
Glufosinate-Ammonium,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Glufosinate-Ammonium/PesticideDB_curation_Glufosinate_Ammonium_20260707,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Glufosinate-Ammonium/PesticideDB_curation_Glufosinate_Ammonium_20260707/glufosinate_ammonium_pathway_curation_review.xlsx,18,18,3
Imazamox,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Imazamox/PesticideDB_curation_Imazamox_20260707,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Imazamox/PesticideDB_curation_Imazamox_20260707/imazamox_pathway_curation_review.xlsx,18,18,2
Phosmet,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Phosmet/PesticideDB_curation_Phosmet_20260707,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Phosmet/PesticideDB_curation_Phosmet_20260707/phosmet_pathway_curation_review.xlsx,17,17,4
Thiophanate-Methyl,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiophanate-Methyl/PesticideDB_curation_Thiophanate_Methyl_20260707,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiophanate-Methyl/PesticideDB_curation_Thiophanate_Methyl_20260707/thiophanate_methyl_pathway_curation_review.xlsx,17,17,3
Pymetrozine,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pymetrozine/PesticideDB_curation_Pymetrozine_20260707,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pymetrozine/PesticideDB_curation_Pymetrozine_20260707/pymetrozine_pathway_curation_review.xlsx,16,16,2
Penthiopyrad,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Penthiopyrad/PesticideDB_curation_Penthiopyrad_20260707,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Penthiopyrad/PesticideDB_curation_Penthiopyrad_20260707/penthiopyrad_pathway_curation_review.xlsx,12,12,2
Mandipropamid,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Mandipropamid/PesticideDB_curation_Mandipropamid_20260707,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Mandipropamid/PesticideDB_curation_Mandipropamid_20260707/mandipropamid_pathway_curation_review.xlsx,11,11,17
Propamocarb,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Propamocarb/PesticideDB_curation_Propamocarb_20260707,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Propamocarb/PesticideDB_curation_Propamocarb_20260707/propamocarb_pathway_curation_review.xlsx,11,11,1
Fluxapyroxad,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Fluxapyroxad/PesticideDB_curation_Fluxapyroxad_20260707,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Fluxapyroxad/PesticideDB_curation_Fluxapyroxad_20260707/fluxapyroxad_pathway_curation_review.xlsx,9,9,1
Acibenzolar-S-methyl,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acibenzolar-S-methyl/PesticideDB_curation_Acibenzolar_S_methyl_20260707,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acibenzolar-S-methyl/PesticideDB_curation_Acibenzolar_S_methyl_20260707/acibenzolar_s_methyl_pathway_curation_review.xlsx,8,8,4
