source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
25,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,"2,4-D",Alcaligenes eutrophus JMP134,"2,4-D",Experimental evidence,"Not stated (lab strain, Australia origin in literature)",,1985,Dioxygenases,Fe(II)/α-KG dependent dioxygenase,"TfdA, TfdB, TfdC. TfdD, TfdE, TfdC1/TfdCII",10.1128/jb.161.1.85-90.1985,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
26,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,"2,4-D",Alcaligenes eutrophus JMP134,"2,4-D",Experimental evidence,"Not stated (lab strain, Australia origin in literature)",,1985,Monooxygenases,Chlorophenol hydroxylase,,10.1128/jb.161.1.85-90.1985,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
27,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,"2,4-D",Alcaligenes eutrophus JMP134,"2,4-D",Experimental evidence,"Not stated (lab strain, Australia origin in literature)",,1985,Dioxygenases,"Chlorocatechol 1,2-dioxygenase",,10.1128/jb.161.1.85-90.1985,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
28,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,"2,4-D",Alcaligenes eutrophus JMP134,"2,4-D",Experimental evidence,"Not stated (lab strain, Australia origin in literature)",,1985,Isomerases,Chloromuconate cycloisomerase,,10.1128/jb.161.1.85-90.1985,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
29,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,"2,4-D",Alcaligenes eutrophus JMP134,"2,4-D",Experimental evidence,"Not stated (lab strain, Australia origin in literature)",,1985,Hydrolases,Dienelactone hydrolase,,10.1128/jb.161.1.85-90.1985,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
30,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,"2,4-D",Alcaligenes eutrophus JMP134,"2,4-D",Experimental evidence,"Not stated (lab strain, Australia origin in literature)",,1985,Dioxygenases,"Chlorocatechol 1,2-dioxygenases",,10.1128/jb.161.1.85-90.1985,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
31,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,"2,4-D",Sphingomonas sp. TFD44,"2,4-D",Experimental evidence,Japan (NIAES culture),Japan,2005,Dioxygenases,Catechol dioxygenase,"tfdCDEF, tfdCII, tfdDII, tfdEII, tfdFII, + tfdK",10.1007/s00203-004-0748-3,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
32,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,"2,4-D",Sphingomonas sp. TFD44,"2,4-D",Enzymatic evidence,Herbicide wastewater treatment facility,USA,2005,,,"tfdC, tfdC2",10.1016/j.bbrc.2005.05.045,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
33,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,"2,4-D",Escherichia coli JMP502,"2,4-D",Experimental evidence,"Schuchardt, Mtinchen",USA,1983,,,TfdA,10.1007/BF00407938,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
34,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,"2,4-D",Sphingomonas paucimobilis 1443,"2,4-D",Experimental evidence,Agricultural field soil,China,1994,,,"tfdA, tfdB",10.1128/aem.60.4.1116-1120.1994,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
35,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,"2,4-D",Pseudomonas pickettii 712,"2,4-D",Experimental evidence,Agricultural soils,China,1994,,,tfdA,10.1128/aem.60.4.1116-1120.1994,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
36,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,"2,4-D",Cupriavidus campinensis BJ71,"2,4-D",Experimental evidence,Agricultural soils,China,2014,,,tfdA,10.1007/s11274-014-1680-6,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
