source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
674,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Phanerochaete chrysosporium ME-446,Acetamiprid,Experimental evidence,Laboratory strain,Not specified,2019,P450,Cytochrome P450,CYP5147A3,10.1016/j.jhazmat.2019.03.042,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
675,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Pigmentiphaga sp. strain AAP-1 ,Acetamiprid,Experimental evidence,Laboratory strain,China,2016,,,,10.1007/s11356-016-6482-y,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
676,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Pseudoxanthomonas sp. AAP-7,Acetamiprid,Experimental evidence,Contaminated soil,China,2013,,,,10.1016/j.biortech.2013.10.008,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
677,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Sphingobium sp.,Acetamiprid,Experimental evidence,Contaminated soil,China,2013,,,,10.3389/fmicb.2020.01429,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
678,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Acinetobacter sp.,Acetamiprid,Experimental evidence,Contaminated soil,China,2013,,,,10.3389/fmicb.2020.01429,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
679,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Afipia sp.,Acetamiprid,Experimental evidence,Contaminated soil,China,2013,,,,10.3389/fmicb.2020.01429,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
680,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Stenotrophomonas sp.,Acetamiprid,Experimental evidence,Contaminated soil,China,2013,,,,10.3389/fmicb.2020.01429,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
681,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Microbacterium  sp.,Acetamiprid,Experimental evidence,Contaminated soil,China,2013,,,,10.3389/fmicb.2020.01429,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
682,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Fusarium sp. CS-3,Acetamiprid,Experimental evidence,Soil,China,2018,,,,10.1007/s10532-018-9855-8,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
683,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Pigmentiphaga sp. strain AAP-1 ,Acetamiprid,Experimental evidence,Contaminated soil,China,2013,,,,10.1016/j.biortech.2013.03.193,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
684,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Streptomyces canus CGMCC 13662,Acetamiprid,Experimental evidence,Soil,China,2019,Amidases,Nitrile hydratase,"AnhD,
9 AnhE, and AnhA",10.1021/acs.jafc.8b06513,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
685,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Pigmentiphaga sp. strain D-2,Acetamiprid,Experimental evidence,Soil,China,2023,,,,10.1016/j.micres.2022.127278,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
686,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Pigmentiphaga sp. strain D-2 ,Acetamiprid,Experimental evidence,Soil,China,2021,,,,10.1007/s10646-020-02336-8,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
687,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Ensifer meliloti CGMCC 7333,Acetamiprid,Enzymatic evidence,Laboratory strain,China,2014,Amidases,Nitrile hydratase,Nhase,10.1021/jf503557t,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
688,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Ensifer adhaerens CGMCC 6315,Acetamiprid,Experimental evidence,Soil,China,2019,Amidases,Nitrile hydratase,pnhA (highest activity),10.1021/acs.jafc.8b06154,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
689,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Phanerochaete sordida YK-624,Acetamiprid,Experimental evidence,Not specified,Japan,2022,P450,Cytochrome P450s,Multiple CYP genes (11 upregulated),10.1080/09593330.2022.2026488,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
690,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Pigmentiphaga sp. D-2,Acetamiprid,Experimental evidence,Contaminated water,China,2020,Amidases,Amidase ,AceAB,10.1128/AEM.02425-19,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
691,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Stenotrophomonas maltophilia CGMCC 1.1788,Acetamiprid,Experimental evidence,Soil,China,2008,,,,10.1007/s10532-007-9170-2,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
692,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetamiprid,Ochrobactrum sp. D-12,Acetamiprid,Experimental evidence,Conataminated soil,China,2013,,,,10.1371/journal.pone.0082603,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
