source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
166,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetochlor,Pseudomonas aeruginosa strain JD115,Acetochlor ,Experimental evidence,Contaminated sludge,China,2015,,,,10.1007/s12010-015-1601-7,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
167,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetochlor,Proteiniclasticum sediminis BAD-10ᴛ,Acetochlor ,Experimental evidence,Sediment,China,2022,,,,10.1016/j.envres.2022.112859,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
168,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetochlor,Sphingomonas sp. DC-6,Acetochlor ,Experimental evidence,Contaminated soil,China,2018,Amidases,Amidases,"cndA, cmeH, meaX, meaY, meaA, meaB",10.1007/s13205-018-1324-x,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
169,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetochlor,Rhodococcus sp. MZ-3,Acetochlor ,Experimental evidence,Soil,China,2016,,,,10.1080/03601234.2016.1191907,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
170,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetochlor,Rhodococcus sp.T3-1,Acetochlor ,Experimental evidence,Contaminated soil,China,2015,P450,P450 EthBAD,"ethA, ethB, ethD cluster",10.1111/lam.12242,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
171,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetochlor,Delftia sp.T3-6,Acetochlor ,Experimental evidence,Contaminated soil,China,2015,P450,P450 EthBAD,"ethA, ethB, ethD cluster",10.1111/lam.12242,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
172,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetochlor,Sphingobium sp.MEA3-1,Acetochlor ,Experimental evidence,Contaminated soil,China,2015,P450,P450 EthBAD,"ethA, ethB, ethD cluster",10.1111/lam.12242,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
173,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetochlor,Sphingobium quisquiliarum DC-2,Acetochlor ,Experimental evidence,Activated sludge,China,2013,Amidases,Amidase,cmeH,10.1016/j.biortech.2013.09.038,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
174,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetochlor,Bacillus sp. ACD-9,Acetochlor ,Experimental evidence,Contaminated soil,China,2020,,,,10.1007/s13205-020-2056-2,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
175,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetochlor,Paracoccus sp. FLY-8,Acetochlor ,Experimental evidence,Soil,China,2011,P450,Cytochrome P450 oxygenase (EthBAD),"EthB (oxygenase), EthA (ferredoxin), EthD (reductase)",10.1021/jf104695g,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
176,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Acetochlor,Rhodococcus sp. Strain T3-1,Acetochlor ,Experimental evidence,Soil,China,2015,,,,10.1128/AEM.03601-14,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
