source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
517,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Aldrin and Dieldrin,Pleurotus ostreatus,Aldrin and Dieldrin ,Experimental evidence,Culture collection strain,Japan ,2017,,,,10.1007/s00284-016-1184-8,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
518,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Aldrin and Dieldrin,Wood-rot,Aldrin and Dieldrin ,Experimental evidence,Not specified,Not specified,2010,,,,10.1002/ps.1958,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
519,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Aldrin and Dieldrin,Phlebia acanthocystis,Aldrin and Dieldrin ,Experimental evidence,Culture collection strain,Japan,2011,,,,10.1016/j.chemosphere.2011.06.028,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
520,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Aldrin and Dieldrin,Phlebia brevispora,Aldrin and Dieldrin ,Experimental evidence,Culture collection strain,Japan,2011,,,,10.1016/j.chemosphere.2011.06.028,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
521,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Aldrin and Dieldrin,Phlebia aurea,Aldrin and Dieldrin ,Experimental evidence,Culture collection strain,Japan,1971,,,,10.1016/j.chemosphere.2011.06.028,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
522,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Aldrin and Dieldrin,Trichoderma koningi,Aldrin and Dieldrin ,Experimental evidence,Agriculture soil,Not specified,1971,,,,10.1007/BF01796853,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
523,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Aldrin and Dieldrin,Phanerochaete chrysosporium,Aldrin and Dieldrin ,Experimental evidence,Laboratory strain,USA,1990,,,,10.1128/aem.56.8.2347-2353.1990,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
524,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Aldrin and Dieldrin,Mucor racemosus strain DDF,Aldrin and Dieldrin ,Experimental evidence,Contaminated soil,Not specified,2018,,,,10.1584/jpestics.J18-03,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
525,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Aldrin and Dieldrin,Aerobacter aerogenes,Aldrin and Dieldrin ,Experimental evidence,Laboratory strain,USA,1968,Hydrolases,Epoxide hydrolase,,10.1128/am.16.4.661-662.1968,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
526,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Aldrin and Dieldrin,Clostridium sp.,Aldrin and Dieldrin ,Experimental evidence,River sediment,Taiwan,2005,,,,10.1016/j.chemosphere.2005.02.018,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
