source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
560,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Azoxystrobin,Ochrobactrum anthropi Strain SH14,Azoxystrobin ,Experimental evidence,Activated sludge,Not specified,2020,,,,10.3390/microorganisms8050625,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
561,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Azoxystrobin,Hyphomicrobium sp. DY-1,Azoxystrobin ,Experimental evidence,Agricultural soil,China,2021,Hydrolases,Esterase,StrH ,10.1128/AEM.00103-21,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
562,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Azoxystrobin,Bacillus subtilis MK101,Azoxystrobin ,Experimental evidence,Contaminated soil ,Not specified,2023,,,"benC, pcaG, pcaH",10.1016/j.scitotenv.2023.164375,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
563,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Azoxystrobin,Pseudomonas kermanshahensis MK113,Azoxystrobin ,Experimental evidence,Contaminated soil ,Not specified,2023,,,"benC, pcaG, pcaH",10.1016/j.scitotenv.2023.164375,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
564,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Azoxystrobin,Rhodococcus fascians MK144 ,Azoxystrobin ,Experimental evidence,Contaminated soil ,Not specified,2023,,,"benC, pcaG, pcaH",10.1016/j.scitotenv.2023.164375,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
565,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Azoxystrobin,Rhodanobacter sp. (CCH1),Azoxystrobin ,Experimental evidence,Contaminated soil ,Not specified,2014,,,,10.1016/j.chemosphere.2013.09.048,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
566,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Azoxystrobin,Cupriavidus sp. (CCH2),Azoxystrobin ,Experimental evidence,Contaminated soil ,Not specified,2014,,,,10.1016/j.chemosphere.2013.09.048,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
567,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Azoxystrobin,Bacillus sp. LM655314.1,Azoxystrobin ,Experimental evidence,Contaminated soil ,Poland,2017,Dehalogenases,Dehydrogenases,,10.1007/s11270-016-3200-9,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
568,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Azoxystrobin,Bacillus sp. LM655314.1,Azoxystrobin ,Experimental evidence,Contaminated soil ,Poland,2017,Oxidoreductases,Catalase,,10.1007/s11270-016-3200-9,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
569,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Azoxystrobin,Bacillus sp. LM655314.1,Azoxystrobin ,Experimental evidence,Contaminated soil ,Poland,2017,Hydrolases,Urease,,10.1007/s11270-016-3200-9,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
