source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
693,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbaryl,Pseudomonas sp. XWY-1,Carbaryl,Experimental evidence,Conataminated soil,China,2021,Hydrolases,Carbaryl hydrolase,"mcbA, mcbB-F, mcbG",10.1128/AEM.02970-20,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
694,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbaryl,Rhizobium sp. X9,Carbaryl,Enzymatic evidence,Conataminated soil,China,2021,Hydrolases,1-naphthol hydroxylase,"CehA, CehC1, CehC2",10.1021/acs.jafc.0c03845 ,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
695,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbaryl,Pseudomonas putida XWY-1,Carbaryl,Genomic evidence ,Soil,China,2019,Hydrolases,Carbaryl hydrolase,"mcbABCDEF, mcbIJKLM, mcbOPQ",10.1007/s00284-019-01637-4,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
696,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbaryl,Bacillus licheniformis B-1,Carbaryl,Experimental evidence,Agricultural soil,China,2020,Phosphodiesterase,Phosphodiesterase,pde,10.1007/s10532-020-09899-7,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
697,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbaryl,Xylaria sp. BNL1,Carbaryl,Experimental evidence,Soil,China,2020,Hydrolases,Carbaryl esterase,,10.1016/j.ecoenv.2018.10.051,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
698,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbaryl,Xylaria sp. BNL1,Carbaryl,Experimental evidence,Soil,China,2019,P450,CYP450,,10.1016/j.ecoenv.2018.10.051,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
699,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbaryl,Xylaria sp. BNL1,Carbaryl,Experimental evidence,Soil,China,2019,Peroxidases,Laccase,,10.1016/j.ecoenv.2018.10.051,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
700,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbaryl,Rhizobium sp. X9,Carbaryl,Experimental evidence,Contaminated soil,China,2023,Hydrolases,Hydroxylase,"cehG, cehH, cehI, cehR4",10.1128/aem.00802-23,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
701,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbaryl,Rhizobium sp. X9,Carbaryl,Experimental evidence,Contaminated soil,China,2023,,,,10.1128/aem.00802-23,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
702,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbaryl,Pseudomonas sp. XWY-1,Carbaryl,Experimental evidence,Soil,China,2022,Hydrolases,Carbaryl hydrolase enzymes,"mcbG, mcbH, mcbN",10.1128/AEM.02060-21,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
703,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbaryl,Stenotrophomonas sp. YC-1,Carbaryl,Enzymatic evidence,Contaminated soil,China,2017,Hydrolases,Carbaryl hydrolase (CH),cehA (heterologous display),10.1038/s41598-017-13788-0,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
704,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbaryl,Pseudomonas sp. strains C5pp,Carbaryl,Enzymatic evidence,Soil,India,2018,Hydrolases,Carbaryl hydrolase,mcbA,10.1128/AEM.02115-17,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
705,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbaryl,Pseudomonas sp. C5pp,Carbaryl,Experimental evidence,Soil,India,2018,Hydrolases,Carbaryl hydrolase,mcbA,10.1128/AEM.01866-18,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
706,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbaryl,Blastobacter sp. M501,Carbaryl,Enzymatic evidence,Agricultural soil,Japan,1993,Hydrolases,Carbaryl hydrolase,,10.1128/AEM.59.7.2121-2125.1993,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
707,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbaryl,Pseudomonas aeruginosa,Carbaryl,Enzymatic evidence,Soil,USA,1993,Hydrolases,Carbaryl hydrolase,,10.1128/jb.175.20.6711-6716.1993,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
708,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbaryl,Arthrobacter sp. RC100,Carbaryl,Experimental evidence,Agricultural soil,Japan,1999,Hydrolases,Carbaryl hydrolase,,10.1128/AEM.65.3.1015-1019.1999,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
