source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
644,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbendazim,Mycobacterium sp. strain djl-10,Carbendazim,Genomic evidence ,Contaminated soil,China,2017,Hydrolases,MBC-hydrolyzing esterase,mhe (mheI),10.1128/genomea.01683-16,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
645,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbendazim,Bacillus velezensis HY-3479,Carbendazim,Experimental evidence,Rhizosphere soil,South Korea,2023,Hydrolases,Carbendazim-hydrolyzing esterase,"mheI, hdx",10.1007/s10123-023-00427-0,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
646,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbendazim,Pseudomonas sp. CBW,Carbendazim,Experimental evidence,Agricultural soil,China,2010,,,,10.1007/s10532-010-9353-0,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
647,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbendazim,Rhodococcus sp. djl-6,Carbendazim,Experimental evidence,Contaminated soil,China,2006,,,,10.1007/s00284-005-0474-3,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
648,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbendazim,Klebsiella oxytoca,Carbendazim,Experimental evidence,Biofilm reactor,Mexico,2020,Hydrolases,MBC-hydrolyzing esterase,mheI,10.1007/s11356-019-07069-8,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
649,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbendazim,Flavobacterium johnsoniae,Carbendazim,Experimental evidence,Biofilm reactor,Mexico,2020,Hydrolases,MBC-hydrolyzing esterase,mheI,10.1007/s11356-019-07069-8,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
650,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbendazim,Stenotrophomonas maltophilia,Carbendazim,Experimental evidence,Biofilm reactor,Mexico,2020,Hydrolases,MBC-hydrolyzing esterase,mheI,10.1007/s11356-019-07069-8,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
651,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbendazim,Mycobacterium sp. SD-4,Carbendazim,Experimental evidence,Contaminated soil,China,2017,,,mheI,10.1016/j.jhazmat.2017.02.007,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
652,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbendazim,Rhodococcus qingshengii djl-6,Carbendazim,Enzymatic evidence,Not specified,Not specified,2022,Hydrolases,Carbendazim hydrolase,MheI ,10.1111/1462-2920.16139 ,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
653,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbendazim,Rhodococcus jialingiae djl-6-2,Carbendazim,Enzymatic evidence,Not specified,Not specified,2022,Hydrolases,Carbendazim hydrolase,CbmA ,10.1111/1462-2920.16139 ,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
654,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbendazim,Nocardioides sp. strain SG-4G,Carbendazim,Experimental evidence,Contaminated soil,Not specified,2010,,,native mhel:optimized mheI,10.1128/AEM.02990-09,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
