source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
909,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Pseudomonas spp.,Carbofuran,Experimental evidence,Agricultural soil,USA,1988,,,,10.1128/aem.54.6.1414-1419.1988,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
910,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Flavobacterium spp.,Carbofuran ,Experimental evidence,Agricultural soil,USA,2023,,,,10.1128/aem.54.6.1414-1419.1988,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
911,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Pseudomonas aeruginosa S07,Carbofuran ,Experimental evidence,Contaminated soil,India,2023,,,,10.1007/s11356-023-30466-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
912,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Paracoccus sp. YM3,Carbofuran ,Experimental evidence,Contaminated soil,China,2008,,,,10.1080/03601230802234492,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
913,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Pseudomonas sp. NJ-101,Carbofuran ,Experimental evidence,Agricultural soil,India,2004,,,,10.1016/S0378-1097(03)00894-2,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
914,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Azospirillum lipoferum,Carbofuran ,Experimental evidence,Soil,India,1984,,,,No DOI ( Degradation of carbofuran byAzospirillum lipoferum andStreptomyces spp. isolated from flooded alluvial soil.),1,No,citation_without_DOI,manual_citation_needed,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
915,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Streptomyces spp.,Carbofuran ,Experimental evidence,Soil,India,1984,,,,No DOI ( Degradation of carbofuran byAzospirillum lipoferum andStreptomyces spp. isolated from flooded alluvial soil.),1,No,citation_without_DOI,manual_citation_needed,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
916,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Enterobacter sp. LC368285,Carbofuran ,Experimental evidence,Agricultural soil,Bangladesh,2020,,,,10.1002/jobm.201900570,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
917,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Enterobacter sp. BRC05,Carbofuran ,Experimental evidence,Agricultural soil,Malaysia,2020,,,,10.3390/molecules25122771,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
918,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Chryseobacterium sp. BSC2-3,Carbofuran ,Experimental evidence,Agricultural soil,China,2022,,,,10.3390/metabo12030219,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
919,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Sphingomonas sp. SB5,Carbofuran ,Experimental evidence,Contaminated soil,Korea,2004,,,,10.1021/jf035502l,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
920,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Arthrobacter sp.,Carbofuran ,Experimental evidence,Contaminated soil,India,1988,,,,10.1128/aem.54.8.2129-2133.1988,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
921,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Sphingomonas sp. CF06,Carbofuran ,Experimental evidence,Agricultural soil,USA,1977,Hydrolases,Carbofuran hydrolase,"mcd (hydrolase); catA, xylE probed",10.1128/aem.63.4.1332-1337.1997,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
922,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Sphingomonas sp. CDS-1,Carbofuran ,Experimental evidence,Agricultural soil,China,2018,Hydrolases,Hydrolase,cehA,10.1128/AEM.00805-18,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
923,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Sphingomonas sp. CDS-1,Carbofuran ,Experimental evidence,Agricultural soil,China,2018,Monooxygenases,FMN/FAD-dependent monooxygenase,cfdC,10.1128/AEM.00805-18,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
924,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Sphingbium sp. CFD-1,Carbofuran ,Experimental evidence,Agricultural soil,China,2020,Hydrolases,Carbofuran hydrolase,cehA,10.1016/j.ecoenv.2019.109938,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
925,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Pseudomonas sp. 50432,Carbofuran ,Experimental evidence,Soil,USA,2002,Monooxygenases,Hydroxylase,,10.1016/S0378-1097(02)00851-0,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
926,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Pseudomonas sp. 50432,Carbofuran ,Experimental evidence,Soil,USA,2002,Hydrolases,Hydrolase,,10.1016/S0378-1097(02)00851-0,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
927,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Burkholderia cepacia PCL3,Carbofuran ,Experimental evidence,Rhizosphere soil,Thailand,2011,Hydrolases,Carbamate hydrolase,,10.1016/j.nbt.2011.04.005,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
928,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran, Sphingomonas sp. CFO6,Carbofuran ,Experimental evidence,Agricultural soil,USA,2000,Hydrolases,Carbofuran hydrolase,mcd-like,10.1016/S0168-6496(00)00024-6,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
929,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Achromobacter sp. WM111,Carbofuran ,Experimental evidence,Agricultural soil,USA,1989,Hydrolases,Carbofuran hydrolase,mcd,10.1128/jb.171.7.4038-4044.1989,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
930,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Sphingobium sp. CFD-1,Carbofuran ,Experimental evidence,Agricultural soil,China,2022,Hydrolases,Carbofuran hydrolase,CehA,10.1128/aem.01024-22,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
931,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Sphingobium sp. CFD-1,Carbofuran ,Experimental evidence,Agricultural soil,China,2022,Monooxygenases,FMN/FAD-dependent monooxygenase,CfdC,10.1128/aem.01024-22,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
932,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Sphingobium sp. CFD-1,Carbofuran ,Experimental evidence,Agricultural soil,China,2022,Dioxygenase,Dioxygenase,CfdE,10.1128/aem.01024-22,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
933,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Sphingobium sp. CFD-1,Carbofuran ,Experimental evidence,Agricultural soil,China,2022,Oxidoreductases,Oxidoreductases,CfdF,10.1128/aem.01024-22,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
934,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Pseudomonas putida KT2440,Carbofuran ,Experimental evidence,Engineered strain,China,2016,Hydrolases,Carbofuran hydrolase,mcd,10.1111/1751-7915.12381,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
935,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Novosphingobium sp. KN65.2,Carbofuran ,Experimental evidence,Engineered strain,Vietnam,2014,Monooxygenases,FMN/FAD-dependent monooxygenase,cfdC,10.1007/s00253-014-5858-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
936,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Carbofuran,Novosphingobium sp. KN65.2,Carbofuran ,Experimental evidence,Agricultural soil,Vietnam,2014,Dioxygenase,Dioxygenase,CfdE,10.1007/s00253-014-5858-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
