source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
623,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Chlorothalonil,Bacillus cereus strain NS1,Chlorothalonil,Experimental evidence,Contaminated water,USA,2007,,,,10.1016/j.scitotenv.2007.04.010,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
624,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Chlorothalonil,Pseudomonas sp. Strain CDS-8,Chlorothalonil,Experimental evidence,Agricultural soil,China,2016,,,,10.1016/j.jhazmat.2016.07.063,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
625,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Chlorothalonil,Stenotrophomonas acidaminiphila BJ1,Chlorothalonil,Experimental evidence,Agricultural soil,China,2017,,,,10.1186/s13568-017-0530-y,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
626,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Chlorothalonil,Ochrobactrum sp. CTN-11,Chlorothalonil,Experimental evidence,Contaminated soil,China,2010,Dehalogenases,Hydrolytic dehalogenase,gst-like gene (non-functional),10.1007/s00284-010-9603-8,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
627,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Chlorothalonil,Ochrobactrum lupini strain TP-D1,Chlorothalonil,Experimental evidence,Contaminated soil,China,2011,Dehalogenases,Dehalogenation system,,10.1007/s11274-010-0631-0,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
628,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Chlorothalonil,Stenotrophomonas acidaminiphila BJ1,Chlorothalonil,Experimental evidence,Agricultural soil,China,2019,,,,10.1098/rsos.190562,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
629,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Chlorothalonil,Paracoccus sp. XF-3,Chlorothalonil,Experimental evidence,Agricultural soil,China,2015,Dehalogenases,Hydrolytic dehalogenase,chd,10.1016/j.jbiosc.2015.03.013,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
630,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Chlorothalonil,Pseudomonas sp. CTN-3,Chlorothalonil,Enzymatic evidence,Laboratory strain,China,2010,Dehalogenases,Hydrolytic Dehalogenase,Chd,10.1128/JB.01547-09,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
631,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Chlorothalonil,Ochrobactrum anthropi sh35b,Chlorothalonil,Enzymatic evidence,Soil,South Korea,2004,Transferases,Glutathione S-transferase (GST),gst,10.1021/jf040047u,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
632,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Chlorothalonil,Trametes versicolor,Chlorothalonil,Enzymatic evidence,White-rot fungus culture,China,2022,Peroxidases,Laccase,,10.1038/srep35787,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
633,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Chlorothalonil,Metagenomics study,Chlorothalonil,Experimental evidence,Soil,India,2022,Peroxidases,laccase,,10.1016/j.micres.2022.127081,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
