source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
201,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Bacillus subtilis BSF01,Cyfluthrin/beta-cyfluthrin,Enzymatic evidence,Not specified,Not specified,2020,Hydrolases,Carboxylesterase assay system,cesB,10.3389/fbioe.2020.00889,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
202,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Cellulosimicrobium sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
203,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Cellulosimicrobium sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
204,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Burkholderia sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
205,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Burkholderia sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
206,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Caballoeronia sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
207,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Caballoeronia sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
208,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Paraburkholderia sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
209,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Paraburkholderia sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
210,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Mycobacterium sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
211,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Mycobacterium sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
212,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Paenibacillus sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
213,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Paenibacillus sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
214,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Agromyces sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
215,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Agromyces sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
216,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Afipia sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
217,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Afipia sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
218,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Acromobacter sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
219,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Acromobacter sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
220,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Enterobacter sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Hydrolases,Carboxylesterase,,10.1021/acs.jafc.2c00574,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
221,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Cyfluthrin/beta-cyfluthrin,Enterobacter sp.,Cyfluthrin/beta-cyfluthrin,Experimental evidence,Contaminated soil,China,2022,Oxidoreductases,Oxidoreductases,,10.1021/acs.jafc.2c00574,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
