source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
834,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Stenotrophomonas sp. DDT-1,DDT,Experimental evidence,Contaminated soil,China ,2016,Dehalogenases,Dehydrochlorinase,linl,10.1038/srep21332,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
835,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Stenotrophomonas sp. DDT-1,DDT,Experimental evidence,Contaminated soil,China ,2016,Dioxygenase ,Dioxygenase ,,10.1038/srep21332,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
836,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Fusarium solani,DDT,Experimental evidence,Contaminated soil,India,2001,Dehalogenases,Dehalogenase,,10.1023/a:1013117406216,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
837,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Trichoderma hamatum FBL 587,DDT,Experimental evidence,Agricultural soil,Poland,2019,,,,10.1128/AEM.01720-19,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
838,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Rhizopus arrhizus  FBL 578,DDT,Experimental evidence,Agricultural soil,Poland,2019,,,,10.1128/AEM.01720-19,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
839,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Ochrobactrum sp. DDT-2,DDT,Experimental evidence,Contaminated soil,China,2017,Dehalogenases,Dehydrochlorinase,,10.1016/j.scitotenv.2017.03.052,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
840,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Phlebia lindtneri GB-1027,DDT,Experimental evidence,Culture collection,Japan,2011,P450,Cytochrome P-450,,10.1007/s10532-010-9443-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
841,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Phlebia brevispora TMIC34596,DDT,Experimental evidence,Culture collection,Japan,2011,P450,Cytochrome P-450,,10.1007/s10532-010-9443-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
842,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Fomitopsis pinicola,DDT,Experimental evidence,Laboratory culture,Japan,2017,,,,10.1007/s00284-017-1286-y,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
843,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Bacillus subtilis,DDT,Experimental evidence,Laboratory culture,Japan,2017,,,,10.1007/s00284-017-1286-y,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
844,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Alcaligenes eutrophus A5,DDT,Experimental evidence,Contaminated soil,USA,1994,Dioxygenases,Dioxygenase,,10.1128/aem.60.1.51-55.1994,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
845,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Pseudomonas sp.,DDT,Experimental evidence,Contaminated soil,India,2003,Dioxygenases,Dioxygenase,,10.1007/s00284-003-4053-1,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
846,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Hydrogenomonas sp.,DDT,Experimental evidence,Sediment,USA,1972,Dehalogenases,Reductive dechlorinases (cell-free extracts),,10.1021/jf60182a045,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
847,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Arthrobacter sp.,DDT,Experimental evidence,Sediment,USA,1972,Dehalogenases,Reductive dechlorinases (cell-free extracts),,10.1021/jf60182a045,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
848,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Enterobacter cloacae,DDT,Experimental evidence,Contaminated soil,India,2021,,,,10.1177/11786361211024289,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
849,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Alcaligenes sp. DG-5,DDT,Experimental evidence,Contaminated soil,China,2011,Oxidoreductases,Oxygenase,,10.1080/03601234.2011.540534,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
850,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Phanerochaete  chrysosporium ME-446,DDT,Experimental evidence,Culture collection,USA,1987,Peroxidases,Lignin peroxidase,,10.1128/aem.53.9.2001-2008.1987,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
851,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,DDT,Phanerochaete  chrysosporium ME-446,DDT,Experimental evidence,Culture collection,USA,1987,Peroxidases,Manganese peroxidase,,10.1128/aem.53.9.2001-2008.1987,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
