source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
655,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Klebsiella oxytoca KE-8,Endosulfan,Experimental evidence,Agriculture soil,China,2005,,,,10.1007/s00253-004-1879-9,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
656,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Pseudomonas sp. MSCAS-BT01,Endosulfan,Experimental evidence,Agriculture soil,India,2014,Hydrolases,Hydrolase,,10.1007/s12010-022-03869-w,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
657,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Bordetella petrii I GV 34,Endosulfan,Experimental evidence,Contaminated soil,India,2014,,,,10.1080/03601234.2015.975596,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
658,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Bordetella petrii II GV 36,Endosulfan,Experimental evidence,Contaminated soil,India,2014,,,,10.1080/03601234.2015.975596,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
659,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Klebsiella sp. M3,Endosulfan,Experimental evidence,Agricultural soil,India,2013,,,,10.1007/s00128-013-1168-3,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
660,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Achromobacter xylosoxidans strain CS5,Endosulfan,Experimental evidence,Activated sludge,China,2009,,,,10.1016/j.jhazmat.2008.12.111,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
661,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Stenotrophomonas maltophilia OG2,Endosulfan,Experimental evidence,Cockroach living in pesticide contaminated place,Not specified,2017,,,,10.1007/s13205-017-0765-y ,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
662,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Acinetobacter schindleri B7 ,Endosulfan,Experimental evidence,Grasshopper microflora,Not specified,2022,,,,10.1007/s00203-022-02765-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
663,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Botryosphaeria laricina JAS6,Endosulfan,Experimental evidence,Contaminated soil,India,2013,,,,10.1371/journal.pone.0077170,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
664,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Aspergillus tamarii JAS9,Endosulfan,Experimental evidence,Contaminated soil,India,2013,,,,10.1371/journal.pone.0077170,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
665,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Klebsiella pneumoniae KE-1,Endosulfan,Experimental evidence,Contaminated soil,South Korea,2002,,,,10.1016/S0378-1097(02)00954-0,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
666,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Pseudomonas sp. Strain IITR01,Endosulfan,Experimental evidence,Contaminated soil,India,2010,,,Non-homologous to esd,10.1111/j.1365-2672.2010.04845.x,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
667,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Klebsiella sp. M3,Endosulfan,Experimental evidence,Soil,India,2014,,,Endosulfan-metabolizing gene,10.1016/j.jhazmat.2013.11.061,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
668,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Achromobacter sp. M6,Endosulfan,Experimental evidence,Soil,India,2014,,,Endosulfan-metabolizing gene,10.1016/j.jhazmat.2013.11.061,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
669,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Rhodococcus sp. M2,Endosulfan,Experimental evidence,Soil,India,2014,,,Endosulfan-metabolizing gene,10.1016/j.jhazmat.2013.11.061,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
670,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Pseudomonas mendocina ZAM1,Endosulfan,Experimental evidence,Agriculture soil,Not specified,2017,,,,10.1007/s13205-017-0823-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
671,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Pseudomonas strain W15Feb9B,Endosulfan,Genomic evidence ,River sediment,USA,2016,,,,10.1016/j.gdata.2016.05.008,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
672,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Achromobacter xylosoxidans Strain C8B,Endosulfan,Experimental evidence,Agricultural soil,China,2011,Hydrolases,Hydrolase,,10.1007/s10532-010-9442-0,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
673,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endosulfan,Mortierella sp. strain W8,Endosulfan,Experimental evidence,Agricultural soil,Australia,2011,,,,10.1016/j.chemosphere.2011.08.021,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
