source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
271,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endrin,Burkholderia sp. strain MED-7,Endrin ,Experimental evidence,Soil,Japan,2008,,,,10.1007/s00253-008-1670-4,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
272,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endrin,Cupriavidus sp. strain MED-5,Endrin ,Experimental evidence,Soil,Japan,2008,,,,10.1007/s00253-008-1670-4,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
273,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endrin,Phlebia acanthocystis,Endrin ,Experimental evidence,Wood,Not specified,2006,,,,10.1016/j.myc.2019.04.004,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
274,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endrin,Phlebia brevispora,Endrin ,Experimental evidence,Wood,Not specified,2006,,,,10.1016/j.myc.2019.04.004,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
275,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endrin,Trichoderma viride 12,Endrin ,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
276,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endrin,Pseudomonas sp. 27,Endrin ,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
277,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endrin,Pseudomonas sp. 33,Endrin ,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
278,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endrin,Pseudomonas sp. 34,Endrin ,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
279,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endrin,Trichoderma viride 41,Endrin ,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
280,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Endrin,Pseudomonas sp. 94,Endrin ,Experimental evidence,Not specified,Not specified,1970,,,,10.1128/am.19.5.879-881.1970,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
