source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
3,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Esfenvalerate,Lysinibacillus sp. CBMAI2051,Esfenvalerate,Experimental evidence,Savannah,Brazil,2020,,,,10.21577/0103-5053.20200051,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
4,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Esfenvalerate,Bacillus cereus CBMAI2067,Esfenvalerate,Experimental evidence,Savannah,Brazil,2020,,,,10.21577/0103-5053.20200051,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
5,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Esfenvalerate,Bacillus sp. CBMAI2052,Esfenvalerate,Experimental evidence,Savannah,Brazil,2020,Hydrolases,Carboxylesterases ,,10.21577/0103-5053.20200051,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
6,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Esfenvalerate,"Penicillium
raistrickii CBMAI 931",Esfenvalerate,Experimental evidence,Marine sponge,Brazil,2015,,,,10.1007/s10126-016-9710-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
7,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Esfenvalerate,Aspergillus sydowii CBMAI 935,Esfenvalerate,Experimental evidence,Marine sponge,Brazil,2015,,,,10.1007/s10126-016-9710-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
8,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Esfenvalerate,Cladosporium sp. CBMAI 1237,Esfenvalerate,Experimental evidence,Marine sponge,Brazil,2015,,,,10.1007/s10126-016-9710-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
9,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Esfenvalerate,"Microsphaeropsis sp.
CBMAI 1675",Esfenvalerate,Experimental evidence,Marine sponge,Brazil,2015,,,,10.1007/s10126-016-9710-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
10,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Esfenvalerate,Acremonium sp. CBMAI 1676,Esfenvalerate,Experimental evidence,Marine sponge,Brazil,2015,,,,10.1007/s10126-016-9710-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
11,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Esfenvalerate,"Westerdykella
sp. CBMAI 1679",Esfenvalerate,Experimental evidence,Marine sponge,Brazil,2015,,,,10.1007/s10126-016-9710-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
12,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Esfenvalerate,Cladosporium sp. CBMAI 1678,Esfenvalerate,Experimental evidence,Marine sponge,Brazil,2015,,,,10.1007/s10126-016-9710-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
