source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
393,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenamiphos,Microbacterium esteraromaticum,Fenamiphos ,Experimental evidence,Soil,Australia,2009,Hydrolases,Organophosphorus hydrolase / esterase,,10.1016/j.biortech.2008.12.043,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
394,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenamiphos,Microbacterium esteraromaticum MM1,Fenamiphos ,Genomic evidence,Soil,Australia,2018,Hydrolases,Putative esterases / hydrolases,,10.1128/MRA.00862-18,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
395,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenamiphos,Microbacterium spp.,Fenamiphos ,Experimental evidence,Contaminated soil,Germany,2010,Hydrolases,Hydrolytic enzymes,,10.1007/s10532-010-9362-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
396,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenamiphos,Cupriavidus sp.,Fenamiphos ,Experimental evidence,Contaminated soil,Germany,2010,Hydrolases,Hydrolytic enzymes,,10.1007/s10532-010-9362-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
397,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenamiphos,Ralstonia sp.,Fenamiphos ,Experimental evidence,Contaminated soil,Germany,2010,Hydrolases,Hydrolytic enzymes,,10.1007/s10532-010-9362-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
398,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenamiphos,Brevundimonas sp.,Fenamiphos ,Experimental evidence,Contaminated soil,Germany,2010,Hydrolases,Hydrolytic enzymes,,10.1007/s10532-010-9362-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
399,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenamiphos,Sinorhizobium sp.,Fenamiphos ,Experimental evidence,Contaminated soil,Germany,2010,Hydrolases,Hydrolytic enzymes,,10.1007/s10532-010-9362-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
400,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenamiphos,Chlorella sp.,Fenamiphos ,Experimental evidence,Laboratory cultures,Spain,2008,,,,10.1007/s00284-008-9293-7,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
401,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenamiphos,Scenedesmus spp.,Fenamiphos ,Experimental evidence,Laboratory cultures,Spain,2008,,,,10.1007/s00284-008-9293-7,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
402,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenamiphos,Nostoc spp.,Fenamiphos ,Experimental evidence,Laboratory cultures,Spain,2008,,,,10.1007/s00284-008-9293-7,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
403,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenamiphos,Anabaena sp.,Fenamiphos ,Experimental evidence,Laboratory cultures,Spain,2008,,,,10.1007/s00284-008-9293-7,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
