source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
338,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenvalerate,Bacillus flexus strain XJU-4,Fenvalerate,Experimental evidence,Not specified,Not specified,2017,Hydrolases,Fenvalerate-hydrolyzing esterase,,10.1007/s13205-017-0957-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
339,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenvalerate,Bacillus flexus strain XJU-4,Fenvalerate,Experimental evidence,Not specified,Not specified,2017,Oxidoreductases,3-phenoxybenzaldehyde dehydrogenase,,10.1007/s13205-017-0957-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
340,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenvalerate,Bacillus flexus strain XJU-4,Fenvalerate,Experimental evidence,Not specified,Not specified,2017,Dioxygenases,3-phenoxybenzoate dioxygenase,,10.1007/s13205-017-0957-5,3,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
341,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenvalerate,Bacillus flexus strain XJU-4,Fenvalerate,Experimental evidence,Not specified,Not specified,2017,Monooxygenases,Phenol hydroxylase,,10.1007/s13205-017-0957-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
342,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenvalerate,Bacillus flexus strain XJU-4,Fenvalerate,Experimental evidence,Not specified,Not specified,2017,Dioxygenases,"Protocatechuate 2,3-dioxygenase",,10.1007/s13205-017-0957-5,3,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
343,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenvalerate,Bacillus flexus strain XJU-4,Fenvalerate,Experimental evidence,Not specified,Not specified,2017,Dioxygenases,"Catechol 2,3-dioxygenase",,10.1007/s13205-017-0957-5,3,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
344,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenvalerate,Stenotrophomonas sp. ZS-S-01,Fenvalerate,Experimental evidence,Agriculture soil,China,2011,,,,10.1007/s00253-010-3035-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
345,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenvalerate,Citrobacter freundii CD-9,Fenvalerate,Experimental evidence,Plant-sludge,China,2020,Hydrolases,Esterases,,10.1186/s13568-020-01128-x,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
346,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenvalerate,Citrobacter freundii CD-9,Fenvalerate,Experimental evidence,Plant-sludge,China,2022,Hydrolases,Esterases,,10.1186/s13568-022-01392-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
347,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fenvalerate,Citrobacter freundii CD-9,Fenvalerate,Experimental evidence,Plant-sludge,China,2022,Dioxygenases,Aromatic dioxygenases,,10.1186/s13568-022-01392-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
