source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
550,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fipronil,Rhodococcus sp. FIP_B3,Fipronil,Experimental evidence,Agricultural soil,India,2025,P450,Cytochrome P450,CYP450 family genes,10.1016/j.envpol.2024.125320,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
551,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fipronil,Rhodococcus sp. FIP_B4,Fipronil,Experimental evidence,Agricultural soil,India,2025,Dehalogenases,Dehalogenase,,10.1016/j.envpol.2024.125320,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
552,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fipronil,Pseudomonas sp. FIP_A4,Fipronil,Experimental evidence,Contaminated soil,India,2024,P450,Cytochrome P450,CYP450-like genes,10.1016/j.chemosphere.2024.142944,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
553,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fipronil,Pseudomonas sp. FIP_A4,Fipronil,Experimental evidence,Contaminated soil,India,2024,Dioxygenases,Dioxygenase,,10.1016/j.chemosphere.2024.142944,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
554,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fipronil,Streptomyces rochei AJAG7 (NR),Fipronil,Experimental evidence,Contaminated soil,India,2019,,,,10.1016/j.pestbp.2019.01.011,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
555,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fipronil,Enterobacter chengduensis G2.8,Fipronil,Experimental evidence,Agricultural soil,China,2023,Hydrolases,Esterase,,10.3390/life13091935,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
556,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fipronil,Bacillus sp. FA4,Fipronil,Experimental evidence,Contaminated soil,India,2021,Hydrolases,Esterase,,10.1016/j.chemosphere.2021.130156,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
557,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fipronil,Bacillus firmus,Fipronil,Experimental evidence,Agircultural soil,India,2014,Peroxidases,Laccase,,10.1016/j.chemosphere.2013.11.043,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
558,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fipronil,Aspergillus glaucus strain AJAG1,Fipronil,Experimental evidence,Agricultural soil,India,2017,Peroxidases,Laccase,,10.1007/s13205-017-0820-8,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
559,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Fipronil,Aspergillus glaucus strain AJAG1,Fipronil,Experimental evidence,Agricultural soil,India,2017,Peroxidases,Peroxidase,,10.1007/s13205-017-0820-8,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
