source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
981,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Glyphosate,Enterobacter cloacae K7,Glyphosate,Experimental evidence,Rhizoplane,Russia,2014,Lyases,C–P lyase,,10.1016/j.micres.2013.03.002,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
982,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Glyphosate,Arthrobacter sp. GLP-1/Nit-1,Glyphosate,Experimental evidence,Soil (Modified stain),Germany,1988,Lyases,C–P lyase,phn operon (implied),10.1128/aem.54.11.2868-2870.1988,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
983,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Glyphosate,Bacillus cereus CB4,Glyphosate,Experimental evidence,Contaminated soil,China,2012,Lyases,C–P lyase,Not specied,10.2323/jgam.58.263,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
984,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Glyphosate,Bacillus cereus CB4,Glyphosate,Experimental evidence,Contaminated soil,China,2012,Oxidoreductases,Glyphosate oxidoreductase,,10.2323/jgam.58.263,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
985,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Glyphosate,Ochrobactrum sp. BTU1,Glyphosate,Experimental evidence,Not specified,Germany,2024,Lyases,C–P lyase,phnCDEFGHIJKLMNOP,10.1016/j.micres.2024.127600,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
986,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Glyphosate,Burkholderia vietnamiensis AQ5-12,Glyphosate,Experimental evidence,Contaminated soil,Malaysia,2018,,,,10.1007/s13205-018-1141-2,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
987,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Glyphosate, Burkholderia sp. AQ5-13,Glyphosate,Experimental evidence,Contaminated soil,Malaysia,2018,,,,10.1007/s13205-018-1141-2,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
988,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Glyphosate,Pseudomonas sp. PG2982,Glyphosate,Experimental evidence,Soil,USA,1987,Glyphosate oxidase,Sarcosine oxidase,,PMID: 2442160 (no DOI),1,No,PMID,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
989,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Glyphosate,Pseudomonas sp. QJX-1,Glyphosate,Experimental evidence,Water,China,2023,Oxidoreductases,Oxidoreductases,,10.1016/j.jhazmat.2023.130902,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
990,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Glyphosate,Stenotrophomonas acidaminiphila Y4B,Glyphosate,Experimental evidence,Activated sludge,China,2022,Oxidoreductases,Glyphosate oxidase,,10.1021/acs.jafc.2c05612,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
991,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Glyphosate,Pseudomonas sp. PG2982,Glyphosate,Experimental evidence,Soil,USA,1986,Oxidoreductases,Sarcosine oxidase,,10.1128/jb.168.2.702-707.1986,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
992,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Glyphosate,Ensifer sp.,Glyphosate,Experimental evidence,Stream biofilms,France,2021,Lyases,C-P lyase,phn operon,10.1016/j.jhazmat.2021.126651,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
993,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Glyphosate, Acidovorax sp.,Glyphosate,Experimental evidence,Stream biofilms,France,2021,Lyases,C-P lyase,phn operon,10.1016/j.jhazmat.2021.126651,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
994,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Glyphosate,Ochrobactrum spp.,Glyphosate,Experimental evidence,Stream biofilms,France,2021,Lyases,C-P lyase,phn operon,10.1016/j.jhazmat.2021.126651,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
995,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Glyphosate,Providencia rettgeri GDB1,Glyphosate,Experimental evidence,Contaminated soil,China,2019,Oxidoreductases,Glyphosate oxidoreductase,,10.1016/j.jbiosc.2019.01.012,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
996,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Glyphosate,Pseudomonas 4ASW,Glyphosate,Experimental evidence,Soil,France,2008,Lyases,C–P lyase,,10.1007/s00253-007-1259-3,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
997,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Glyphosate,Arthrobacter sp. N4,Glyphosate,Experimental evidence,Soil,France,2008,Lyases,C–P lyase,,10.1007/s00253-007-1259-3,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
