source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
369,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Iprodione,Paenarthrobacter sp. YJN-5,Iprodione ,Experimental evidence,Contaminated soil,China,2018,Amidases,IpaH amidase,ipaH,10.1128/AEM.01150-18,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
370,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Iprodione,Paenarthrobacter sp. YJN-5,Iprodione ,Experimental evidence,Contaminated soil,China,2021,,,"IpaH, DdaH, DuaH",10.1111/1462-2920.15308,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
371,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Iprodione,Paenarthrobacter sp. YJN-D,Iprodione ,Experimental evidence,Contaminated soil,China,2021,,,"IpaH, DdaH, DuaH",10.1111/1462-2920.15308,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
372,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Iprodione,Microbacterium sp. CQH-1,Iprodione ,Experimental evidence,Contaminated soil,China,2017,,,,10.1139/cjm-2017-0185,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
373,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Iprodione,Pseudomonas fluorescens,Iprodione ,Experimental evidence,Contaminated soil,France,1997,,,,10.1111/j.1574-6941.1997.tb00403.x,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
374,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Iprodione,Pseudomonas spp,Iprodione ,Experimental evidence,Contaminated soil,France,1997,,,,10.1111/j.1574-6941.1997.tb00403.x,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
375,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Iprodione,Pseudomonas paucimobilis,Iprodione ,Experimental evidence,Contaminated soil,France,1997,,,,10.1111/j.1574-6941.1997.tb00403.x,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
376,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Iprodione,Arthrobacter strain 1,Iprodione ,Experimental evidence,Contaminated soil,France,1997,,,,10.1111/j.1574-6941.1997.tb00403.x,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
377,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Iprodione,Achromobacter sp. C2,Iprodione ,Experimental evidence,Agriculture soil,Italy,2017,Hydrolases,Hydantoinase-like,,10.1007/s11356-016-7682-1,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
378,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Iprodione,Arthrobacter sp. C1,Iprodione ,Experimental evidence,Agriculture soil,Italy,2017,Hydrolases,Hydantoinase-like,,10.1007/s11356-016-7682-1,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
379,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Iprodione,Azospirillum sp. A1-3,Iprodione ,Experimental evidence,High-altitude agriculture soil,China,2022,,,IpaH,10.3389/fmicb.2022.1057030,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
380,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Iprodione,Arthrobacter sp. MA6,Iprodione ,Experimental evidence,Contaminated soil,France,1995,Hydrolases,Hydantoinase/urease-like,,10.1128/AEM.61.9.3216-3220.1995,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
381,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Iprodione,Zygosaccharomyces rouxii DBVPG 6399,Iprodione ,Experimental evidence,culture collections,Italy,2006,,,,10.1021/jf060764j,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
