source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
731,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Achromobacter sp. A3,Lindane,Experimental evidence,Root ,India,2019,,,,10.1080/15226514.2018.1524835,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
732,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Paracoccus sp. NITDBR1,Lindane,Experimental evidence,Agricultural soil,India,2018,,,,10.1007/s10123-018-00037-1,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
733,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Streptomyces sp. M7,Lindane,Experimental evidence,Wastewater ,Argentina,2016,Dehalogenases,Dechlorinase (implied),,10.1007/s11274-016-2037-0,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
734,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Kocuria sp. DAB-1Y,Lindane,Experimental evidence,Contaminated soil,India,2016,Dehalogenases,LinA-type dehydrochlorinase,linA,10.1186/s40643-016-0130-8,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
735,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Staphylococcus sp. DAB-1W,Lindane,Experimental evidence,Contaminated soil,India,2016,Dehalogenases,LinA-type dehydrochlorinase,linA,10.1186/s40643-016-0130-8,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
736,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Anabaena sp. PCC7120,Lindane,Experimental evidence,Water ,USA,1997,Oxidoreductases,Nitrite reductase system,"nirA, narB",10.1128/JB.179.10.3368-3370.1997,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
737,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Sphingomonas paucimobilis B90,Lindane,Enzymatic evidence,Rhizosphere soil,India,2002,Dehalogenases,HCH dehydrochlorinase,"linA, linB, linC, linD",10.1128/AEM.68.12.6021-6028.2002,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
738,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Clostridium sp. ,Lindane,Experimental evidence,Soil,Australia,1968,Dehalogenases,Dehalogenase (inferred),,10.1038/221859a0,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
739,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Pleurotus ostreatus,Lindane,Experimental evidence,Commercial strain,Greece,2005,Peroxidases,Manganese peroxidase,MnP,10.1016/j.envint.2004.09.024,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
740,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Pleurotus ostreatus,Lindane,Experimental evidence,Commercial strain,Greece,2005,Peroxidases,Laccase,,10.1016/j.envint.2004.09.024,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
741,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Fusarium sp.,Lindane,Experimental evidence,Agricultural soil,India,2011,Dehalogenases,Dehalogenase (implied),,10.1007/s11274-010-0628-8,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
742,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Trametes hirsutus,Lindane,Experimental evidence,Culture collection,India,1999,,,,10.1046/j.1365-2672.1999.00508.x,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
743,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane, Sphingomonas paucimobilis UT26 ,Lindane,Enzymatic evidence,Contaminated soil,Japan,1999,Dehalogenases,γ-hexachlorocyclohexane dehydrochlorinase,LinA,10.1128/JB.181.17.5409-5413.1999,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
744,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane, Sphingomonas paucimobilis UT26 ,Lindane,Enzymatic evidence,Contaminated soil,Japan,1999,Dehalogenases,"1,3,4,6-tetrachloro-1,4-cyclohexadiene halidohydrolase",LinB,10.1128/JB.181.17.5409-5413.1999,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
745,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Microbacterium sp. P27,Lindane,Experimental evidence,Rhizosphere soil,India,2019,Dehalogenases,Dehalogenase,,10.1007/s00284-019-01703-x,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
746,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Sphingobium sp. D4,Lindane,Experimental evidence,Contaminated soil,Spain,2022,Dehalogenases,HCH dehydrochlorinase,linA,10.1016/j.jhazmat.2022.128764,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
747,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Sphingobium sp. D4,Lindane,Experimental evidence,Contaminated soil,Spain,2022,Dehalogenases,Haloalkane Dehalogenase,linB,10.1016/j.jhazmat.2022.128764,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
748,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Cupriavidus malaysiensis,Lindane,Experimental evidence,Contaminated soil,India,2022,Dehalogenases,Dehalogenase,lin genes (discussed),10.1007/s11274-022-03284-7,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
749,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Novosphingobium barchaimii LL02,Lindane,Experimental evidence,Contaminated soil,Taiwan,2022,Dehalogenases,HCH dehydrochlorinase,linA,10.1016/j.chemosphere.2022.134063,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
750,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Novosphingobium barchaimii LL02,Lindane,Experimental evidence,Contaminated soil,Taiwan,2022,Dehalogenases,Haloalkane Dehalogenase,linB,10.1016/j.chemosphere.2022.134063,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
751,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Phanerochaete chrysosporium BKM-F-1767,Lindane,Experimental evidence,Culture collection,USA,1990,Peroxidases,Lignin peroxidase,,10.1128/aem.56.8.2347-2353.1990,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
752,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Dehalobacter spp.,Lindane,Experimental evidence,Contaminated soil,France,2021,Dehalogenases,Reductive dehalogenases,,10.1101/2020.10.25.354597,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
753,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Conidiobolus 03-1-56,Lindane,Experimental evidence,Litter,India,2008,Peroxidases,Lignin peroxidase,,10.1007/s12088-008-0013-6,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
754,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Rhodotorula sp. VITJzN03,Lindane,Experimental evidence,Agricultural soil,India,2013,Dehalogenases,Dehalogenase (implied),,10.1007/s11274-012-1201-4,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
755,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Sphingomonas sp. γ-1-7,Lindane,Experimental evidence,Contaminated soil,Belgium,2006,Dehalogenases,HCH dehydrochlorinase,LinA,10.1128/AEM.72.1.622-627.2006,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
756,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Paracoccus sp. NITDBR1 ,Lindane,Experimental evidence,Contaminated soil,India,2022,,,,10.1007/s10123-022-00232-1,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
757,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Rhodococcus rhodochrous NITDBS9,Lindane,Experimental evidence,Contaminated soil,India,2022,,,,10.1007/s10123-022-00232-1,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
758,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Ochrobactrum sp. NITDBR3,Lindane,Experimental evidence,Contaminated soil,India,2022,,,,10.1007/s10123-022-00232-1,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
759,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Azotobacter chroococcum JL102,Lindane,Experimental evidence,Agricultural soil,India,2009,,,,10.1080/03601230903404465,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
760,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Sphingobium japonicum UT26 (NBRC 101211),Lindane,Genomic evidence ,Contaminated soil,Japan,2013,,,,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
761,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Sphingomonas sp. MM-1,Lindane,Genomic evidence ,Contaminated soil,Japan,2013,,,,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
762,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Sphingobium sp. MI1205,Lindane,Genomic evidence ,Contaminated soil,Japan,2013,,,,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
763,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Sphingobium sp. TKS,Lindane,Genomic evidence ,Contaminated soil,Japan,2013,,,,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
764,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Genome study,Lindane,Genomic evidence ,Genome study,Genome study,2013,Dehalogenases,	Dehydrochlorinase	,linA,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
765,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Genome study,Lindane,Genomic evidence ,Genome study,Genome study,2013,Dehalogenases,Halidohydrolase, linB,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
766,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Genome study,Lindane,Genomic evidence ,Genome study,Genome study,2013,Oxidoreductases,Dehydrogenase, linC,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
767,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Genome study,Lindane,Genomic evidence ,Genome study,Genome study,2013,Dehalogenases,Reductive dechlorinase,linD,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
768,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Genome study,Lindane,Genomic evidence ,Genome study,Genome study,2013,Dioxygenases,Ring-cleavage dioxygenase, linE,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
769,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Genome study,Lindane,Genomic evidence ,Genome study,Genome study,2013,Oxidoreductases,Maleylactate reductase, linF,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
770,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Genome study,Lindane,Genomic evidence ,Genome study,Genome study,2013,Transferases,"Acyl-CoA transferase, alpha subunit",linG,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
771,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Genome study,Lindane,Genomic evidence ,Genome study,Genome study,2013,Transferases,"Acyl-CoA transferase, beta subunit",linH,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
772,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Genome study,Lindane,Genomic evidence ,Genome study,Genome study,2013,Hydrolases,Thiolase,linJ,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
773,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Sphingobium japonicum UT26,Lindane,Experimental evidence,Contaminated soil,Not specified,2010,,,"LinA, LinB, LinC, LinD, LinE, LinF",10.1128/JB.00961-10,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
774,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Bacillus cereus SJPS-2,Lindane,Experimental evidence,Water,India,2023,,,"linA, linB, linC, linD, linE, linX",10.1016/j.envpol.2022.120867,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
775,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Xanthomonas sp. ICH12,Lindane,Experimental evidence,Contaminated soil,India,2007,,,"LinA, LinB, LinC",10.1111/j.1365-2672.2006.03209.x,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
776,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Lindane,Sphingopyxis sp. MC4,Lindane,Experimental evidence,Contaminated soil,India,2024,,,"LinA, LinB",10.1016/j.jhazmat.2023.132545,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
