source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
947,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Malathion,Agrobacterium radiobacter,Malathion ,Enzymatic evidence,Not specified,Not specified,2014,Hydrolases,Phosphotriesterase (PTEAr),pte (engineered variants),10.1371/journal.pone.0094177,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
948,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Malathion,Fusarium oxysporum f. sp. Pisi,Malathion ,Experimental evidence,Plant-associated fungus,South Korea,2005,,,,10.1016/j.chemosphere.2005.02.023,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
949,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Malathion,Brevibacillus sp. KB2,Malathion ,Experimental evidence,Contaminated soil,India,2012,Hydrolases,Carboxylesterase,,10.1007/s11274-011-0916-y,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
950,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Malathion,Bacillus cereus PU,Malathion ,Experimental evidence,Contaminated soil,India,2012,Hydrolases,Carboxylesterase,,10.1007/s11274-011-0916-y,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
951,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Malathion,Micrococcus aloeverae MAGK3,Malathion ,Experimental evidence,Agricultural soil,India,2022,,,,10.1007/s00203-022-03106-2,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
952,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Malathion,Pseudomonas sp. M-3,Malathion ,Enzymatic evidence,water ,India,1989,Hydrolases,Carboxylesterase,,10.1007/BF01701627,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
953,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Malathion,Rossellomorea marisflavi DL-A,Malathion ,Experimental evidence,water ,USA,2025,Hydrolases,Carboxylesterase,D1CarE5,10.1128/mra.00220-25,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
954,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Malathion,Alicyclobacillus tengchongensis,Malathion ,Experimental evidence,Hot spring,China,2013,,,,10.1007/s10529-013-1195-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
955,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Malathion,Pseudomonas aeruginosa AA112,Malathion ,Experimental evidence,Agricultural soil,Egypt,2007,,,,10.1556/AMicr.54.2007.3.3,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
956,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Malathion,Ochrobactrum sp. M1D,Malathion ,Experimental evidence,Agricultural soil,India,2021,,,,10.1111/lam.13517,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
957,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Malathion,Aspergillus niger,Malathion ,Experimental evidence,Soil,Egypt,1972,,,,10.1515/znb-1972-0944,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
958,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Malathion, Penicillium notatum,Malathion ,Experimental evidence,Soil,Egypt,1972,,,,10.1515/znb-1972-0944,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
959,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Malathion,Rhizoctonia solani,Malathion ,Experimental evidence,Soil,Egypt,1972,,,,10.1515/znb-1972-0944,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
960,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Malathion,Bacillus sp. AGM5,Malathion ,Experimental evidence,Contaminated soil,India,2022,,,,10.1007/s10532-022-09986-x,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
961,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Malathion,Pseudomonas putida (IS2),Malathion ,Experimental evidence,Agricultural soil,Egypt,2010,Hydrolases,Carboxylesterase,CE (carboxylesterase gene),10.1007/s10532-010-9350-3,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
962,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Malathion,Lysinibacillus sp. KB1,Malathion ,Experimental evidence,Contaminated soil,India,2012,Hydrolases,Esterase,,10.1007/s10529-011-0837-8,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
