source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
138,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Mandipropamid,Burkholderia sp. ,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Histidine kinase,"bphA1, benA, bph, p450, ppah",10.1016/j.jhazmat.2022.128961,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
139,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Mandipropamid,Burkholderia sp. ,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Glutathione S-transferase (GST),,10.1016/j.jhazmat.2022.128961,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
140,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Mandipropamid,Burkholderia sp. ,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Oxidoreductases,Aldehyde dehydrogenase,,10.1016/j.jhazmat.2022.128961,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
141,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Mandipropamid,Burkholderia sp. ,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Transketolase,,10.1016/j.jhazmat.2022.128961,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
142,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Mandipropamid,Burkholderia sp. ,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Oxidoreductases,Pyruvate dehydrogenase,,10.1016/j.jhazmat.2022.128961,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
143,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Mandipropamid,Paraburkholderia sp. ,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Histidine kinase,"bphA1, benA, bph, p450, ppah",10.1016/j.jhazmat.2022.128961,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
144,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Mandipropamid,Paraburkholderia sp. ,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Glutathione S-transferase (GST),,10.1016/j.jhazmat.2022.128961,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
145,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Mandipropamid,Paraburkholderia sp. ,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Oxidoreductases,Aldehyde dehydrogenase,,10.1016/j.jhazmat.2022.128961,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
146,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Mandipropamid,Paraburkholderia sp. ,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Transketolase,,10.1016/j.jhazmat.2022.128961,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
147,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Mandipropamid,Paraburkholderia sp. ,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Oxidoreductases,Pyruvate dehydrogenase,,10.1016/j.jhazmat.2022.128961,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
148,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Mandipropamid, Hyphomicrobium sp.,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Histidine kinase,"bphA1, benA, bph, p450, ppah",10.1016/j.jhazmat.2022.128961,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
149,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Mandipropamid, Hyphomicrobium sp.,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Glutathione S-transferase (GST),,10.1016/j.jhazmat.2022.128961,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
150,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Mandipropamid, Hyphomicrobium sp.,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Oxidoreductases,Aldehyde dehydrogenase,,10.1016/j.jhazmat.2022.128961,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
151,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Mandipropamid, Hyphomicrobium sp.,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Transferases,Transketolase,,10.1016/j.jhazmat.2022.128961,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
152,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Mandipropamid, Hyphomicrobium sp.,Mandipropamid,Experimental evidence,Agricultural field,China,2022,Oxidoreductases,Pyruvate dehydrogenase,,10.1016/j.jhazmat.2022.128961,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
153,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Mandipropamid,Novosphingobium sp. MD102,Mandipropamid,Experimental evidence,Soil form gingseng cultivated field,Not specified,2023,,,,10.1016/j.pestbp.2023.105376,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
154,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Mandipropamid,Variovorax sp. MD103,Mandipropamid,Experimental evidence,Soil form gingseng cultivated field,Not specified,2023,,,,10.1016/j.pestbp.2023.105376,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
