source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
505,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Metalaxyl,Syncephalastrum racemosum,Metalaxyl,Experimental evidence,Agriculture soil,Spain,1997,,,,10.1128/aem.55.1.66-71.1989,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
506,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Metalaxyl,Gongronella sp.,Metalaxyl,Experimental evidence,Not specified,Not specified,2017,,,,10.3390/molecules22122225,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
507,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Metalaxyl,Rhizopus oryzae,Metalaxyl,Experimental evidence,Not specified,Not specified,2017,,,,10.3390/molecules22122225,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
508,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Metalaxyl,Brevibacillus brevis,Metalaxyl,Experimental evidence,Agriculture soil,Germany,2013,,,,10.1002/chir.22158,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
509,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Metalaxyl,Candida tropicalis,Metalaxyl,Experimental evidence,Conataminated soil,Not specified,2020,,,,10.1007/s00284-020-02121-0,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
510,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Metalaxyl,Penicillium sp. 1,Metalaxyl,Experimental evidence,Agriculture soil,Portugal,2013,,,,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
511,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Metalaxyl,Penicillium sp. 2,Metalaxyl,Experimental evidence,Agriculture soil,Portugal,2013,,,,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
512,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Metalaxyl,Mycelium sterila 1,Metalaxyl,Experimental evidence,Agriculture soil,Portugal,2013,,,,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
513,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Metalaxyl,Gongronella sp.,Metalaxyl,Experimental evidence,Agriculture soil,Portugal,2013,,,,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
514,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Metalaxyl,Rhizopus stolonifer,Metalaxyl,Experimental evidence,Agriculture soil,Portugal,2013,,,,10.1007/s00244-013-9877-5,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
