source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
819,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Parathion-Methyl,Agrobacterium sp. Yw12,Parathion-Methyl,Experimental evidence,Activated sludge,China,2012,,,,10.1007/s10532-011-9490-0,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
820,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Parathion-Methyl,Burkholderia zhejiangensis strain CEIB S4-3,Parathion-Methyl,Experimental evidence,Agricultural soil,China,2017,Hydrolases,Organophosphate hydrolase,mpd,10.1007/s10532-017-9801-1,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
821,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Parathion-Methyl,Burkholderia zhejiangensis CEIB S4–3,Parathion-Methyl,Experimental evidence,Agricultural soil,China,2022,Hydrolases,Organophosphate hydrolases,mpd,10.1016/j.pestbp.2022.105197,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
822,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Parathion-Methyl,Burkholderia zhejiangensis CEIB S4–3,Parathion-Methyl,Experimental evidence,Agricultural soil,China,2022,Hydrolases,Esterases,,10.1016/j.pestbp.2022.105197,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
823,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Parathion-Methyl,Burkholderia zhejiangensis CEIB S5–2,Parathion-Methyl,Experimental evidence,Agricultural soil,Mexico,2021,Hydrolases,Hydrolases,opd,10.1007/s11356-021-13647-6,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
824,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Parathion-Methyl,Burkholderia zhejiangensis CEIB S5–2,Parathion-Methyl,Experimental evidence,Agricultural soil,Mexico,2021,Oxidoreductases,Oxidoreductases,,10.1007/s11356-021-13647-6,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
825,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Parathion-Methyl,Cupriavidus nantongensis X1ᵀ,Parathion-Methyl,Experimental evidence,Activated sludge,China,2019,Hydrolases,organophosphate hydrolase,opdB,10.1021/acs.jafc.9b06157,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
826,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Parathion-Methyl,Pseudomonas sp.(DLL-1),Parathion-Methyl,Experimental evidence,Agricultural soil,China,2002,Hydrolases,Parathion hydrolase,opd,DOI not available(Biodegradation of Parathion-methyl by Pseudomonas sp. (DLL-1) and Its Mechanism),1,No,citation_without_DOI,manual_citation_needed,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
827,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Parathion-Methyl,Sphingomonas paucimobilis UT26,Parathion-Methyl,Experimental evidence,Not specified,Japan,2014,Hydrolases,Organophosphorus hydrolase,opd,10.1007/s10646-014-1224-8,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
828,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Parathion-Methyl,Acinetobacter radioresistens USTB-04,Parathion-Methyl,Experimental evidence,Contaminated soil,China,2008,Hydrolases,Hydrolase,,10.1016/S1001-0742(07)60205-8,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
829,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Parathion-Methyl,Scytonema sp. BHUS-5,Parathion-Methyl,Experimental evidence,Water ,India,2017,,,,10.1080/15226514.2017.1303807,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
830,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Parathion-Methyl,Escherichia coli DH5α (engineered),Parathion-Methyl,Enzymatic evidence,Laboratory strain,Not specified,2013,Hydrolases,Organophosphorus hydrolase,opd,10.1080/03601234.2013.761863,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
