source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
317,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phorate,Pseudomonas sp.,Phorate ,Experimental evidence,Contaminated soil,India,1986,,,,10.1007/BF01606602,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
318,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phorate,Pseudomonas sp. IMBL 4.3,Phorate ,Experimental evidence,Agriculture soil,India,2015,,,,10.1016/j.ecoenv.2015.07.007,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
319,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phorate,Pseudomonas sp. IMBL 5.1,Phorate ,Experimental evidence,Agriculture soil,India,2015,,,,10.1016/j.ecoenv.2015.07.007,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
320,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phorate,Pseudomonas sp. IMBL 5.2,Phorate ,Experimental evidence,Agriculture soil,India,2015,,,,10.1016/j.ecoenv.2015.07.007,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
321,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phorate,Rhizobium sp.,Phorate ,Experimental evidence,Contaminated soil,India,2003,,,,10.1046/j.1472-765x.2003.01329.x,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
322,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phorate,Pseudomonas sp,Phorate ,Experimental evidence,Contaminated soil,India,2003,,,,10.1046/j.1472-765x.2003.01329.x,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
323,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phorate,Proteus sp.,Phorate ,Experimental evidence,Contaminated soil,India,2003,,,,10.1046/j.1472-765x.2003.01329.x,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
324,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phorate,Bacillus aerophilus IMBL 4.1,Phorate ,Experimental evidence,Contaminated soil,India,2014,,,,10.1007/s11356-013-2155-2,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
325,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phorate,Brevibacterium frigoritolerans IMBL 2.1,Phorate ,Experimental evidence,Contaminated soil,India,2014,,,,10.1007/s11356-013-2155-2,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
326,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phorate,Pseudomonas fulva IMBL 5.1,Phorate ,Experimental evidence,Contaminated soil,India,2014,,,,10.1007/s11356-013-2155-2,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
327,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phorate,Ralstonia eutropha AAJ1,Phorate ,Experimental evidence,Contaminated soil,India,2009,Phosphatases,Phosphomonoesterase,,10.1111/j.1472-765X.2009.02631.x,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
328,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phorate,Ralstonia eutropha AAJ1,Phorate ,Experimental evidence,Contaminated soil,India,2009,Phosphatases,Phosphodiesterase,,10.1111/j.1472-765X.2009.02631.x,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
329,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phorate,Brevibacterium frigoritolerans IMBL 2.1,Phorate ,Experimental evidence,Agriculture soil,India,2015,,,,10.1007/s00128-015-1617-2,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
330,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phorate,Brevibacterium frigoritolerans ,Phorate ,Experimental evidence,Contaminated soil,India,2018,,,,10.1016/j.ecoenv.2018.04.063,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
331,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phorate,Brevibacterium aerophilus ,Phorate ,Experimental evidence,Contaminated soil,India,2018,,,,10.1016/j.ecoenv.2018.04.063,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
332,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phorate,Brevibacterium fulva ,Phorate ,Experimental evidence,Contaminated soil,India,2018,,,,10.1016/j.ecoenv.2018.04.063,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
333,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phorate,Pseudomonas aeruginosa PR1,Phorate ,Experimental evidence,Contaminated soil,India,2022,,,,10.1002/jobm.202100332,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
