source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
442,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phosphonic acid,Arthrobacter atrocyaneus ATCC 13752,Phosphonic acid,Experimental evidence,Soil,Not specified,1979,Lyases,C–P lyase,,10.1128/aem.54.5.1293-1296.1988,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
443,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phosphonic acid,Ochrobactrum sp. BTU1,Phosphonic acid,Experimental evidence,Activated sludge,Czech Republic,2009,Lyases,C–P lyase,,10.1016/j.micres.2024.127600,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
444,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phosphonic acid,Escherichia coli,Phosphonic acid,Experimental evidence,Laboratory strain,Not specified,1991,Lyases,C–P lyase,phnC–phnP,10.1128/JB.01131-09,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
445,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phosphonic acid,Enzyme stydy,Phosphonic acid,Enzymatic evidence,Not specified,Not specified,2016,Dioxygenases,Iron(II)- and 2-(oxo)glutarate-dependent oxygenase,"TmpA, TmpB.",10.1021/acs.biochem.9b00044,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
446,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phosphonic acid,Sinorhizobium meliloti 1021,Phosphonic acid,Experimental evidence,Soil,Not specified,2003,Oxidoreductases,Phosphonoacetaldehyde dehydrogenase," phnW, phnA, and phnY",10.1074/jbc.M111.237735,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
447,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phosphonic acid,Sinorhizobium meliloti 1021,Phosphonic acid,Experimental evidence,Soil,Not specified,2003,Hydrolases,Phosphonoacetate hydrolase,,10.1074/jbc.M111.237735,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
448,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phosphonic acid,Aspergillus flavus,Phosphonic acid,Experimental evidence,Agriculture soil,Not specified,2008,Phosphatases,Phosphatases,,10.1007/BF02816226,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
449,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phosphonic acid,Aspergillus flavus,Phosphonic acid,Experimental evidence,Agriculture soil,Not specified,2008,Hydrolases,Esterases,,10.1007/BF02816226,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
450,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phosphonic acid,Aspergillus sydowii,Phosphonic acid,Experimental evidence,Agriculture soil,Not specified,2008,Phosphatases,Phosphatases,,10.1007/BF02816226,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
451,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phosphonic acid,Aspergillus sydowii,Phosphonic acid,Experimental evidence,Agriculture soil,Not specified,2008,Hydrolases,Esterases,,10.1007/BF02816226,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
452,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phosphonic acid,Fusarium oxysporum (DSMZ 2018),Phosphonic acid,Experimental evidence,DSMZ collection,Not specified,2013,Oxidoreductases,Oxidative enzymes,,10.1155/2013/927361,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
453,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phosphonic acid,Fusarium culmorum (DSMZ 1094),Phosphonic acid,Experimental evidence,DSMZ collection,Not specified,2013,Oxidoreductases,Oxidative enzymes,,10.1155/2013/927361,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
454,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phosphonic acid,Escherichia coli,Phosphonic acid,Experimental evidence,Laboratory strain,Not specified,1987,Lyases,C–P lyase,phn operon,10.1128/jb.92.3.623-627.1966,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
455,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Phosphonic acid,Escherichia coli,Phosphonic acid,Experimental evidence,Laboratory strain,Not specified,1992,Lyases,C–P lyase complex,"PhnC, PhnD,PhnE, PhnG, PhnH, PhnI, PhnJ, PhnK, PhnL, and PhnM",10.1128/jb.175.11.3430-3442.1993,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
