source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
456,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Profenofos,Enterobacter cloacae strain MUG75,Profenofos ,Experimental evidence,rhizosphere soil,Pakistan,2021,,,,10.1080/15226514.2021.1952927,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
457,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Profenofos,Pseudomonas aeruginosa strain OW,Profenofos ,Experimental evidence,Contaminated soil,China,2009,Hydrolases,Organophosphate hydrolase / esterase,,10.1016/S1001-0742(08)62460-2,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
458,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Profenofos,Bacillus sp. PF1,Profenofos ,Experimental evidence,Agriculture soil,India,2014,Hydrolases,Esterase,,10.1080/09593330.2021.1976282,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
459,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Profenofos,Pseudomonas sp.,Profenofos ,Experimental evidence,Contaminated soil,India,2012,,,,10.1590/S1517-838220090004000021,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
460,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Profenofos,Burkholderia sp.,Profenofos ,Experimental evidence,Contaminated soil,India,2012,,,,10.1590/S1517-838220090004000021,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
461,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Profenofos,Cupriavidus nantongensis X1ᵀ,Profenofos ,Experimental evidence,Activated sludge,China,2020,Hydrolases,Organophosphate hydrolase,OpdB,10.1021/acs.jafc.0c00132,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
462,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Profenofos,Cupriavidus nantongensis X1ᵀ,Profenofos ,Experimental evidence,Activated sludge,China,2023,Hydrolases,Organophosphate hydrolase,OpdB,10.3390/ijms24066003,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
463,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Profenofos,Cupriavidus nantongensis X1ᵀ,Profenofos ,Experimental evidence,Activated sludge,China,2023,Hydrolases,Organophosphate hydrolase,OpdB,10.1016/j.scitotenv.2022.160782,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
464,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Profenofos,Bacillus subtilis strains DR-39,Profenofos ,Experimental evidence,Grape rhizosphere,India,2013,Hydrolases,Esterase,,10.1021/jf400528d,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
465,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Profenofos,Bacillus subtilis strains DR-39,Profenofos ,Experimental evidence,Grape rhizosphere,India,2013,Hydrolases,Phosphotriesterase,,10.1021/jf400528d,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
466,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Profenofos,Bacillus subtilis strains CS-126,Profenofos ,Experimental evidence,Grape rhizosphere,India,2013,Hydrolases,Esterase,,10.1021/jf400528d,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
467,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Profenofos,Bacillus subtilis strains CS-126,Profenofos ,Experimental evidence,Grape rhizosphere,India,2013,Hydrolases,Phosphotriesterase,,10.1021/jf400528d,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
