source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
409,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Quinclorac,Pseudomonas putida II-2,Quinclorac ,Experimental evidence,Contaminated soil,China,2020,,,,10.1016/j.ecoenv.2019.109826,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
410,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Quinclorac,Achromobacter sp.QC36,Quinclorac ,Experimental evidence,Contaminated soil,China,2020,,,,10.1016/j.ecoenv.2019.109826,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
411,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Quinclorac,Burkholderia cepacia WZ1,Quinclorac ,Experimental evidence,Contaminated soil,China,2009,Oxidoreductases,Phthalate dioxygenase reductase,,10.1016/j.soilbio.2008.10.026,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
412,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Quinclorac,Burkholderia cepacia WZ1,Quinclorac ,Experimental evidence,Contaminated soil,China,2009,Dioxygenases,"Chlorocatechol 1,2-dioxygenase",,10.1016/j.soilbio.2008.10.026,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
413,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Quinclorac,Burkholderia cepacia WZ1,Quinclorac ,Experimental evidence,Contaminated soil,China,2003,,,,10.1081/PFC-120025560,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
414,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Quinclorac,Cellulosimicrobium cellulans D,Quinclorac ,Experimental evidence,Agriculture soil,China,2021,,,,10.1128/Spectrum.00398-21,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
415,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Quinclorac,Bacillus megaterium Q3,Quinclorac ,Experimental evidence,Tobacco root endophyte,China,2014,,,,10.1371/journal.pone.0108012,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
416,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Quinclorac,Streptomyces sp. strain AH-B,Quinclorac ,Experimental evidence,Contaminates soil,China,2018,,,,10.1016/j.chemosphere.2018.01.133,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
417,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Quinclorac,Mycobacterium sp. strain F4,Quinclorac ,Experimental evidence,Contaminates soil,China,2017,,,,10.1371/journal.pone.0185721,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
418,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Quinclorac,Klebsiella variicola J5,Quinclorac ,Experimental evidence,Tobacco rhizosphere soil,China,2022,Monooxygenases,4-hydroxyphenylacetate 3-monooxygenase,hpaB,10.1007/s11274-022-03329-x,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
