source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
709,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Thiamethoxam,Achromobacter sp.,Thiamethoxam,Experimental evidence,Agricultural soil,China,2014,,,,10.1080/03601234.2014.894761,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
710,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Thiamethoxam,Agromyces sp.,Thiamethoxam,Experimental evidence,Agricultural soil,China,2014,,,,10.1080/03601234.2014.894761,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
711,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Thiamethoxam,Ensifer sp.,Thiamethoxam,Experimental evidence,Agricultural soil,China,2014,,,,10.1080/03601234.2014.894761,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
712,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Thiamethoxam,Mesorhizobium sp.,Thiamethoxam,Experimental evidence,Agricultural soil,China,2014,,,,10.1080/03601234.2014.894761,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
713,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Thiamethoxam,Microbacterium  sp.,Thiamethoxam,Experimental evidence,Agricultural soil,China,2014,,,,10.1080/03601234.2014.894761,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
714,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Thiamethoxam,Pseudoxanthomonas sp.,Thiamethoxam,Experimental evidence,Agricultural soil,China,2014,,,,10.1080/03601234.2014.894761,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
715,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Thiamethoxam,Bacillus cereus strain S1,Thiamethoxam,Experimental evidence,Wastewater treatment plant,China,2024,Oxidoreductases,Demethylase ,,10.1016/j.envres.2023.117929,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
716,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Thiamethoxam,Bacillus cereus strain S1,Thiamethoxam,Experimental evidence,Wastewater treatment plant,China,2024,Hydrolases,Hydrolase,,10.1016/j.envres.2023.117929,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
717,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Thiamethoxam,Scenedesmus sp. TXH,Thiamethoxam,Experimental evidence,Wastewater treatment plant,China,2023,,,,10.1016/j.jenvman.2023.117388,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
718,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Thiamethoxam,Phanerochaete chrysosporium,Thiamethoxam,Experimental evidence,Laboratory strain,China,2024,Peroxidases,Ligninolytic enzymes,,10.1016/j.jhazmat.2024.136327,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
719,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Thiamethoxam,Phanerochaete chrysosporium,Thiamethoxam,Experimental evidence,Laboratory strain,China,2024,P450,Cytochrome P450,CYP-related genes,10.1016/j.jhazmat.2024.136327,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
720,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Thiamethoxam, Acinetobacter sp.,Thiamethoxam,Experimental evidence,Wastewater ,China,2025,Oxidoreductases,Catalase,,10.1016/j.envres.2025.121813,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
721,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Thiamethoxam,Delftia sp.,Thiamethoxam,Experimental evidence,Wastewater ,China,2025,Oxidoreductases,Catalase,,10.1016/j.envres.2025.121813,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
722,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Thiamethoxam, Enterobacter sp. ,Thiamethoxam,Experimental evidence,Wastewater ,China,2025,Oxidoreductases,Catalase,,10.1016/j.envres.2025.121813,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
