source_row,source_dataset,record_scope,canonical_pesticide,Microorganism,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,duplicate_key_count,potential_duplicate,reference_type,reference_format_status,pathway_step_ready,pathway_data_gap
488,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Triazophos,Bacillus sp. TAP-1,Triazophos ,Experimental evidence,Contaminated water,China,2012,,,,10.1016/j.micres.2011.10.004,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
489,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Triazophos,Klebsiella sp. E6,Triazophos ,Experimental evidence,Contaminated soil,China,2005,,,,10.1016/j.femsle.2005.09.044,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
490,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Triazophos,Bacillus thuringiensis MB497,Triazophos ,Experimental evidence,Soil,Pakistan,2020,Phosphatases,Acidic organophosphorus phosphatase (OPP),,10.1016/j.heliyon.2020.e04221,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
491,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Triazophos,Bacillus thuringiensis MB497,Triazophos ,Experimental evidence,Soil,Pakistan,2020,Phosphatases,Alkaline organophosphorus phosphatase (OPP),,10.1016/j.heliyon.2020.e04221,2,Yes,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
492,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Triazophos,Diaphorobacter sp. TPD-1,Triazophos ,Experimental evidence,Contaminated soil,China,2011,Not specified,Hydrolytic enzymes (functional),,10.1007/s00284-010-9859-z,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
493,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Triazophos,Burkholderia sp. SZL-1,Triazophos ,Experimental evidence,Contaminated soil,China,2016,Hydrolases,Triazophos hydrolase,trhA,10.1093/femsle/fnw108,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
494,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Triazophos,Bacillus amyloliquefaciens YP6,Triazophos ,Experimental evidence,Soil,China,2019,Phosphatases,Alkaline phosphatase (AP3) (EC 3.1.3.1),Not specified,10.1080/03601234.2019.1571363,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
495,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Triazophos,Enterobacter sp. Z1,Triazophos ,Experimental evidence,Wastewater,China,2020,,,"oph, paaC",10.1016/j.chemosphere.2020.128054,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
496,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Triazophos,"Pseudomonas 
kilonensis MB490",Triazophos ,Experimental evidence,Agriculture soil,Pakistan,2020,,,,10.1080/03601234.2020.1823171,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
497,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Triazophos,Pseudomonas kilonensis MB498,Triazophos ,Experimental evidence,Agriculture soil,Pakistan,2020,,,,10.1080/03601234.2020.1823171,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
498,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Triazophos,Pseudomonas sp. MB504,Triazophos ,Experimental evidence,Agriculture soil,Pakistan,2020,,,,10.1080/03601234.2020.1823171,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
499,pesticide_data.xlsx,CURATED_BIODEGRADATION_ONLY,Triazophos,Cupriavidus nantongensis X1ᵀ,Triazophos ,Experimental evidence,Activated sludge,China,2019,Hydrolases,Organophosphorus hydrolase,opdB,10.1021/acs.jafc.9b06157,1,No,DOI,format_valid,No,"Verify substrate, product, reaction order, step evidence, and pathway completeness from the cited publication"
