pathway_id,pesticide,pathway_title,pathway_status,pathway_organism,step_order,substrate_name,substrate_identifier_type,substrate_identifier,product_name,product_identifier_type,product_identifier,transformation_type,gene,enzyme,pesticidedb_protein_id,ncbi_protein_accession,uniprot_accession,step_evidence_type,evidence_description,assay_type,metabolite_detection_method,source_doi,source_pmid,source_reference,evidence_scope,step_confidence,curator,review_status,notes,source_row,isolation_environment,isolation_location,publication_year,source_record_number
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Alcaligenes eutrophus JMP134,,,,,,,,,"TfdA, TfdB, TfdC. TfdD, TfdE, TfdC1/TfdCII",Fe(II)/α-KG dependent dioxygenase,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1128/jb.161.1.85-90.1985,,10.1128/jb.161.1.85-90.1985,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 25; reaction fields intentionally blank.,25,"Not stated (lab strain, Australia origin in literature)",,1985,1
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Alcaligenes eutrophus JMP134,,,,,,,,,,Chlorophenol hydroxylase,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1128/jb.161.1.85-90.1985,,10.1128/jb.161.1.85-90.1985,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 26; reaction fields intentionally blank.,26,"Not stated (lab strain, Australia origin in literature)",,1985,2
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Alcaligenes eutrophus JMP134,,,,,,,,,,"Chlorocatechol 1,2-dioxygenase",,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1128/jb.161.1.85-90.1985,,10.1128/jb.161.1.85-90.1985,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 27; reaction fields intentionally blank.,27,"Not stated (lab strain, Australia origin in literature)",,1985,3
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Alcaligenes eutrophus JMP134,,,,,,,,,,Chloromuconate cycloisomerase,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1128/jb.161.1.85-90.1985,,10.1128/jb.161.1.85-90.1985,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 28; reaction fields intentionally blank.,28,"Not stated (lab strain, Australia origin in literature)",,1985,4
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Alcaligenes eutrophus JMP134,,,,,,,,,,Dienelactone hydrolase,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1128/jb.161.1.85-90.1985,,10.1128/jb.161.1.85-90.1985,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 29; reaction fields intentionally blank.,29,"Not stated (lab strain, Australia origin in literature)",,1985,5
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Alcaligenes eutrophus JMP134,,,,,,,,,,"Chlorocatechol 1,2-dioxygenases",,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1128/jb.161.1.85-90.1985,,10.1128/jb.161.1.85-90.1985,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 30; reaction fields intentionally blank.,30,"Not stated (lab strain, Australia origin in literature)",,1985,6
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Sphingomonas sp. TFD44,,,,,,,,,"tfdCDEF, tfdCII, tfdDII, tfdEII, tfdFII, + tfdK",Catechol dioxygenase,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1007/s00203-004-0748-3,,10.1007/s00203-004-0748-3,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 31; reaction fields intentionally blank.,31,Japan (NIAES culture),Japan,2005,7
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Sphingomonas sp. TFD44,,,,,,,,,"tfdC, tfdC2",,,,,PURIFIED_OR_ENZYME_ASSAY_REVIEW,Enzymatic evidence,,,10.1016/j.bbrc.2005.05.045,,10.1016/j.bbrc.2005.05.045,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 32; reaction fields intentionally blank.,32,Herbicide wastewater treatment facility,USA,2005,8
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Escherichia coli JMP502,,,,,,,,,TfdA,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1007/BF00407938,,10.1007/BF00407938,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 33; reaction fields intentionally blank.,33,"Schuchardt, Mtinchen",USA,1983,9
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Sphingomonas paucimobilis 1443,,,,,,,,,"tfdA, tfdB",,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1128/aem.60.4.1116-1120.1994,,10.1128/aem.60.4.1116-1120.1994,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 34; reaction fields intentionally blank.,34,Agricultural field soil,China,1994,10
