pesticide,priority_group,specific_next_action,current_pathway_status,stepwise_arrow_count,folder_found,real_pdf_count,html_placeholder_count,top_candidate_papers,doi_candidates_from_queue,automated_evidence_signal,needed_information_for_kegg_like_arrow,recommended_next_action,sample_files_from_usb_folder
Penthiopyrad,Screened readable files - needs different product paper,PAM evidence is plant/field residue hydrolysis rather than microbial pathway evidence. Search for microbial penthiopyrad transformation products.,Needs stepwise product/intermediate screening (candidate papers available),0,Yes,12,0,"Dissipation, Residue and Dietary Intake Risk Assessment of Penthiopyrad in Eggplants and Its Removal Using Various Household Processing Techniques..pdf | Review of the existing maximum residue levels for penthiopyrad according to Article 12 of Regulation (EC) No 3962005..pdf | Simultaneous determination of penthiopyrad enantiomers and its metabolite in vegetables, fruits, and cereals using ultra-high performance liquid chromatography-tandem mass spectrometry..pdf | Comparative Biological Half-Life of Penthiopyrad and Tebufenpyrad in Angelica Leaves and Establishment of Pre-Harvest Residue Limits (PHRLs)..pdf | Dissipation, residue, stereoselectivity and dietary risk assessment of penthiopyrad and metabolite PAM on cucumber and tomato in greenhouse and field..pdf",10.3390/foods11213327; 10.3390/foods11213327/s1 | 10.2903/j.efsa; 10.2903/j.efsa.2012.2948; 10.2903/j.efsa.2013.3312; 10.2903/j.efsa.2014.3737 | 10.1002/jssc.202100446 | 10.3390/foods13111742 | 10.1002/ps.2287; 10.1007/BF02492120; 10.1016/j; 10.1016/j.agee.2021.107370,candidate_gene/enzyme_plus_pathway,"Substrate, product/intermediate, transformation type, gene/protein/enzyme if reported, organism, DOI/reference.",Screen the strongest papers for identified metabolites/products and convert supported reactions into pathway steps.,"Comparative Biological Half-Life of Penthiopyrad and Tebufenpyrad in Angelica Leaves and Establishment of Pre-Harvest Residue Limits (PHRLs)..pdf | Dissipation, Residue and Dietary Intake Risk Assessment of Penthiopyrad in Eggplants and Its Removal Using Various Household Processing Techniques..pdf | Dissipation, residue, stereoselectivity and dietary risk assessment of penthiopyrad and metabolite PAM on cucumber and tomato in greenhouse and field..pdf | Effect of microorganisms on degradation of fluopyram and tebuconazole in laboratory and field studies..pdf"
Propamocarb,Screened readable files - needs different product paper,Microbial carbamate paper reports propamocarb resistance; no product arrow. Search for other microbial propamocarb product studies.,Needs stepwise product/intermediate screening (candidate papers available),0,Yes,11,0,"Analysis of genes and metabolites associated with propamocarb hydrochloride response in tobacco.pdf | Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth..pdf | Expression and functional analysis of the Propamocarb-related gene CsDIR16 in cucumbers..pdf | Overexpression of CsHMGB Alleviates Phytotoxicity and Propamocarb Residues in Cucumber.pdf | Microbial degradation of the carbamate pesticides desmedipham, phenmedipham, promecarb, and propamocarb..pdf",10.1002/agj2.20368; 10.1007/s00128-012-0703-y; 10.1007/s00726-010-0525-3; 10.1007/s11120-012 | 10.1007/s10532-011-9509-6 | 10.1186/s12870-018-1236-2; 10.4236/ajac.2011.228120; 10.5812/bhs.45306 | 10.1007/978-3-319-74057-7_7; 10.1007/BF00386001; 10.1007/bf01415704; 10.1007/s00018-007-7162-3,candidate_gene/enzyme_plus_pathway,"Substrate, product/intermediate, transformation type, gene/protein/enzyme if reported, organism, DOI/reference.",Screen the strongest papers for identified metabolites/products and convert supported reactions into pathway steps.,"Analysis of genes and metabolites associated with propamocarb hydrochloride response in tobacco.pdf | Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth..pdf | Degradation of propamocarb-hydrochloride in tomatoes, potatoes and cucumber using HPLC-DAD and QuEChERS methodology..pdf | Expression and functional analysis of the Propamocarb-related gene CsDIR16 in cucumbers..pdf"
Fluxapyroxad,Screened readable files - needs different product paper,Readable files mainly quantify dissipation or persistence; product pathway not found. Search for fluxapyroxad metabolite/pathway papers with microbial or soil-product evidence.,Needs stepwise product/intermediate screening (candidate papers available),0,Yes,9,0,Investigation of Residue Dissipation of Fluxapyroxad and Its Metabolites in Chinese Cabbage and Spring Scallion Using Different Application Methods..pdf | Dissipation kinetics and biological degradation by yeast and dietary risk assessment of fluxapyroxad in apples..pdf | Degradation of Fluxapyroxad in Soils and WaterSediment Systems Under Aerobic or Anaerobic Conditions..pdf | Modification of the existing maximum residue levels for fluxapyroxad in kakiJapanese persimmons and cultivated mushrooms..pdf | Setting of import tolerances for fluxapyroxad in certain root crops and coffee beans..pdf,10.3390/plants13172448 | 10.1038/s41598-020-78177-6; 10.1186/1475-2891-3-5; 10.1371/journ | 10.1007/s00128-015-1556-y; 10.2166/WPT.2006084 | 10.2903/j.efsa.2024.8696 | 10.2903/j.efsa; 10.2903/j.efsa.2007.32r; 10.2903/j.efsa.2011.2196; 10.2903/j.efsa.2013.3312,candidate_gene/enzyme_plus_pathway,"Substrate, product/intermediate, transformation type, gene/protein/enzyme if reported, organism, DOI/reference.",Screen the strongest papers for identified metabolites/products and convert supported reactions into pathway steps.,"A Nationwide Study of Residual Fate of Fluxapyroxad and Its Metabolites in Peanut Crops Across China Assessment of Human Exposure Potential..pdf | Accumulation and growth toxicity mechanisms of fluxapyroxad revealed by physiological, hepatopancreas transcriptome, and gut microbiome analysis in Pacific white shrimp (Litopenaeus vannamei)..pdf | Degradation of Fluxapyroxad in Soils and WaterSediment Systems Under Aerobic or Anaerobic Conditions..pdf | Dissipation kinetics and biological degradation by yeast and dietary risk assessment of fluxapyroxad in apples..pdf"
Acibenzolar-S-methyl,Screened readable files - needs different product paper,Readable files reviewed; no named microbial transformation products found. Search for metabolite/product pathway papers or exclude from stepwise pathway until stronger evidence is available.,Needs stepwise product/intermediate screening (candidate papers available),0,Yes,8,0,Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth..pdf | Modification of the existing maximum residue levels for acibenzolar-S-methyl in beans with pods and peas with pods..pdf | Modification of the existing maximum residue levels for acibenzolar-S-methyl in aubergines and cucurbits with edible and inedible peel..pdf | Attenuation and soil biodegradation of fungicides by using vegetated buffer strips in vineyards during a simulated rainfall-runoff event..pdf | Postharvest acibenzolar-S-methyl treatment maintains storage quality and retards softening of apple fruit..pdf,10.1007/s10532-011-9509-6 | 10.2903/j.ef; 10.2903/j.efsa.2013.3122; 10.2903/j.efsa.2017; 10.2903/j.efsa.2017.4929 | 10.2903/j.efsa; 10.2903/j.efsa.2011.2632; 10.2903/j.efsa.2017; 10.2903/j.efsa.2017.4929 | 10.1007/s11356-023-27766-9 | 10.1002/jsfa.9326; 10.1002/jsfa.9376; 10.1007/s0021; 10.1007/s4216,candidate_gene/enzyme_plus_pathway,"Substrate, product/intermediate, transformation type, gene/protein/enzyme if reported, organism, DOI/reference.",Screen the strongest papers for identified metabolites/products and convert supported reactions into pathway steps.,Attenuation and soil biodegradation of fungicides by using vegetated buffer strips in vineyards during a simulated rainfall-runoff event..pdf | Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth..pdf | Influence of Bacillus subtilis and Trichoderma harzianum on Penthiopyrad Degradation under Laboratory and Field Studies.pdf | Modification of the existing maximum residue level for acibenzolar-S-methyl in hazelnuts..pdf
Pinoxaden,Screened readable files - needs different product paper,Acinetobacter paper supports degradation/predicted genes but lacks named products. Search for pinoxaden metabolites from microbial degradation.,Needs stepwise product/intermediate screening (candidate papers available),0,Yes,6,0,"Degradation Characteristics of Pinoxaden by Acinetobacter and Prediction of Related Genes.pdf | Review of the existing maximum residue levels for pinoxaden according to Article 12 of Regulation (EC) No 3962005..pdf | Aryldiones incorporating a [1,4,5]oxadiazepane ring. Part 2 chemistry and biology of the cereal herbicide pinoxaden..pdf",10.21203/rs.3.rs-1375498/v1 | 10.2903/j.efsa.2013; 10.2903/j.efsa.2018.5147; 10.2903/j.efsa.2021.6503; 10.2903/sp.efsa.2019.en-1605 | 10.1002/ps.2204,candidate_gene/enzyme_plus_pathway,"Substrate, product/intermediate, transformation type, gene/protein/enzyme if reported, organism, DOI/reference.",Screen the strongest papers for identified metabolites/products and convert supported reactions into pathway steps.,"Aryldiones incorporating a [1,4,5]oxadiazepane ring. Part 2 chemistry and biology of the cereal herbicide pinoxaden..pdf | Degradation Characteristics of Pinoxaden by Acinetobacter and Prediction of Related Genes.pdf | Growth Stage of Alopecurus myosuroides Huds. Determines the Efficacy of Pinoxaden.pdf | Mechanism for the inhibition of the carboxyltransferase domain of acetyl-coenzyme A carboxylase by pinoxaden..pdf"
Propargite,Screened readable files - needs different product paper,Pseudomonas paper explicitly did not study metabolites. Search for product-identification papers for propargite glycol ether or related products.,Needs stepwise product/intermediate screening (candidate papers available),0,Yes,4,0,"Biodegradation of propargite by Pseudomonas putida, isolated from tea rhizosphere..pdf | Calculation of pesticide degradation in decaying cotton gin trash..pdf | Setting of maximum residue limits for propargite in citrus fruits and tea..pdf",10.1016/j.jhazmat.2009.09.050 | 10.2903/j.efsa.2007.32r; 10.2903/j.efsa.2011.2087; 10.2903/j.efsa.2013.3350; 10.2903/j.efsa.2018.5193,candidate_gene/enzyme_plus_pathway,"Substrate, product/intermediate, transformation type, gene/protein/enzyme if reported, organism, DOI/reference.",Screen the strongest papers for identified metabolites/products and convert supported reactions into pathway steps.,"Biodegradation of propargite by Pseudomonas putida, isolated from tea rhizosphere..pdf | Calculation of pesticide degradation in decaying cotton gin trash..pdf | Effect of storage, washing, and cooking on the stability of five pesticides in edible fungi of Agaricus bisporus A degradation kinetic stud.pdf | Setting of maximum residue limits for propargite in citrus fruits and tea..pdf"
Fenamiphos,Screened readable files - needs different product paper,"Folder mismatch: readable files are fenamidone papers, not fenamiphos. Replace with true fenamiphos biodegradation/metabolite papers.",Needs stepwise product/intermediate screening (folder has readable PDFs),0,Yes,3,0,,,,"Substrate, product/intermediate, transformation type, gene/protein/enzyme if reported, organism, DOI/reference.",Screen the strongest papers for identified metabolites/products and convert supported reactions into pathway steps.,"Analytical method validation, dissipation and safety evaluation of combination fungicides fenamidoneâ€‰+â€‰mancozeb and iprovalicarbâ€‰+â€‰propineb inon tomato..pdf | Determination of famoxadone, fenamidone, fenhexamid and iprodione residues in greenhouse tomatoes..pdf | Dynamics and residues of mixed formulation of fenamidone and mancozeb in gherkin field ecosystem..pdf"
Propylene oxide,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,172,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_Core_Shell__Nanocomposites_as_Photocatalysts_for_the_Degradation_of_the_Water_P.pdf | _i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | _i_Garcinia_cambogia__i__attenuates_adipogenesis_by_affecting_CEBPB_and_SQSTM1_p.pdf | A_multiple_Kirkendall_strategy_for_converting_nanosized_zero_valent_iron_to_high.pdf
Phosphonic acid,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,96,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",1__Acylamino_alkylphosphonic_Acids_Alkaline_Deacylation_.pdf | _2_Aminobenzothiazole__Methyl_1_1_Bisphosphonic_Acids__Targeting_Matrix_Metallop.pdf | A_Miniaturized_Method_for_Evaluating_the_Dynamic_Gas_Phase_Adsorption_and_Degrad.pdf | A_phosphonate_induced_gene_which_promotes_Penicillium_mediated_bioconversion_of_.pdf
Cyfluthrin/beta-cyfluthrin,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,48,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Bacterial_Cytochrome_P450_Involvement_in_the_Biodegradation_of_Fluorinated_Pyret.pdf
