pesticide_folder,file_name,readability_status
"1,4-Dimethylnaphthalene","1,4-dimethylnaphthalene treatment of seed potatoes affects tuber size distribution..pdf",pdf_header
"1,4-Dimethylnaphthalene",Anaerobic biodegradation of benzo(a)pyrene by a novel Cellulosimicrobium cellulans CWS2 isolated from polycyclic aromatic hydrocarbon-contaminated soil..pdf,pdf_header
"1,4-Dimethylnaphthalene","Biodegradation of Crude Oil by Nitrate-Reducing, Sulfate-Reducing, and Methanogenic Microbial Communities under High-Pressure Conditions..pdf",pdf_header
"1,4-Dimethylnaphthalene","Changes in gene expression in potato meristems treated with the sprout suppressor 1,4-dimethylnaphthalene are dependent on tuber age and dormancy status..pdf",pdf_header
"1,4-Dimethylnaphthalene",Diesel and Crude Oil Biodegradation by Cold-Adapted Microbial Communities in the Labrador Sea..pdf,pdf_header
"1,4-Dimethylnaphthalene","Exposure of Potato Tuber to Varying Concentrations of 1,4-Dimethylnaphthalene Decrease the Expression of Transcripts for Plastid Proteins.pdf",pdf_header
"1,4-Dimethylnaphthalene","Functionalized derivatives of 1,4-dimethylnaphthalene as precursors for biomedical applications synthesis, structures, spectroscopy and photochemical activation in the presence of dioxygen..pdf",pdf_header
"1,4-Dimethylnaphthalene",Genome sequence analysis of deep sea Aspergillus sydowii BOBA1 and effect of high pressure on biodegradation of spent engine oil..pdf,pdf_header
"1,4-Dimethylnaphthalene","Structural phase transition in a charge-transfer compound tropylium hexafluoridoantimonateV-1,4-dimethylnaphthalene ..pdf",pdf_header
"1,4-Dimethylnaphthalene",Substrate interactions during aerobic biodegradation of benzene..pdf,pdf_header
"1,4-Dimethylnaphthalene","The sprout inhibitor 1,4-dimethylnaphthalene induces the expression of the cell cycle inhibitors KRP1 and KRP2 in potatoes..pdf",pdf_header
"1,4-Dimethylnaphthalene","The sprout inhibitors chlorpropham and 1,4-dimethylnaphthalene elicit different transcriptional profiles and do not suppress growth through a prolongation of the dormant state..pdf",pdf_header
2-Phenylphenol,All-in-one continuous electrochemical monitoring of 2-phenylphenol removal from water by electro-Fenton treatment..pdf,pdf_header
2-Phenylphenol,Catalytic degradation of kraft lignin to determine its antioxidant potential for industrial purposes..pdf,pdf_header
2-Phenylphenol,Cloning of bacterial genes specifying degradation of 4-chlorobiphenyl from Pseudomonas putida OU83..pdf,pdf_header
2-Phenylphenol,"Degradation of 2-hydroxybiphenyl and 2,2'-dihydroxybiphenyl by Pseudomonas sp. strain HBP1..pdf",pdf_header
2-Phenylphenol,Degradation of alkylphenols by white rot fungus Irpex lacteus and its manganese peroxidase..pdf,pdf_header
2-Phenylphenol,Degradation of de-esterified pctinhomogalacturonan by the polygalacturonase GhNSP is necessary for pollen exine formation and male fertility in cotton..pdf,pdf_header
2-Phenylphenol,"Degradation of imazalil, orthophenylphenol and pyrimethanil in Clementine mandarins under conventional postharvest industrial conditions at 4Â°C..pdf",pdf_header
2-Phenylphenol,Detection of Residual 2-Phenylphenol on Lemon Rind by Electrochemically Deposited Poly(hydroxybenzaldehyde) and Poly(hydroxybenzoic acid) Polymeric Stackings as Electrode Modifiers..pdf,pdf_header
2-Phenylphenol,Enhancing Pectin Particles with Polymer Additives Mitigating Rumen Degradation and Minimizing Yellowish Milk Color in Grazed Cows..pdf,pdf_header
2-Phenylphenol,"Expression, localization, and functional analysis of polychlorinated biphenyl degradation genes cbpABCD of Pseudomonas putida..pdf",pdf_header
2-Phenylphenol,Fungal Biodegradation of Polyurethanes.pdf,pdf_header
2-Phenylphenol,"Genomic, Transcriptomic and SuspectNon-Target Screening Analyses Reveal the Role of CYP450s in the Degradation of Imazalil and Delineate Its Transformation Pathway by Cladosporium herbarum..pdf",pdf_header
2-Phenylphenol,High-COsub2sub Treatment Prolongs the Postharvest Shelf Life of Strawberry Fruits by Reducing Decay and Cell Wall Degradation..pdf,pdf_header
2-Phenylphenol,Highly effective catalytic peroxymonosulfate activation on N-doped mesoporous carbon for o-phenylphenol degradation..pdf,pdf_header
2-Phenylphenol,IruO is a reductase for heme degradation by IsdI and IsdG proteins in Staphylococcus aureus..pdf,pdf_header
2-Phenylphenol,Light driven Aspergillus niger-ZnS nanobiohybrids for degradation of methyl orange..pdf,pdf_header
2-Phenylphenol,Recent advances in bismuth oxyhalide photocatalysts for degradation of organic pollutants in wastewater..pdf,pdf_header
2-Phenylphenol,Reorganization of gene network for degradation of polycyclic aromatic hydrocarbons (PAHs) in Pseudomonas aeruginosa PAO1 under several conditions..pdf,pdf_header
2-Phenylphenol,Review of the existing maximum residue levels for 2-phenylphenol according to Article 12 of Regulation NoÂ 3962005..pdf,pdf_header
2-Phenylphenol,"Rod-like Bisub4subOsub7sub decorated Bisub2subOsub2subCOsub3sub plates Facile synthesis, promoted charge separation, and highly efficient photocatalytic degradation of organic contaminants..pdf",pdf_header
2-Phenylphenol,Room-temperature fabrication of bismuth oxybromideoxyiodide photocatalyst and efficient degradation of phenolic pollutants under visible light..pdf,pdf_header
2-Phenylphenol,Room-temperature synthesis of zinc oxide nanoparticles in different media and their application in cyanide photodegradation..pdf,pdf_header
2-Phenylphenol,Survey of the anaerobic biodegradation potential of organic chemicals in digesting sludge..pdf,pdf_header
2-Phenylphenol,The Effect of Cultivation Method of Strawberry (iFragaria x ananassai Duch.) cv. Honeoye on Structure and Degradation Dynamics of Pectin during Cold Storage..pdf,pdf_header
2-Phenylphenol,Transcriptional analysis reveals the metabolic state of Burkholderia zhejiangensisi CEIB S4-3 during methyl parathion degradation..pdf,pdf_header
2-Phenylphenol,"Transcriptional organization and dynamic expression of the hbpCAD genes, which encode the first three enzymes for 2-hydroxybiphenyl degradation in Pseudomonas azelaica HBP1..pdf",pdf_header
2-Phenylphenol,URB602 inhibits monoacylglycerol lipase and selectively blocks 2-arachidonoylglycerol degradation in intact brain slices..pdf,pdf_header
2-Phenylphenol,"Unusual location of two nearby pairs of upstream activating sequences for HbpR, the main regulatory protein for the 2-hydroxybiphenyl degradation pathway of Pseudomonas azelaica HBP1..pdf",pdf_header
2-Phenylphenol,Z-scheme bismuth-rich bismuth oxide iodidebismuth oxide bromide hybrids with novel spatial structure Efficient photocatalytic degradation of phenolic contaminants accelerated by in situ generated redox mediators..pdf,pdf_header
Abamectin,Contribution of insect gut microbiota and their associated enzymes in insect physiology and biodegradation of pesticides..pdf,pdf_header
Abamectin,Degradation of abamectin and doramectin on sheep grazed pasture..pdf,pdf_header
Abamectin,Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism..pdf,pdf_header
Abamectin,"Degradation of sex pheromone and plant volatile components by an antennal glutathione S-transferase in the oriental fruit moth,Grapholita molesta Busck (Lepidoptera Tortricidae)..pdf",pdf_header
Abamectin,"Degradation of the acaricides abamectin, flufenoxuron and amitraz on Saudi Arabian dates.pdf",pdf_header
Abamectin,Degradation strategies of pesticide residue From chemicals to synthetic biology..pdf,pdf_header
Abamectin,Effect of soil fumigants on degradation of abamectin and their combination synergistic effect to root-knot nematode..pdf,pdf_header
Abamectin,"Efficient degradation of ivermectin by newly isolated Aeromonas taiwanensis ZJB-18,044..pdf",pdf_header
