pesticide_folder,total_pdf_named_files,pdf_header_files,html_placeholder_files,unknown_or_unreadable_files,sample_pdf_header_files,sample_placeholder_files
"1,4-Dimethylnaphthalene",12,12,0,0,"1,4-dimethylnaphthalene treatment of seed potatoes affects tuber size distribution..pdf | Anaerobic biodegradation of benzo(a)pyrene by a novel Cellulosimicrobium cellulans CWS2 isolated from polycyclic aromatic hydrocarbon-contaminated soil..pdf | Biodegradation of Crude Oil by Nitrate-Reducing, Sulfate-Reducing, and Methanogenic Microbial Communities under High-Pressure Conditions..pdf | Changes in gene expression in potato meristems treated with the sprout suppressor 1,4-dimethylnaphthalene are dependent on tuber age and dormancy status..pdf | Diesel and Crude Oil Biodegradation by Cold-Adapted Microbial Communities in the Labrador Sea..pdf",
2-Phenylphenol,29,29,0,0,"All-in-one continuous electrochemical monitoring of 2-phenylphenol removal from water by electro-Fenton treatment..pdf | Catalytic degradation of kraft lignin to determine its antioxidant potential for industrial purposes..pdf | Cloning of bacterial genes specifying degradation of 4-chlorobiphenyl from Pseudomonas putida OU83..pdf | Degradation of 2-hydroxybiphenyl and 2,2'-dihydroxybiphenyl by Pseudomonas sp. strain HBP1..pdf | Degradation of alkylphenols by white rot fungus Irpex lacteus and its manganese peroxidase..pdf",
Abamectin,18,18,0,0,"Contribution of insect gut microbiota and their associated enzymes in insect physiology and biodegradation of pesticides..pdf | Degradation of abamectin and doramectin on sheep grazed pasture..pdf | Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism..pdf | Degradation of sex pheromone and plant volatile components by an antennal glutathione S-transferase in the oriental fruit moth,Grapholita molesta Busck (Lepidoptera Tortricidae)..pdf | Degradation of the acaricides abamectin, flufenoxuron and amitraz on Saudi Arabian dates.pdf",
Acephate,42,42,0,0,A Comprehensive Review of Multifunctional Nanozymes for Degradation and Detection of Organophosphorus Pesticides in the Environment..pdf | Aerobic dichlorvos degradation by iPseudomonas stutzerii smk complete pathway and implications for toxicity in iMus musculusi..pdf | Aflatoxin Bâ‚ degradation by a Pseudomonas strain..pdf | Are the issues involving acephate already resolved A scientometric review..pdf | Biodegradation of Uric Acid by Bacillus paramycoidesi-YC02..pdf,
Acetamiprid,2,2,0,0,Acetamiprid_10.1371_journal.pone.0082603.pdf | Acetamiprid_10.3389_fmicb.2020.01429.pdf,
Acetochlor,24,0,24,0,,A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | Biodegradation_of_di_n_Butyl_Phthalate_by_Achromobacter_sp__Isolated_from_Rural_.pdf | Characterization_of_a_Sequential_UV_Photolysis_Biodegradation_Process_for_Treatm.pdf | Characterization_of_a_novel_amidohydrolase_with_promiscuous_esterase_activity_fr.pdf | Constructing_Direct_Z_Scheme_Y2TmSbO7_GdYBiNbO7_Heterojunction_Photocatalyst_wit.pdf
Acibenzolar-S-methyl,8,8,0,0,Attenuation and soil biodegradation of fungicides by using vegetated buffer strips in vineyards during a simulated rainfall-runoff event..pdf | Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth..pdf | Influence of Bacillus subtilis and Trichoderma harzianum on Penthiopyrad Degradation under Laboratory and Field Studies.pdf | Modification of the existing maximum residue level for acibenzolar-S-methyl in hazelnuts..pdf | Modification of the existing maximum residue levels for acibenzolar-S-methyl in aubergines and cucurbits with edible and inedible peel..pdf,
Afidopyropen,1,1,0,0,"Characterization of Field-Evolved Resistance to Afidopyropen, a Novel Insecticidal Toxin Developed from Microbial Secondary Metabolites, in iBemisia tabacii..pdf",
Aldicarb,25,0,25,0,,A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | Accelerated_degradation_of_aldicarb_and_its_metabolites_in_cotton_field_soils_.pdf | Aldicarb_related_suicide_attempt_cases_in_North_of_France__2012_2021__.pdf | Application_of_physiologically_based_modelling_and_transcriptomics_to_probe_the_.pdf | BK_channel_density_is_regulated_by_endoplasmic_reticulum_associated_degradation_.pdf
Aldrin,24,0,24,0,,A_Multi_Level_Systems_Biology_Analysis_of_Aldrin_s_Metabolic_Effects_on_Prostate.pdf | Biochar_in_co_contaminated_soil_manipulates_arsenic_solubility_and_microbiologic.pdf | Biodegradability_and_biodegradation_pathways_of_chlorinated_cyclodiene_insectici.pdf | Biodegradation_of_atrazine_and_ligninolytic_enzyme_production_by_basidiomycete_s.pdf | Biodegradation_of_pesticide_in_agricultural_soil_employing_entomopathogenic_fung.pdf
