pesticide,doi,title,pdf_path,candidate_snippets
Acetamiprid,10.1371/journal.pone.0082603,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid/Acetamiprid_10.1371_journal.pone.0082603.pdf,"p1: ted.Theresultsindicatedthatexogenouslysuppliedglucoseandammoniumchloridecouldslightlyenhancethe biodegradation efficiency, but even more addition of glucose or ammonium chloride delayed the biodegradation. In addition, one metabolic intermediate identified as N-methyl-(6-chloro-3-pyridyl)methylamine formed during the degradation of acetamiprid mediated by strain D-12 was captured by LC-MS, allowing a degradation pathway for acetamiprid to be proposed. This study suggests the bacterium could be a promising candidate for remediation of environmentsaffectedby acetamiprid. Citation:WangG,ChenX,YueW,ZhangH,LiF,etal.(2013)MicrobialDegradationofAcetamipridbyOchrobactrumsp.D-12IsolatedfromContaminated Soil.PLoSONE8(12):e82603.doi:10.1371/journal.pone.0082603 Editor:StephenJ.Joh
---
p4: tcouldgrowbyusingacetamiprid fragment ion peaks at m/z 64.02, 73.87, as the sole source of carbon and nitrogen was obtained from 82.80,104.57,122.20,142.02 and 157.01 (Fig. 2–3), was identified contaminated soil. The isolated strain was found to be aerobic, asN-methyl-(6-chloro-3-pyridyl)methylamine.Therefore,thedeg- non-spore-forming, Gram-negative rods and motile with a polar radation pathway of acetamiprid by isolated D-12 was proposed flagellum(Fig.S1).ColoniesofstrainD-12onLBagarwerewhite (Fig. S3). The metabolite idenfied is known to be less toxic to tobeige,mucoidwithentireedgesand2–3mmindiameterwithin mammals and bees, which was previously identified in mice and 24h at 30uC. Strain D-12 was positive for oxidase, catalase, b- honeybeesasIM1-4[32–34].Thehydrolytic"
Acetamiprid,10.3389/fmicb.2020.01429,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid/Acetamiprid_10.3389_fmicb.2020.01429.pdf,"p4:  replicates was applied to assign confidence levels to the earlier studies. In terms of degradation efficiency, both pure nodesinthephylogenetictrees. and mixed bacteria can achieve efficient biodegradation of acetamiprid. However, from the perspective of the degradation pathway, it is difficult for a single species of bacteria to fully RESULTS AND DISCUSSION mineralizethesecondarymetabolites.Therefore,mixedbacterial culturesaremoreeffectiveforthedegradationofenvironmental Degradation of Acetamiprid by the pollutants due to synergistic interactions that enable complete Microbial Consortium ACE-3 mineralization (Chakraborty et al., 2012; Wang et al., 2016; The consortium ACE-3 was successfully enriched by serial Morietal.,2017).Applicationofnaturalmicrobialconsortiahas s
---
p5: tures and pH values, making suchmixedculturesapplicabletothebioremediationofvarious acetamiprid-contaminatedenvironments. Identification of Metabolites To decipher the metabolic network of acetamiprid biodegradation, HPLC and HPLC-MS were employed to identify metabolic intermediates and propose the pathway of acetamiprid biodegradation by ACE-3. As the profile of the HPLC-MS analysis (Figure 3) indicated, acetamiprid was observed in the control sample. Mass spectrometry revealed the presence of four intermediates in the sample that underwent acetamiprid biodegradation. These correspond to the deprotonated molecules of compounds I {m/z = 163.08 [C5H3N-CH2-N(CH3)-C(O)eCH3]−, 154.91 [Cl-C5H3N- CH2-N-CH3]−,and126.00[Cl-C5H3N-CH2]−},II[m/z=126 (Cl-C5H3N-CH2)−], III [m/z = 19"
Chlorothalonil,10.1186/s13568-017-0530-y,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Chlorothalonil/Chlorothalonil_10.1186_s13568-017-0530-y.pdf,
DDT,10.4014/jmb.1701.01073,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/DDT(Dichlorodiphenyltrichloroethane)/DDT_10.4014_jmb.1701.01073.pdf,"p1:  gave the highest DDT degradation rate (approximately 86%) during the E-mail: adi_setyo@chem.its.ac.id; adi.spurnomo@yahoo.com 7-day incubation period. This mixed culture combination of the fungus and bacteria also gave the best ratio of optimization of 1.91. DDD (1,1-dichloro-2,2-bis(4-chlorophenyl) ethane), DDE (1,1-dichloro-2,2-bis(4-chlorophenyl) ethylene), and DDMU (1-chloro-2,2-bis(4-chlorophenyl) ethylene) were detected as metabolic products from the DDT degradation by P. ostreatus and P. aeruginosa. The results of this study indicate that P. aeruginosa has a synergistic relationship pISSN 1017-7825, eISSN 1738-8872 with P. ostreatus and can be used to optimize the degradation of DDT by P. ostreatus. Copyright© 2017 by The Korean Society for Microbiology Keywords
---
p2:  so as to enhance its ability in degrading DDT. Biodegradation of DDT by P. ostreatus This study examined the optimization of DDT degradation After pre-incubation for 7 days, 50 µl of 5 mM DDT in DMF was by P. ostreatus through the addition of biosurfactant- added to each flask inoculated with P. ostreatus (final concentration, producing bacteria, Pseudomonas aeruginosa [9-15] and 0.25µmol). The headspace of each flask was flushed with oxygen Bacillus subtilis [16-18]. Since DDT is a hydrophobic and then sealed with a glass stopper and sealing tape, to prevent compound, the addition of biosurfactant can increase the the volatilization of substrate. The cultures were incubated solubility of DDT thereby optimizing the process. Apart statically for 7 days at 25°C. As a con
---
p3:  as in contaminated soil [8]. However, the Analytical Method degradation amount is still low and the process requires a Fifty microliters of 5 mM pyrene in DMF (final concentration, long incubation time. Therefore, in this study, the ability of 0.25µmol) was added to each of the samples as an internal P.ostreatus to degrade DDT was enhanced through the standard. The mixtures were homogenized with 40 ml of methanol addition of biosurfactant-producing bacteria. P. aeruginosa and then washed with 120 ml of acetone. After filtration through a glass fiber filter (1.0 µm pore size; Advantec, Japan), the filtrates and B. subtilis have been reported as biosurfactant-producing were mixed and evaporated. The filtrates were extracted with bacteria [9, 11, 13-18], which can increas
---
p6: dditional sources. Degradation Incubation Species Metabolites products Addition sources References amount time Serratia marcescens 100% 72 Hours Not reported Yeast extract, peptone, [74] glycerol, tryptone soya broth Shewanella decolorationis S12 60% 9 Months DDD, DDMS, DBP Iron oxide (α-FeOOH) [75] −1 −1 Sphingobacterium sp. 0.031 mg·l ·day 21 Days DDD, DDE, DDMU, Glucose [49] DDNS, DDA, DBP Phanerochaete chrysosporium 74% 28 Days DDE, DDD, DBP Microemulsion: [60] ACCC 3055 Tween 80, 1-pentanol, linseed oil Clostridium sp. BXM 74% 6 Hours DDD, DDE Na2SO4 [76] Bacillus thuringiensis 79% 8 Weeks DDD, DDE KH2PO4, Urea, Tween 80 [61] Flavobacterium sp. Variovorax soli Lysobacter sp. Bosea sp. Bacillus thuringiensis 94% 8 Weeks DDD, DDE KH2PO4, Urea [61] Flavobacterium sp. 
---
p7: 1312 Purnomo et al. and DDMU. The presence of DDE was due to the conversion by P. aeruginosa, whereas DDD and DDMU are attributable to P. ostreatus. Moreover, DDE, as end metabolites from P. aeruginosa, might be converted by P. ostreatus to other metabolites such as DDD and DDMU. However, since DDD and DDMU may not be end products of DDT biotransformation by mixed cultures of P. ostreatus and P.aeruginosa, further investigation is needed to use DDT metabolites (DDE, DDD, and DDMU) as substrates for degradation by mixed cultures of P. ostreatus and P.aeruginosa. In aerobic condition, oxygenase and peroxidase are the"
Dichlorvos,10.1186/s12864-018-4960-y,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Dichlorvos/Dichlorvos_10.1186_s12864-018-4960-y.pdf,
Glyphosate,10.2323/jgam.58.263,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Glyphosate/Glyphosate_10.2323_jgam.58.263.pdf,"p1: h a capacity to utilize herbicide glyphosate, and it can degrade glyphosate concentrations up to 12 g L­1. Metabolization of glyphosate by strain B. cereus CB4 was studied. Results indicated that two concurrent pathways were capable of degrading glyphosate to AMPA, glyoxylate, sarcosine, glycine and formaldehyde as products. Glyphosate breakdown in B. cereus CB4 was achieved by the C-P lyase activity and the glyphosate oxidoreductase activity. Key Words—Bacillus cereus; biodegradation; glyphosate; herbicide; metabolism Introduction tryptophan (Liu et al., 1991). Glyphosate is also a com- petitive inhibitor of EPSPS with respect to phosphoe- Glyphosate (isopropylamine salt of N-phosphono- nolpyruvate and has been shown to block import of methyl-glycine) is the active ing
---
p2: 264 FAN et al. Vol. 58 formation of glyoxylate and aminomethylphosphonic for 2 days until the OD reached 0.5. The culture was 600 acid (AMPA) (Kishore and Barry, 1992). The second inoculated into fresh MSM, incubated under the same pathway is via initial cleavage of the C(cid:514)P bond to give conditions for 7 days, and then centrifuged (Sigma sarcosine, glycine and formaldehyde by a C(cid:514)P lyase Centrifuge, model 3K15, Germany) (15 min, 10,000 rpm). activity (Sviridov et al., 2011). Therefore, to isolate and The degradation rate was determined by measuring characterize effective glyphosate-degrading strains the residual glyphosate using high
---
p3: adding 0.5 ml of 1 M HCl to strain CB4 the reaction mixtures. The decrease of the concentra- Strain CB4 was inoculated into MSM with 6 g L­1 tions of glyphosate and accumulation of its metabo- glyphosate at different pH values (pH 2.0(cid:514)12.0) and lites (AMPA, glyoxylate, sarcosine, glycine and formal- incubated at 35(cid:155)C for 7 days. The growth and gly- dehyde) were monitored using HPLC. AMPA was phosate-degradation activity of the strain CB4 at differ- determined by the method of Dong et al. (2001). Sar- ent pH values are shown in Fig. 2a. cosine and glycine were determined by the method of The test showed that the glyphosate degradation of Chen et al. (2005). Formaldehyde was determined by strain CB4 was positively related with the growth. Weak the method o
---
p6: 268 FAN et al. Vol. 58 the C(cid:514)P bond by C(cid:514)P lyase was assayed by measuring the decrease in glyphosate and accumulation of sar- cosine, glycine and formaldehyde concentrations. In the experiments, AMPA and glyoxylate were abundant in cell-free extracts of strain CB4 (Table 2), thus indi- cating the presence of glyphosate oxidoreductase ca- pable of cleaving the C(cid:514)N bond of glyphosate. Mean- while, sarcosine, glycine and formaldehyde were found to be the breakdown products in cell-free ex- tracts of strain CB4 incubated on glyphosate (Table 2), indicating that the initial cleavage of glyphosate was at the C(cid:514)P bond. Therefore, this pointed out glyphosate breakdown in strain CB4 was achieved by 
---
p7: StC (Obojska et al., 1999), etc. In this report, we glyphosate by Pseudomonas sp. strain PG2982 (Kent- revealed the glyphosate catabolism pathways by B. ce- Moor et al., 1983), Arthrobacter sp. strain GLP-1 (Pipke reus, which could degrade glyphosate via both AMPA and Amrhein, 1988) and E. coli (Huynh et al., 1988), and sarcosine pathways. Pseudomonas sp. strain LBr etc. However, to our knowledge, B. cereus is the fi rst (Jacob et al., 1988) and Ochrobactrum anthropi GPK 3 reported strain that can degrade glyphosate concen- (Sviridov et al., 2011) were reported capable of de- tration up to 12 g L­1, which is the maximum solubility grading glyphosate via two concurrent pathways. The of glyphosate in water at room temperature. two bacteria utilized glyphosate as a phospho"
Malathion,10.1007/s10529-013-1195-5,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Malathion/Malathion_10.1007_s10529-013-1195-5.pdf,"p1: BiotechnolLett(2013)35:1283–1289 DOI10.1007/s10529-013-1195-5 ORIGINAL RESEARCH PAPER Heterologous expression and characterization of a malathion-hydrolyzing carboxylesterase from a thermophilic bacterium, Alicyclobacillus tengchongensis Zhenrong Xie • Bo Xu • Junmei Ding • Lingyun Liu • Xuelin Zhang • Junjun Li • Zunxi Huang Received:16February2013/Accepted:20March2013/Publishedonline:26June2013 (cid:2)TheAuthor(s)2013.ThisarticleispublishedwithopenaccessatSpringerlink.com Abstract Acarboxylesterasegenefromthermophilic The purified enzyme exhibited optimum activity with bacterium,Alicyclobacillustengchongensis,wascloned b-naphthylacetateat60 (cid:3)CandpH7aswellasstabi
---
p2: 1284 BiotechnolLett(2013)35:1283–1289 Onetreatmentstrategyistheuseofsomekeyenzymes TaKaRa.GenomicDNAisolation,DNApurification, to break down pesticide residues. Carboxylesterases and plasmid isolation kits were from Tiangen. All (carboxylic ester hydrolase; EC 3.1.1.1) can degrade otherchemicalswereanalyticalgrade. organophosphorus pesticides, carbamates, pyrethoid insecticides, and organic chloride pesticides (Vontas Sequenceanalyses etal.2000;Zhangetal.2004;Barataetal.2004;Nishi et al. 2006). Carboxylesterases can also catalyze the Genomic DNA ofthe thermophilic A. tengchongensis degradationofmalathiontothedetoxicationproducts strain was extracted using a Tiangen genomic
---
p3: umewas6 ml. Protein concentration was determined by Bradford’s Malathionsolutionwithoutenzymeservedasacontrol. methodusingbovineserumalbuminasthestandard. Themixtureswereincubatedat37 (cid:3)C,0.5 mlsamples were collected at intervals, and 0.5 ml n-hexane was Carboxylesteraseassay added to extract the product. The supernatant was collected by centrifugation and dried over anhy- D1CarE5activitywasassayedwithb-naphthylacetateas drous Na SO . The residual malathion was analyzed 2 4 substratebythemethodofVan(Van1962).Absorbance usingaGC/MSsystemequippedanFIDdetectorwitha wasmeasuredat554 nmforb-naphthylacetate,andone DB-17 column (30 m 9 0.32 mm 9 0.25 lm). The unitofactivity(U)wasdefinedastheamountofenzyme chromatographic conditions for detecting malathion thatproduced1 lm
---
p4: 1286 BiotechnolLett(2013)35:1283–1289 Fig.2 AminoacidsequencealignmentofD1CarE5oftype-B strain(GenBankaccessionnumber:JX101458;thisstudy).The carboxylesterases. D1CarE5 showed 33–71% sequence iden- catalytic triad residues S (Ser), E (Glu)/D (Asp), H (His) are tity with type-B carboxylesterases from Candidatus Solib- indicated by black dots. Both type-B carboxylesterase serine acterusitatusEllin6076,EmticiciaoligotrophicaDSM17448, activesiteandtype-Bcarboxylesterasesignature2areunder- Paenibacilluslactis154,ThermobacilluscompostiKWC4,and linedwithblackbars D1CarE5 from a thermophilic Alicylobacillus tengchongensis Fig.3 SDS-PAGE Resultsanddiscussion anal
---
p5: ifictimepointsforthemeasurement ofresidualactivityat phosphate buffer (pH 7). The error bars represent the 37(cid:3)C.cEffectofpHonD1CarE5activity.Theenzymeactivity mean±standarddeviation(n=3) hasnotbeenreviewedandwhosefunctionisunknown 92–102, another type-B carboxylesterase serine motif (Wangetal.2012;accessionnumber:ZP_10953092). (FGGDPENITIGGQSAG) at positions 191–206, and Comparison of the 16S rDNA sequences and phylo- notably the catalytic triad comprising Ser204, Glu325, genetic analysis showed that the high identity can be and His415, which may form a charge-relay system attributedtothefactthatthetwostrainsbelongtothe (Gopalapillai et al. 2005). The sequence Gly-Xaa-Ser- same genus (Fig. 1). In addition, several microbial Xaa-Gly(Gly202-Gln203-Ser204-Ala205-Gly2
---
p6: hion hydrolase activity have buffer(25mM,pH7)at37(cid:3)C.Amalathionsolutionwithout beeninvestigated(FosterandBia2004;Hashmietal. enzyme served as a control. The error bars represent the 2004; Goda et al. 2010; Baljinder et al. 2012), mean±SD(n=3) recombinant carboxylesterases for malathion degra- dationhavenotbeenreportedinAlicyclobacillus.The ThecrudeenzymeextractedfromrecombinantE.coli enzyme also shows stronger malathion degradation BL21 (DE3) cells was purified to electrophoretic homogeneity by Ni2?-NTA metal chelating affinity than carboxylesterase E4 from peach-potato aphid (Lanetal.2005). chromatography (Fig. 3). The purified enzyme with His migratedasasinglebandonSDS-PAGEwitha 6 molecularmassof *58 kDa,which wasclosetothe calculatedvalueof57.82 kDa.Themolecular
---
p7: Porte C (2004) Role of B-esterases in NishiK,HuangHZ,KamitaSG,KimIH,MorisseauC,Ham- assessing toxicity of organophosphorus (chlorpyrifos, mockBD(2006)Characterizationofpyrethroidhydrolysis malathion) and carbamate (carbofuran) pesticides to by the human liver carboxylesterases hCE-1 and hCE-2. Daphniamagna.AquatToxicol66:125–139 ArchBiochemBiophys445:115–123 Cao CW, Zhang J, Gao XW, Liang P, Guo HL (2008) Over- PrimN,PastorFIJ,DiazP(2001)Cloningandcharacterization expression of carboxylesterase gene associated with of a bacterial cell-bound type B carboxylesterase from organophosphorousinsecticideresistanceincottonaphids, bacillussp.BP-7.CurrMicrobiol42:237–240 Aphisgossypii(Glover).PesticBiochemPhys90:175–180 Stok JE, Huang HZ, Jones PD, Wheelock CE, Morisseau C, Ewis "
Malathion,10.1371/journal.pone.0094177,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Malathion/Malathion_10.1371_journal.pone.0094177.pdf,"p6: yApplications4:225–248. 13. BirdSB,SutherlandTD,GreshamC,OakeshottJ,ScottC,etal.(2008)OpdA, 4. JacksonCJ,LiuJW,CarrPD,YounusF,CoppinC,etal.(2011)Structureand abacterialorganophosphorushydrolase,preventslethalityinratsafterpoisoning function of an insect alpha-carboxylesterase (alpha Esterase7) associated with withhighlytoxicorganophosphoruspesticides.Toxicology247:88–92. insecticideresistance.ProceedingsoftheNationalAcademyofSciencesofthe 14. DawsonRM,PantelidisS,RoseHR,KotsonisSE(2008)Degradationofnerve UnitedStatesofAmerica110:10177–10182. agentsbyanorganophosphate-degradingagent(OpdA).JournalofHazardous 5. Dumas DP, Caldwell SR, Wild JR, Raushel FM (1989) Purification and Materials157:308–314. properties of the phosphotriesterase from Pseudomonas diminuta. Journal of"
Endosulfan,10.1371/journal.pone.0077170,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Endosulfan/Endosulfan_10.1371_journal.pone.0077170.pdf,"p1: ton [1]. Endosulfan for microbial growth [8]. The major metabolites of endosulfan application continues in some countries but has been banned formed during microbial degradation are endosulfan diol, in the European Union since 2006 [2] and from 2011 in India. endosulfan sulfate, endosulfan ether, endosulfan hydroxyether, Endosulfan and its metabolites are persistent in the endosulfan lactone and endosulfan dialdehyde [9-11]. Among environment with an estimated half life of 0.7-6 years [3]. The which the production of endosulfan sulfate is the major toxic impact of endosulfan and its toxic metabolites in the metabolite that persists longer in soils and has bioaccumulation environment result in contamination and persistence leading to potential. bioaccumulation and biomag
---
p2: 8S rRNA sequence analysis [22]. The using enrichment technique which was able to degrade α- fungal genomic DNA was isolated by using AMpurE Fungal endosulfan, β-endosulfan and major toxic metabolite gDNA Mini kit. In this kit detergent and other non corrosive endosulfan sulfate. To the best of our knowledge, this is the chemicals are used to break open the cellulosic cell wall and first report on degradation of endosulfan by Botryosphaeria plasma membrane to extract DNA from fungal cells. The 18S r laricina JAS6 and Aspergillus tamarii JAS9. RNA gene was amplified by polymerase chain reaction (PCR) using the universal primers ITS1 and ITS4. PCR reaction mix Materials and Methods of 50 µl final volume contained: 50 ng sample gDNA, 100 ng forward primer, 100 ng reverse pr
---
p5: Mineralization of Endosulfan by Novel Fungus sp growth. After incubation, the amount of biomass produced in and endosulfan sulfate) were found to accumulate in the the culture medium with endosulfan was much higher when aqueous medium and soil microcosm studies. Previous compared to the growth without endosulfan and this could be researchers have reported endosulfan as a sole carbon source attributed to the fact that the availability of additional source of [10,14,35] or as a sulfur source for microbial growth [10,36]. In carbon or sulfur upon degradation of endosulfan in the medium this sudy JAS6 and JAS9 strains could util
---
p7: ter M1 medium + endosulfan 0.924 0.750 0.907 0.924 0.750 0.907 xylosoxidans strain C8B could degrade 94.12% of α- sulfate + JAS6 endosulfan, 84.52% of β-endosulfan and also it degrade Soil + N + alpha endosulfan + 0.183 3.787 0.827 0.183 3.787 0.826 80.10% of endosulfan sulfate. JAS6 Soil + N + beta endosulfan + 0.414 1.674 0.979 0.414 1.674 0.979 Conclusions JAS6 M1 medium + alpha 0.395 1.754 0.956 0.395 1.754 0.956 In this report, endosulfan and its metabolites degrading endosulfan + JAS9 Botryosphaeria laricina JAS6 and Aspergillus tamarii JAS9 M1 medium + beta 0.312 2.221 0.833 0.313 2.214 0.833 strains were isolated from endosulfan spiked soil. The two endosulfan + JAS9 strains JAS6 and JAS9 were able to tolerate elevated levels M1 medium + endosulfan 0.242 2.864 0
---
p9: 30: 10.Kwon GS, Sohn HY, Shin KS, Kim E, Seo BI (2005) Biodegradation of 247-250. doi:10.1139/m84-036. PubMed: 6713307. the organochlorine insecticide, endosulfan, and the toxic metabolite, 29.Horn BW, Greene RL, Sobolev VS, Dorner JW, Powell JH et al. (1996) endosulfan sulfate, by Klebsiella oxytoca KE-8. Appl Microbiol Association of morphology and mycotoxin production with vegetative Biotechnol 67: 845-850. doi:10.1007/s00253-004-1879-9. PubMed: compatibility groups in Aspergillus flavus, A. parasiticus, and A. tamarii. 15700124. Mycologia 88: 574-587. doi:10.2307/3761151. 11.Sutherland TD, Weir KM, Lacey MJ, Horne I, Russell RJ et al. (2002) 30.Frisvad JC, Samson RA (2000) Neopetromyces gen. nov. and an Enrichment of a mixed culture capable of degrading endosulfate,"
Imidacloprid,10.1186/s13568-019-0942-y,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Imidacloprid/Imidacloprid_10.1186_s13568-019-0942-y.pdf,"p4:  flow rate for the column elution for HPLC analysis centration) filter-sterilized imidacloprid. The cell density and LC–MS analysis was 1 and 0.6 mL/min, respectively. was OD 5.0; 2 mL of the cell suspension was added 600= In these conditions, the metabolites olefin imidacloprid, into an autoclaved 50-mL centrifuge tube and then the 5-hydroxy imidacloprid and imidacloprid appeared at centrifuge tube was sealed with a breathable membrane retention times of 6.0, 6.9 and 9.6 min, respectively in and incubated on a rotary shaker at 200 rpm and 30 °C. HPLC analysis, and 9.8, 11.2 and 16.0 min, respectively in The resting cell transformation system excluding imida- LC–MS analysis. Electrospray ionization was operated in cloprid or cells was used as controls. the negative ioni
---
p5: of a protonated 2 compared. form [M 2H H C H ]− at m/z 228 (Fig. 4b) (Fusetto + − − 2 2 et al. 2016). Metabolites P1 and P2 had the same mass Results data and retention times as standard 5-hydroxy imida- Isolation of imidacloprid‑degrading microbe cloprid and olefin imidacloprid, respectively. Therefore, and taxonomic identification the metabolic pathway of imidacloprid degradation by About 200 colonies grown on MSM agar were H. latericoloratus CGMCC 16346 is via hydroxylation streaked onto R2A plates and eight different bacterial
---
p6: oups. Colonies of Hymenobacter latericoloratus CGMCC 16346 grown on 1/1000th (b) and 1/10000th lysogeny broth (LB) 2% agar plates (c). No bacterial colony was observed on the control plate containing agar only of imidacloprid to 5-hydroxy imidacloprid and the olefin by pure culture of H. latericoloratus CGMCC 16346 imidacloprid metabolite (Fig. 1). involves a co-metabolism mechanism. Effect of co‑substrate on imidacloprid degradation Time course of degradation of imidacloprid by resting cells in resting cell transformation and growing culture of H. latericoloratus CGMCC 16346 A co-substrate, usually carbohydrate or organic acid, As Fig. 5a shows, resting cells of H. latericoloratus can be used as a source of energy and electron donor to CGMCC 16346 degraded imidacloprid
---
p8: tion times of 9.8, 11.2 and 16.0 min, respectively Table 1 Effect of co-substrate on the biodegradation of imidacloprid by resting cells of H. latericoloratus CGMCC 16346 Co‑substrate Content (mg/L) Imidacloprid degradation rate Reduced imidacloprid 5‑Hydroxy Olefin (%) Glucose 51.6 7.2a 36.9 5.6a 1.4 0.1a 52.4 ± ± ± Maltose 59.1 11.4a 41.0 10.3ac 1.6 0.3a 59.8 ± ± ± Pyruvate 52.0 15.6a 46.0 13.10c ND 52.6 ± ± Succinate 10.6 2.1b 5.0 1.7b ND 11.6 ± ± Control 9.0 3.9b 3.6 0.6b ND 9.8 ± ± The OD of the resting cell transformation broth was 5. The transformation time was 96 h. The data represent the mean values of triplicates. Mean values ( SD) 600 ± within a column followed by different letters are significantly different at p 0.05 according to Duncan’s test ≤ for 30 days
---
p12:  as well as helping development of H. dacloprid in pure culture and they degraded imidacloprid latericoloratus CGMCC 16346 as an agent for imidaclo- via three pathways: hydroxylation to 5-hydroxy and olefin prid bioremediation. imidacloprid; nitroreduction to nitroso, guanidine and Acknowledgements urea imidacloprid; oxidative cleavage to 6-chloronico- We thank James Allen, DPhil, from Liwen Bianji, Edanz Group China (https tinic acid (Fig. 1). Among these imidacloprid-degrading ://www.liwen bianj i.cn/ac), for editing the English text of a draft of this manuscript. microbes, H. latericoloratus CGMCC 16346, S. malt- ophilia CGMCC 1.1788 and P. indica CGMCC 6648 Authors’ contributions have the same hydroxylation pathway and co-metabolism YD conceived and supervised the p
---
p13: 3888-y imidacloprid and toxicological analysis of its biodegradation metabolites Dai YJ, Yuan S, Ge F, Chen T, Xu SC, Ni JP (2006) Microbial hydroxylation of in silkworm (Bombyx mori). Chem Eng J 230:27–35 imidacloprid for the synthesis of highly insecticidal olefin imidacloprid. Redlich D, Shahin N, Ekici P, Friess A, Parlar H (2007) Kinetical study of the Appl Microbiol Biotechnol 71(6):927–934 photoinduced degradation of imidacloprid in aquatic media. CLEAN Soil Dai YJ, Chen T, Ge F, Huan Y, Yuan S, Zhu FF (2007) Enhanced hydroxylation of Air Water 35(5):452–458 imidacloprid by Stenotrophomonas maltophilia upon addition of sucrose. Sánchez-Bayo F, Hyne RV (2014) Detection and analysis of neonicotinoids in Appl Microbiol Biotechnol 74(5):995–1000 river waters- Develop"
