acquisition_priority,pesticide,priority_group,doi,doi_url,google_scholar_url,target_usb_folder,suggested_pdf_filename,database_record_count,protein_record_count,database_gene_leads,database_enzyme_leads,database_microbe_leads,source_action,pathway_extraction_rule,oa_check_status,is_oa,oa_status,best_oa_pdf_url,best_oa_landing_url,best_oa_host_type,best_oa_license,download_status,downloaded_pdf_path,screen_status,pages,extracted_chars,snippet_count
1,Acetamiprid,No local readable file - literature search needed,10.1371/journal.pone.0082603,https://doi.org/10.1371/journal.pone.0082603,https://scholar.google.com/scholar?q=10.1371/journal.pone.0082603,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid,Acetamiprid_10.1371_journal.pone.0082603.pdf,19,18,"pnhA (highest activity) | Nhase | CYP5147A3 | Multiple CYP genes (11 upregulated) | AceAB | AnhD,
9 AnhE, and AnhA | AnhD | AnhE | AnhA | Nhase α-subunit | +4 more",Amidases | P450 | Nitrile hydratase | Amidase,Acinetobacter sp. | Afipia sp. | Ensifer adhaerens CGMCC 6315 | Ensifer meliloti CGMCC 7333 | Fusarium sp. CS-3 | Microbacterium  sp. | Ochrobactrum sp. D-12 | Phanerochaete chrysosporium ME-446 | +9 more,"Use database DOI leads first; obtain full text and extract substrate, product/intermediate, reaction, enzyme/gene, organism, DOI, and evidence wording.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,True,gold,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0082603&type=printable,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0082603&type=printable,publisher,cc-by,downloaded_open_access_pdf,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid/Acetamiprid_10.1371_journal.pone.0082603.pdf,screened,9,26963,30
1,Acetamiprid,No local readable file - literature search needed,10.3389/fmicb.2020.01429,https://doi.org/10.3389/fmicb.2020.01429,https://scholar.google.com/scholar?q=10.3389/fmicb.2020.01429,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid,Acetamiprid_10.3389_fmicb.2020.01429.pdf,19,18,"pnhA (highest activity) | Nhase | CYP5147A3 | Multiple CYP genes (11 upregulated) | AceAB | AnhD,
9 AnhE, and AnhA | AnhD | AnhE | AnhA | Nhase α-subunit | +4 more",Amidases | P450 | Nitrile hydratase | Amidase,Acinetobacter sp. | Afipia sp. | Ensifer adhaerens CGMCC 6315 | Ensifer meliloti CGMCC 7333 | Fusarium sp. CS-3 | Microbacterium  sp. | Ochrobactrum sp. D-12 | Phanerochaete chrysosporium ME-446 | +9 more,"Use database DOI leads first; obtain full text and extract substrate, product/intermediate, reaction, enzyme/gene, organism, DOI, and evidence wording.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,True,gold,https://www.frontiersin.org/articles/10.3389/fmicb.2020.01429/pdf,https://www.frontiersin.org/articles/10.3389/fmicb.2020.01429/pdf,publisher,cc-by,downloaded_open_access_pdf,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid/Acetamiprid_10.3389_fmicb.2020.01429.pdf,screened,11,26770,30
1,Chlorothalonil,Placeholder files - redownload PDFs by DOI/title,10.1186/s13568-017-0530-y,https://doi.org/10.1186/s13568-017-0530-y,https://scholar.google.com/scholar?q=10.1186/s13568-017-0530-y,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Chlorothalonil,Chlorothalonil_10.1186_s13568-017-0530-y.pdf,11,6,gst | gst-like gene (non-functional) | chd | Chd | gst-like gene,Peroxidases | Transferases | Dehalogenases | Hydrolytic dehalogenase | Hydrolytic Dehalogenase,Bacillus cereus strain NS1 | Metagenomics study | Ochrobactrum anthropi sh35b | Ochrobactrum lupini strain TP-D1 | Ochrobactrum sp. CTN-11 | Paracoccus sp. XF-3 | Pseudomonas sp. CTN-3 | Pseudomonas sp. Strain CDS-8 | +2 more,"Redownload real PDFs for DOI/title leads, then rerun readability audit and pathway screening.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,True,gold,https://amb-express.springeropen.com/track/pdf/10.1186/s13568-017-0530-y,https://amb-express.springeropen.com/track/pdf/10.1186/s13568-017-0530-y,publisher,cc-by,downloaded_open_access_pdf,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Chlorothalonil/Chlorothalonil_10.1186_s13568-017-0530-y.pdf,screened,8,38753,30
1,DDT,No local readable file - literature search needed,10.4014/jmb.1701.01073,https://doi.org/10.4014/jmb.1701.01073,https://scholar.google.com/scholar?q=10.4014/jmb.1701.01073,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/DDT(Dichlorodiphenyltrichloroethane),DDT_10.4014_jmb.1701.01073.pdf,75,3,bphA | ADH | MnP | catA (cat) | linA | linl,Dioxygenase | Dehalogenases | Dioxygenases | Oxidoreductases | Peroxidases | P450 | Biphenyl dioxygenase,Acanthamoeba castellanii ATCC 30010 | Alcaligenes denitrificans ITRC-4 (MTCC 3697) | Alcaligenes eutrophus A5 | Alcaligenes sp. DG-5 | Arthrobacter sp. | Aspergillus conicus | Aspergillus niger | Bacillus cereus | +48 more,"Use database DOI leads first; obtain full text and extract substrate, product/intermediate, reaction, enzyme/gene, organism, DOI, and evidence wording.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,True,bronze,https://www.jmb.or.kr/journal/download_pdf.php?doi=10.4014/jmb.1701.01073,https://www.jmb.or.kr/journal/download_pdf.php?doi=10.4014/jmb.1701.01073,publisher,,downloaded_open_access_pdf,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/DDT(Dichlorodiphenyltrichloroethane)/DDT_10.4014_jmb.1701.01073.pdf,screened,10,26914,30
1,Dichlorvos,Placeholder files - redownload PDFs by DOI/title,10.1186/s12864-018-4960-y,https://doi.org/10.1186/s12864-018-4960-y,https://scholar.google.com/scholar?q=10.1186/s12864-018-4960-y,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Dichlorvos,Dichlorvos_10.1186_s12864-018-4960-y.pdf,7,2,opd-A and mpd | afk1 and afk2 | mpd | zfc1 | TaCyp548-2 | opdA,Phosphatases | Dioxygenases | Hydrolases | Oxidoreductases | P450 | Peroxidases | Phosphoesterase,Not specified | Stenotrophomonas acidaminiphila G1 | Trichoderma asperellum TJ01 | Trichoderma atroviride T23,"Redownload real PDFs for DOI/title leads, then rerun readability audit and pathway screening.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,True,gold,https://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-018-4960-y,https://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-018-4960-y,publisher,cc-by,downloaded_open_access_pdf,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Dichlorvos/Dichlorvos_10.1186_s12864-018-4960-y.pdf,screened,12,29109,30
1,Glyphosate,Placeholder files - redownload PDFs by DOI/title,10.2323/jgam.58.263,https://doi.org/10.2323/jgam.58.263,https://scholar.google.com/scholar?q=10.2323/jgam.58.263,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Glyphosate,Glyphosate_10.2323_jgam.58.263.pdf,37,0,"phn operon | phn operon (implied) | Not specied | gat | phnCDEFGHIJKLMNOP | glpA, glpB | Not specified | soxB",Lyases | Oxidoreductases | Transferases | Hydrolases | Glyphosate oxidase,Acidovorax sp. | Arthrobacter sp. GLP-1 | Arthrobacter sp. GLP-1/Nit-1 | Arthrobacter sp. N4 | Bacillus cereus AKAD 3-1 | Bacillus cereus CB4 | Bacillus licheniformis ST401 | Burkholderia sp. AQ5-13 | +21 more,"Redownload real PDFs for DOI/title leads, then rerun readability audit and pathway screening.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,True,bronze,https://www.jstage.jst.go.jp/article/jgam/58/4/58_263/_pdf,https://www.jstage.jst.go.jp/article/jgam/58/4/58_263/_pdf,publisher,,downloaded_open_access_pdf,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Glyphosate/Glyphosate_10.2323_jgam.58.263.pdf,screened,9,24550,30
1,Malathion,Placeholder files - redownload PDFs by DOI/title,10.1007/s10529-013-1195-5,https://doi.org/10.1007/s10529-013-1195-5,https://scholar.google.com/scholar?q=10.1007/s10529-013-1195-5,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Malathion,Malathion_10.1007_s10529-013-1195-5.pdf,34,0,pte (engineered variants) | Multiple CE genes | CE (carboxylesterase gene) | D1CarE5,Hydrolases,Acinetobacter spp. | Agrobacterium radiobacter | Alicyclobacillus tengchongensis | Aspergillus flavus | Aspergillus niger | Aspergillus oryzae | B. cereus | B. subtilis | +24 more,"Redownload real PDFs for DOI/title leads, then rerun readability audit and pathway screening.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,True,hybrid,https://link.springer.com/content/pdf/10.1007/s10529-013-1195-5.pdf,https://link.springer.com/content/pdf/10.1007/s10529-013-1195-5.pdf,publisher,cc-by,downloaded_open_access_pdf,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Malathion/Malathion_10.1007_s10529-013-1195-5.pdf,screened,7,23527,27
1,Malathion,Placeholder files - redownload PDFs by DOI/title,10.1371/journal.pone.0094177,https://doi.org/10.1371/journal.pone.0094177,https://scholar.google.com/scholar?q=10.1371/journal.pone.0094177,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Malathion,Malathion_10.1371_journal.pone.0094177.pdf,34,0,pte (engineered variants) | Multiple CE genes | CE (carboxylesterase gene) | D1CarE5,Hydrolases,Acinetobacter spp. | Agrobacterium radiobacter | Alicyclobacillus tengchongensis | Aspergillus flavus | Aspergillus niger | Aspergillus oryzae | B. cereus | B. subtilis | +24 more,"Redownload real PDFs for DOI/title leads, then rerun readability audit and pathway screening.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,True,gold,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0094177&type=printable,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0094177&type=printable,publisher,cc-by,downloaded_open_access_pdf,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Malathion/Malathion_10.1371_journal.pone.0094177.pdf,screened,7,30520,30
1,Endosulfan,Placeholder files - redownload PDFs by DOI/title,10.1371/journal.pone.0077170,https://doi.org/10.1371/journal.pone.0077170,https://scholar.google.com/scholar?q=10.1371/journal.pone.0077170,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Endosulfan,Endosulfan_10.1371_journal.pone.0077170.pdf,19,0,Endosulfan-metabolizing gene | Non-homologous to esd,Hydrolases,Achromobacter sp. M6 | Achromobacter xylosoxidans Strain C8B | Achromobacter xylosoxidans strain CS5 | Acinetobacter schindleri B7 | Aspergillus tamarii JAS9 | Bordetella petrii I GV 34 | Bordetella petrii II GV 36 | Botryosphaeria laricina JAS6 | +10 more,"Redownload real PDFs for DOI/title leads, then rerun readability audit and pathway screening.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,True,gold,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0077170&type=printable,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0077170&type=printable,publisher,cc-by,downloaded_open_access_pdf,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Endosulfan/Endosulfan_10.1371_journal.pone.0077170.pdf,screened,10,26444,30
1,Imidacloprid,Placeholder files - redownload PDFs by DOI/title,10.1186/s13568-019-0942-y,https://doi.org/10.1186/s13568-019-0942-y,https://scholar.google.com/scholar?q=10.1186/s13568-019-0942-y,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Imidacloprid,Imidacloprid_10.1186_s13568-019-0942-y.pdf,8,0,,Hydrolases | P450 | Monooxygenases | Amidohydrolase,Bacillus cereus | Hymenobacter latericoloratus CGMCC 16346 | Mycobacterium sp. Strain MK6 | Pseudomonas sp. RPT 52 | Pseudoxanthomonas indica CGMCC 6648 | Sphingobacterium sp. InxBP1,"Redownload real PDFs for DOI/title leads, then rerun readability audit and pathway screening.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,True,gold,https://amb-express.springeropen.com/track/pdf/10.1186/s13568-019-0942-y,https://amb-express.springeropen.com/track/pdf/10.1186/s13568-019-0942-y,publisher,cc-by,downloaded_open_access_pdf,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Imidacloprid/Imidacloprid_10.1186_s13568-019-0942-y.pdf,screened,13,25590,30
