pesticide,pdf_file,status,pages,extracted_chars,snippet_count
Malathion,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf,read_error: Stream has ended unexpectedly,,,0
Malathion,A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf,read_error: Stream has ended unexpectedly,,,0
Malathion,Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf,read_error: Stream has ended unexpectedly,,,0
Malathion,Alleviation_of_Malathion_Toxicity_Effect_by__i_Coffea_arabica__i__L__Oil_and__i_.pdf,read_error: Stream has ended unexpectedly,,,0
Paraquat,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf,read_error: Stream has ended unexpectedly,,,0
Paraquat,_i_Ginkgo_biloba__i__L__Leaf_Extract_Protects_HepG2_Cells_Against_Paraquat_Induc.pdf,read_error: Stream has ended unexpectedly,,,0
Paraquat,_lt_i_gt_Francisella_tularensis_lt__i_gt__universal_stress_protein_contributes_t.pdf,read_error: Stream has ended unexpectedly,,,0
Paraquat,A_BaTiO_sub_3__sub__WS_sub_2__sub__composite_for_piezo_photocatalytic_persulfate.pdf,read_error: Stream has ended unexpectedly,,,0
Chlorpyrifos-methyl,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf,read_error: Stream has ended unexpectedly,,,0
Chlorpyrifos-methyl,A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf,read_error: Stream has ended unexpectedly,,,0
Chlorpyrifos-methyl,A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf,read_error: Stream has ended unexpectedly,,,0
Chlorpyrifos-methyl,Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf,read_error: Stream has ended unexpectedly,,,0
Dichlorvos,_lt_i_gt_Andrographis_paniculata_lt__i_gt__aqueous_extract_exhibits_cardioprotec.pdf,read_error: Stream has ended unexpectedly,,,0
Dichlorvos,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf,read_error: Stream has ended unexpectedly,,,0
Dichlorvos,A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf,read_error: Stream has ended unexpectedly,,,0
Dichlorvos,A_Review_of_Microalgae__and_Cyanobacteria_Based_Biodegradation_of_Organic_Pollut.pdf,read_error: Stream has ended unexpectedly,,,0
Endosulfan,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf,read_error: Stream has ended unexpectedly,,,0
Endosulfan,A_single_monooxygenase__ese__is_involved_in_the_metabolism_of_the_organochloride.pdf,read_error: Stream has ended unexpectedly,,,0
Endosulfan,Acute_oral_toxicity_and_histopathological_study_of_combination_of_endosulfan_and.pdf,read_error: Stream has ended unexpectedly,,,0
Endosulfan,Atmospheric_Hydroxyl_Radical_Reaction_Rate_Coefficient_and_Total_Environmental_L.pdf,read_error: Stream has ended unexpectedly,,,0
Chlorothalonil,A_novel_hydrolytic_dehalogenase_for_the_chlorinated_aromatic_compound_chlorothal.pdf,read_error: Stream has ended unexpectedly,,,0
Chlorothalonil,A_pulsed_dose_study_evaluating_chronic_toxicity_of_chlorothalonil_to_fish__A_cas.pdf,read_error: Stream has ended unexpectedly,,,0
Chlorothalonil,Antibody_free_colorimetric_detection_of_chlorothalonil_in_cucumber__i_via__i__th.pdf,read_error: Stream has ended unexpectedly,,,0
Chlorothalonil,Biodegradation_of_agave_Comiteco_bagasse_by__i_Pleurotus__i__spp___a_source_of_c.pdf,read_error: Stream has ended unexpectedly,,,0
