pmid,doi,year,title,journal,publication_types,abstract,manual_review_status
42029678,10.1021/acs.analchem.6c01520,2026,Persistent Luminescence-Based Competitive Enzyme Biosensor for Ultrasensitive and Selective Detection of β-Hexachlorocyclohexane.,Analytical chemistry,"Journal Article; Research Support, Non-U.S. Gov't","β-Hexachlorocyclohexane (β-HCH), a highly stable and persistent residue from pesticide use, poses significant risks to the environment and human health, so its sensitive and specific detection is of critical importance for accurate risk assessment. Conventional optical methods are often compromised by autofluorescence and matrix interferences. Here, we report a highly sensitive and selective persistent luminescence-based competitive enzyme biosensor for the detection of β-HCH. A key innovation is the design of a carboxylated HaloTag ligand grafted onto amino-functionalized persistent luminescence nanoparticles, Mn2+-doped Zn2GeO4, a conjugate (ZGOM@L) to serve as both the optical reporter and a competing substrate for the dehalogenase LinB. In this competitive assay, the presence of β-HCH preferentially consumes the LinB activity, sparing ZGOM@L for covalent conjugation with the immobilized HaloTag protein. This results in an increasing persistent luminescence proportional to the β-HCH concentration, inherently eliminating matrix-derived optical interference. The proposed method gives a detection limit of 0.02 ng mL-1 along with quantitative recoveries (88.0% to 105.3%) in vegetable samples. This work provides a robust, autofluorescence-free sensing platform and a generalizable strategy for monitoring trace haloalkanes in complex samples.",Needs manual review before database use
41733838,10.1007/s42770-026-01875-2,2026,"Multilocus sequence typing and genomic characterization of the novel Streptomyces strain SCPE-10, that resists 2,4-D toxicity and has bioremediation potential.",Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology],Journal Article,"The widespread use of aromatic herbicides such as 2,4-dichlorophenoxyacetic acid (2,4-D) has led to persistent environmental contamination, requiring efficient and sustainable biodegradation strategies. In this study, we isolated and characterized a novel actinobacterial strain, Streptomyces sp. SCPE-10, from contaminated coastal soil, capable of using 2,4-D as its sole carbon source. Phenotypic assays revealed robust growth on aromatic substrates, while whole-genome sequencing (Submission no. SUB15461668) followed by multilocus sequence analysis (16 S rRNA, recA, rpoB, atpD, gyrB, and trpB) revealed that SCPE-10 is closely related to Streptomyces phaeoluteichromatogenes. Functional genome annotation revealed a high abundance of genes involved in aromatic compound degradation, including cytochrome P450 monooxygenases, ring-cleaving dioxygenases, and dehalogenases. KEGG and antiSMASH analyses identified multiple metabolic pathways and 28 biosynthetic gene clusters (BGCs), including clusters for polyketides, nonribosomal peptides, terpenes, siderophores, and ectoine. Notably, SCPE-10 harbors key genes related to the degradation of benzoate, naphthalene, toluene, xylene, and 2,4-D, indicating broad-spectrum catabolic potential. These findings suggest that Streptomyces sp. SCPE-10 is a promising candidate for the bioremediation of herbicide-contaminated environments and the exploration of novel secondary metabolites.",Needs manual review before database use
41621543,10.1016/j.biortech.2026.134073,2026,Coupling dalapon biodegradation with electricity generation in microbial fuel cells.,Bioresource technology,Journal Article,"Dalapon (2,2-dichloropropionic acid) is a persistent halogenated herbicide frequently detected in aquatic environments, yet its bioelectrochemical degradation has not been previously demonstrated. This study reports the simultaneous biodegradation of dalapon and electricity generation in single-chamber microbial fuel cells inoculated with the psychrotolerant Antarctic isolate Psychrobacter sp. TaeBurcu001. While mixed microbial cultures alone were unable to oxidize dalapon as the sole added carbon source, co-inoculation with TaeBurcu001 enabled measurable electricity generation (0.1-0.21 V at 980 Ω) and achieved more than 90% dalapon removal. Targeted LC-MS/MS analysis confirmed substantial dalapon degradation under all tested conditions. Microbial community analysis based on 16S rRNA gene sequencing revealed enrichment of electrogenic and xenobiotic-degrading genera, including Xanthobacter, Pseudomonas, Achromobacter, and Dysgonomonas. Molecular docking and molecular dynamics simulations suggested favorable binding of dalapon within the catalytic pocket of L-2-haloacid dehalogenase, supporting a plausible enzymatic contribution to dehalogenation. Overall, this study demonstrates the potential of using specialized pollutant-degrading bacteria to enhance the functionality of MFCs for treating recalcitrant organic contaminants.",Needs manual review before database use
41530930,10.1021/acs.est.5c12399,2026,Characterization of a Pure Culture of,Environmental science & technology,Journal Article,"4-Hydroxy-chlorothalonil (4-OH-TPN), the main metabolite of the widely used fungicide chlorothalonil, has recently been reported to be reductively dechlorinated by an anaerobic consortium containing Dehalogenimonas. While the pure culture of the Dehalogenimonas has not been isolated and the reductive dehalogenase genes (rdhAs) responsible for the 4-OH-TPN dechlorination remain unclear. The assembled genome of Dehalogenimonas contained a 1,2-dichloroethane (1,2-DCA) reductive dehalogenase gene (dcpA) ortholog. In this study, by alternating the substrate from 4-OH-TPN to 1,2-DCA, a pure culture of Dehalogenimonas, designated as 4OHTPN1, was finally isolated. Strain 4OHTPN1 potentially represents a novel species in the genus Dehalogenimonas and contains 33 rdhA genes and 4 rdhB genes. The novel rdhA26 gene (designated htpnA) was identified as the key gene involved in 4-OH-TPN dechlorination. Its transcriptional and protein expression levels were 25.0-fold and 10.2-fold higher than the average of all rdhA genes when the culture was solely amended with 4-OH-TPN. In contrast, the dcpA ortholog, rdhA25, exhibited 10.1-fold and 9.8-fold higher transcriptional and protein expression levels when only amended with 1,2-DCA, highlighting a substrate-specific regulatory response to a distinct electron acceptor. This study expands our knowledge of the rdhA gene for 4-OH-TPN dechlorination in the pure culture of Dehalogenimonas.",Needs manual review before database use
41259652,10.1093/inteam/vjaf167,2025,"Microbial Remediation of Agrochemical-Contaminated Soils: Enzymatic Mechanisms, Quorum Sensing, and Emerging Opportunities.",Integrated environmental assessment and management,Journal Article,"The intensive and repeated use of agrochemicals, including synthetic pesticides, herbicides, and fertilisers, has led to persistent contamination of agricultural soils, endangering soil health, ecosystem services, biodiversity, and sustainable food production. Soil microbiomes, with their remarkable metabolic versatility, represent a promising resource for in situ remediation of these pollutants. This review provides an integrated overview of the enzymatic and regulatory mechanisms underpinning microbial remediation, placing greater emphasis on enzymatic degradation as the central process driving pollutant breakdown. The biodegradation of soil pollutants is orchestrated by a network of microbial enzymes, including organophosphorus hydrolases, dehalogenases, oxidoreductases, dioxygenases, plastic-degrading and alkane-catabolising enzymes, that catalyse oxidation, hydrolysis, and dehalogenation reactions, transforming toxic compounds into less harmful intermediates that feed into metabolic pathways. Understanding the relationship between these enzymes, their encoding genes, and microbial hosts is crucial for designing robust bioremediation strategies. Complementing these biochemical processes, quorum sensing (QS) is discussed as a regulatory system that modulates microbial cooperation, biofilm formation, and catabolic gene expression during degradation. Emerging strategies, including microbial consortia design and synthetic biology-based engineering, are evaluated with a focus on the integration of QS-mediated interactions. Critical challenges, including soil heterogeneity, abiotic inhibition of QS signals, enzyme instability, biosafety concerns related to engineered strains, and horizontal gene transfer, are discussed. Future perspectives highlight enzyme engineering, QS-based biosensors, artificial intelligence-driven modelling, and synthetic QS circuits as tools to optimise bioremediation outcomes. Collectively, these insights outline pathways for advancing ecologically sound and sustainable approaches to the remediation of agrochemical-contaminated soils.",Needs manual review before database use
41076761,10.1016/j.watres.2025.124745,2026,Nanoscale zero-valent iron coupled with microorganisms enhances the removal of organochlorine pesticides in groundwater: Insights from the role of cascading effects and horizontal gene transfer.,Water research,Journal Article,"Nanoscale zero-valent iron (nZVIs) represent a promising approach for the remediation of organic chlorine-contaminated groundwater. However, the interaction between nZVIs and indigenous dechlorinating microorganisms is complex, which may have unpredictable effects on the dechlorination of organic chlorine, necessitating further investigation. In this study, we investigated an abandoned pesticide factory in southwest China, combined with microcosm experiment to reconstruct the metabolic pathway of biological dechlorination, and quantified the functional contribution of dechlorination genes and microorganisms. The results showed that the combined treatment of nZVIs and microorganisms significantly enhanced the degradation efficiency of HCHs, DDTs, and their six isomers, achieving removal rates of up to 99 % for HCHs and 87.73 % for DDTs. The concentrations of Cl⁻ and Fe²⁺ had a direct positive effect on the enrichment of microbial communities harboring HCHs degradation genes. Haloalkane dehalogenase encoded by the dhaA gene was identified as a key enzyme in the degradation of β-HCH precursors, which not only promoted the growth of facultative dehalogenators (particularly Acidovorax and Methyloversatilis) but also enhanced overall dechlorination activity. Importantly, we successfully reconstructed 7 near-complete bacterial metagenome-assembled genomes (MAGs) carrying the dhaA gene, representing taxonomically diverse novel dechlorinating microorganisms. Additionally, nZVIs significantly increased the abundance of mobile genetic elements (MGEs), with 17 MGEs detected within scaffolds harboring dhaA in the 7 MAGs. Integrases and transposases were identified as key drivers facilitating the spread of dhaA. This finding was supported by the shift of dhaA-harboring hosts, and by the incongruent evolutionary patterns observed between the genome-based tree and the dhaA protein phylogenetic tree. To be specific, cascading effects and horizontal gene transfer synergistically promoted the proliferation of dechlorinating microbes, providing novel strategies for managing and remediating organic chlorine-contaminated ecosystems.",Needs manual review before database use
41011466,10.3390/microorganisms13092133,2025,Halogenation and Dehalogenation Potential of Microorganisms in Yangtze River Waters.,Microorganisms,Journal Article,"The discharge of pollutants into rivers has been increasing with the rapid industrial development and extensive agricultural use of pesticides and herbicides. Halogenated organic compounds (HOCs) represent a significant class of environmental pollutants. It has been found that microorganisms have the ability not only to degrade HOCs but also to synthesize them. Little is known about the halogenation and dehalogenation potential of microorganisms in river waters. In this study, we investigated the halogenation and dehalogenation potentials of microorganisms in the Yangtze River, which originates from the Tibetan Plateau, flows through southwestern, central and eastern China, and finally joins the East China Sea. A systematic metagenomic and bioinformatics analysis identified and quantified genes encoding four dehalogenases and two halogenases, providing fundamental data for the halogen cycle in the Yangtze River water body. The study showed that the microbial community in the Yangtze water body was mainly associated with dehalogenation potential, and the relative abundance of dehalogenase genes was higher than that of halogenase genes. Among the microorganisms with halogenation and dehalogenation potentials, Pseudomonadota and Actinomycetota dominated. Some microorganisms possessed both halogenation and dehalogenation functions, suggesting a potential adaptive strategy to environmental fluctuations. The presence of diverse and complete dehalogenation metabolic pathways highlights the microbial potential for bioremediation. These microorganisms not only contribute to the degradation of halogenated organic matter but also play crucial roles in carbon, nitrogen, and sulfur cycling. This study provides essential data for understanding microbial halogenation and dehalogenation potential in the Yangtze River, offering insights into the microbial-driven biogeochemical cycling mechanisms in its waters.",Needs manual review before database use
40823825,10.1128/mbio.01798-25,2025,Matrix-independent screening of defluorination,mBio,"Journal Article; Research Support, Non-U.S. Gov't","There is intense interest in biodegrading fluorinated pesticides and other commercial products, some of which are per- and poly-fluorinated alkyl substances, or PFAS. Enzymatic carbon-fluorine bond cleavage via hydrolytic, reductive, and eliminative mechanisms generates an organic product, fluoride anion, and a proton. Biodegradation is typically determined by tracking the organic product using liquid chromatography-mass spectrometry (LC-MS) or the anion determined by a fluoride-specific electrode. Here, we monitored the protons that are produced. A pH indicator method was developed using a hydrolytic defluorinase from Delftia acidovorans strain B in purified form or expressed recombinantly in Pseudomonas putida ATCC 12633. The method was also shown to be effective with P. putida F1 catalyzing oxygenative defluorination with α,α,α-trifluorotoluene. P. putida ATCC 12633 strains expressing different recombinant defluorinases showed differential growth and coloration on agar plates containing bromothymol blue and a fluorinated substrate. A purified defluorinase with a high pH optimum was assayed using the pH indicator m-cresol purple to identify six new substrates, one of which is a PFAS. LC-MS and fluoride electrode determinations require a single sample work-up and milliliter volumes. The proton monitoring methods described here can be performed in a microliter high-throughput format. It can also be used in solid matrices such as hydrogels. Although less rigorously quantitative than the single determination methods, rapid screening methods as described here are currently needed by researchers seeking to identify and characterize new microbes and enzymes able to biodegrade commercially relevant PFAS.IMPORTANCEFluorinated compounds are widespread as pesticides, pharmaceuticals, and legacy chemicals. Human health and ecosystem health problems arise from exposure to these chemicals. Currently, there is great interest in reducing exposure via bioremediation, and this is spurring efforts in screening for C-F bond-cleaving microbes and enzymes. C-F bond cleavage produces fluoride and a proton. Fluoride determination is difficult in many matrices and involves milliliter volumes and single-sample determinations. Here, proton release by enzymes and microbes was monitored on agar, in hydrogels, and in a microliter liquid high-throughput screening format. Six new substrates were identified for one microbial defluorinase enzyme.",Needs manual review before database use
40578200,10.1016/j.jhazmat.2025.138996,2025,"Isolation of Dehalococcoides mccartyi strain (NIT-OBY) and identification of a reductive dehalogenase dechlorinating cis-1,3-dichloropropene but not trans-1,3-dichloropropene to non-toxic propene.",Journal of hazardous materials,Journal Article,"The popular soil fumigant 1,3-dichloropropene (1,3-D) is widely used worldwide and one of the top five most-used pesticides in the United States. However, 1,3-D is classified as a Group 2B carcinogen and understanding its environmental fate is important. The aerobic degradation pathway of 1,3-D, along with the involved microorganisms and enzymes have been comprehensively described, whereas anaerobic transformation and the associated functional players remain incompletely understood. Therefore, this study aimed to investigate the ability of Dehalococcoides mccartyi strain NIT-OBY, a new isolate from a trichloroethene-dechlorinating consortium, to dechlorinate 1,3-D. Strain NIT-OBY dechlorinated cis-1,3-D but not trans-1,3-D to non-toxic propene via 3-chloropropene and cis-1-chloropropene, a previously unreported intermediate. The preference to cis-1,3-D contrasts with that of the reductive dehalogenase of Sulfurospirillum multivorans, which preferentially dechlorinates trans-1,3-D. However, dechlorination of cis-1,3-D did not support growth of strain NIT-OBY due to its rapid abiotic hydrolysis to 3-chloroallyl alcohol. Genome analysis revealed that strain NIT-OBY possesses 27 genes coding for the active subunit of reductive dehalogenase homologous proteins (RdhAs) including three for which the encoded proteins have more than 93 % amino acid sequence similarity with RdhA proteins functionally characterized previously: RdhA11 (TceA), RdhA12 (VcrA), and RdhA21 (PceA), respectively. Activity tests and protein mass spectrometry from native gels indicate that RdhA11 (TceA) dechlorinates cis-1,3-D to propene. The results specifically differentiate the dehalogenation pathways catalyzed within the Dehalococcoidia class and add to the development of informed guidelines for bioaugmentation approaches.",Needs manual review before database use
40037896,10.1093/bbb/zbaf022,2025,Haloalkane dehalogenases other than LinB can contribute to the γ-hexachlorocyclohexane utilization.,"Bioscience, biotechnology, and biochemistry",Journal Article,"Haloalkane dehalogenases (HLDs) convert halogenated compounds to corresponding alcohols by a simple hydrolytic mechanism. Although many bacterial strains possess HLDs or HLD homologues, LinB is the only HLD known to be involved in the utilization of γ-hexachlorocyclohexane (γ-HCH), a man-made chlorinated pesticide. In this study, to gain insight into the functional evolution of HLDs toward γ-HCH utilization, the linB gene in γ-HCH-degrading Sphingobium japonicum strain UT26 was replaced by 7 other HLD or HLD homologous genes, including 3 putative ancestral enzymes. Interestingly, strains carrying genes for DmmA from a marine metagenome or Rluc_anc, an ancestor of Renilla-luciferin 2-monooxygenase and LinB, produced 2,5-dichlorophenol and 2,5-dichlorohydroquinone from γ-HCH, which are indicators of LinB activity, and grew in minimal medium supplied with γ-HCH as a sole carbon source. These results indicated that other HLDs, in addition to LinB, can play roles in the γ-HCH utilization.",Needs manual review before database use
