pmid,doi,year,title,journal,authors,publication_types,abstract,manual_review_status,database_match_status,matched_database_sections
42402015,10.1080/15287394.2026.2694074,2026,Assessment of molecular and biochemical biomarkers in,Journal of toxicology and environmental health. Part A,Favarin JC; Lisarb Velasquez Bastolla C; de Barros Vilas Bôas LO; Sampaio Lanzarin L; Saldaña-Serrano M; Nogueira D; Locatelli C; Hoff R,Journal Article,"The increasing use of pyrethroids and neonicotinoids, such as those present in the commercial formulation ZEUSⓇ (Ihara, Brazil), has raised environmental concerns attributed to enhanced risk of aquatic contamination. Fish are valuable bioindicators due to their ability to bioaccumulate and metabolically respond to contaminants. This study evaluated the acute effects of ZEUSⓇ exposure in Nile tilapia (Oreochromis niloticus) using biochemical and molecular biomarkers. Male juvenile fish (n = 10 per treatment) were exposed for 24 hr to ZEUSⓇ at 0.05, 0.1, or 0.2 mg/L. Hepatic gene transcription of genes related to xenobiotic biotransformation, antioxidant defense, inflammation, and apoptosis was assessed, together with glutathione S-transferase (Gst) and catalase (Cat) activities and lipid peroxidation levels. Lambda-cyhalothrin and dinotefuran were not detected in the muscle tissue. Biomarker responses revealed a significant 4-fold downregulation of carboxylesterase (cbe3) transcription at 0.1 mg/L, and a 40% reduction in Gst activity at 0.2 mg/L. Lipid peroxidation increased approximately 6-fold and 8-fold at 0.05 and 0.2 mg/L, respectively. No significant changes were observed in antioxidant-, inflammatory-, or apoptosis-related gene transcription. These findings indicate that acute ZEUSⓇ exposure alters detoxification processes and induces oxidative lipid damage, indicating the need for longer-term studies evaluating tissue-specific responses and bioaccumulation dynamics.",Needs manual review before database use,NEW_CANDIDATE,
42379105,10.1016/j.aquatox.2026.107917,2026,Fenvalerate toxicity in Haliotis discus hannai: Gill damage and organ responses under food and water exposure.,"Aquatic toxicology (Amsterdam, Netherlands)",Liu X; Wu G; Hua S; Qin H; Li X; Xie Z; Liu X; Chen L,Journal Article,"Fenvalerate (FEN), a widely used synthetic pyrethroid pesticide that poses substantial risks to aquatic ecosystems. This study systematically compared the toxic effects of FEN exposure through food and water pathways in the abalone Haliotis discus hannai, with specific focus on the gills. Our results demonstrated detectable FEN accumulation in the gills under both exposure routes, and water exposure led to significantly higher accumulation, particularly at higher concentrations. Proteomic analysis revealed that both exposure routes induced substantial molecular alterations, with food exposure primarily disrupting Metabolic processes, while water exposure caused more extensive disruptions, including Genetic Information Processing pathways. Both exposure routes induced oxidative stress in the gills, evidenced by significantly elevated superoxide dismutase (SOD) and glutathione S-transferase (GST) activities and increased malondialdehyde (MDA) levels, though acetylcholinesterase (AChE) activity remained unchanged across all groups. Molecular analysis showed that both food and water exposure upregulated genes related to antioxidant defense (Nuclear factor erythroid 2-related factor 2, Nrf2), apoptosis (BCL2-Associated X Protein, BAX; Cysteine-Aspartic Acid Protease 3, Caspase-3), immune inflammation (Toll-Like Receptor 2, TLR2; Toll-Like Receptor 4, TLR4; Tumor Necrosis Factor Alpha, TNF-α), and cellular signaling (Phosphatidylinositol 3-Kinase, PI3K), while downregulating the anti-apoptotic gene (B-cell Lymphoma 2, Bcl-2), with these effects being most pronounced under water exposure. Integrated biomarker response (IBR) and principal component analysis (PCA) consistently demonstrated that both exposure routes disrupted gill physiological homeostasis, with water exposure causing the most severe toxicological effects. These findings establish that while food exposure induces significant toxicity in abalone gills, water exposure represents the predominant risk factor through interconnected oxidative, immune, and apoptotic pathways.",Needs manual review before database use,NEW_CANDIDATE,
42378389,10.1002/arch.70184,2026,Delta-Class Glutathione S-Transferase Modulates the Susceptibility of Myzus persicae to λ-Cyhalothrin.,Archives of insect biochemistry and physiology,Shen WX; Yu JM; Liu XY; Zhang YX; Li MY; Chen DX; Liu S,Journal Article,"Glutathione S-transferases (GSTs) constitute a critical enzyme superfamily responsible for xenobiotic detoxification in insects. The green peach aphid, Myzus persicae, is a globally significant agricultural pest that has exhibited declining field susceptibility to λ-cyhalothrin (LCT), a widely applied pyrethroid insecticide. While elevated GST activity has been correlated with LCT tolerance in various aphid populations, the precise molecular mechanisms driving this process have not been fully elucidated. In this study, we functionally characterized a delta-class GST gene (designated MpGSTd1) from M. persicae. The encoded protein possesses hallmark structural motifs of the GST family, including distinct glutathione-binding (G-site) and hydrophobic substrate-binding (H-site) pockets. Transcriptional profiling revealed maximal MpGSTd1 expression during the late nymphal to adult stages, and its transcript levels were markedly induced following LCT challenge. Biochemical analysis of the recombinant MpGSTd1 protein confirmed its catalytic competency toward the model substrate CDNB, exhibiting a Vmax of 0.91 µmol/min/mg and a Km of 2.73 mM. Notably, LCT exposure inhibited the enzyme's activity in vitro with an IC50 of 0.02 mM, and high-performance liquid chromatography (HPLC) assays demonstrated that MpGSTd1 can directly deplete LCT by 11.4%. Furthermore, RNA interference (RNAi)-mediated suppression of MpGSTd1 in vivo significantly elevated aphid mortality upon subsequent LCT exposure. Collectively, these findings delineate an essential role for MpGSTd1 in modulating LCT susceptibility in M. persicae and underscore its potential utility as a molecular target for future aphid management strategies.",Needs manual review before database use,NEW_CANDIDATE,
42362044,10.1016/j.jinsphys.2026.105021,2026,Dietary lipids shape honey bee (Apis mellifera) feeding and resilience to pesticide stress.,Journal of insect physiology,Mokkapati JS; Grozinger CM,Journal Article,"Pesticides are important for crop production but can have negative impacts on beneficial insects such as pollinators. In insects, physiological lipid stores may serve to sequester pesticides, while pesticide metabolism and detoxification often involve fatty acid pathways. Previous studies in Apis mellifera found that honey bees fed pollen with a specific protein-to-lipid ratio had improved survival when exposed to an insecticide. Here, we comprehensively investigate whether and how the type of dietary fat influences survival, energy reserves, and enzymatic biomarkers, following exposure to an organophosphate insecticide, chlorpyrifos. Newly emerged bees were fed protein-based diets enriched with either saturated (SFA), monounsaturated (MUFA), or polyunsaturated fatty acids (PUFA) for 5 days and then exposed orally to chlorpyrifos (at LC₅₀). Bees fed MUFA and PUFA diets consumed significantly more food than those fed SFA-supplemented diet, indicating a clear preference for unsaturated fats. However, under chlorpyrifos exposure, only PUFA-fed bees exhibited significantly higher survival rates, and also maintained greater lipid reserves and acetylcholine esterase activity compared to SFA- and MUFA-fed groups. These results suggest that PUFA-enriched diets may mitigate pesticide toxicity by preserving neural enzyme function and energy homeostasis. No significant changes in glutathione-S-transferase activity were observed across treatments, suggesting limited dietary modulation of this detoxification pathway. Collectively, our findings demonstrate that dietary fatty acid composition influences honey bee physiological resilience to chlorpyrifos and highlight the potential for PUFA-based nutritional interventions or the design of pollinator habitats, to improve resilience to pesticides.",Needs manual review before database use,NEW_CANDIDATE,
42355381,10.3390/insects17060648,2026,Comparative Transcriptomic Analysis of Detoxification Enzyme Gene Families in Parent and Offspring Riptortus pedestris After Sublethal Thiamethoxam Treatment.,Insects,Zhao S; Wang Z; Chen S; Li R; Du Z; Huang X; Yuan H; Shi S,Journal Article,"Thiamethoxam is the main neonicotinoid insecticide used for controlling Riptortus pedestris (Fabricius) (Hemiptera: Alydidae). However, sublethal concentration stress may induce intergenerational transcriptional memory, leading to transcriptional patterns that may contribute to the intergenerational accumulation of metabolic tolerance, and evaluating only the toxicity of the current generation would underestimate the long-term risk. Therefore, this study investigated the effect of parental exposure on the expression of detoxification enzyme genes in offspring. Using transcriptome sequencing, we systematically identified three detoxification enzyme gene families (cytochrome P450 monooxygenases (CYPs), carboxylesterases (CCEs), and glutathione S-transferases (GSTs)) in R. pedestris and compared their differential expression patterns between the parental and filial generations after thiamethoxam treatment at three sublethal concentrations (LC10, LC30, and LC50). In the parental generation, a Theta family GST was consistently upregulated, while in the filial generation, detoxification genes were predominantly downregulated, and the genes upregulated in the parents were not also upregulated in the offspring. Comparisons of parents and offspring at the same concentration revealed that the medium concentration induced the highest number of intergenerationally upregulated genes, exhibiting a non-linear response pattern. These results indicate that parental exposure to sublethal thiamethoxam leaves an intergenerational transcriptional imprint in the offspring, and the transmission pattern involves transcriptional reprogramming rather than simple replication of the parental response, the mechanism of which remains to be determined. This study provides transcriptomic evidence for understanding the metabolic adaptation and intergenerational resistance evolution of R. pedestris to thiamethoxam, offering important reference value for field resistance monitoring and rational insecticide application.",Needs manual review before database use,NEW_CANDIDATE,
42332171,10.1038/s41598-026-59265-5,2026,Combined toxicity of pesticides and heavy metals on Rhizoglyphus robini (Acari: Acaridae).,Scientific reports,Samadieh H; Khajehali J,Journal Article,"This study investigates the combined effects of heavy metals (lead and nickel) and three pesticides (abamectin, propargite, and chlorpyrifos) on the bulb mite, Rhizoglyphus robini (Acaridae). Toxicity bioassays were conducted to determine the heavy metal ratios (HMR) and the LC50 of pesticide alone divided by LC50 of pesticide with heavy metal pretreatment. The results revealed that exposure to lead and nickel enhanced the toxicity of propargite and chlorpyrifos but significantly reduced the toxicity of abamectin, indicating an antagonistic effect. Specifically, for propargite, lead increased toxicity by 2.67-fold and nickel by 1.73-fold. For chlorpyrifos, lead increased toxicity by 1.75-fold and nickel by 1.17-fold. In contrast, for abamectin, lead and nickel reduced toxicity by 0.82-fold and 0.86-fold, respectively (HMR < 1), confirming an antagonistic interaction. Biochemical analyses showed that lead exposure significantly increased cytochrome P450 activity, while nickel reduced glutathione S-transferase (GST) activity. The observed changes in enzyme activities suggest that heavy metals may affect detoxification pathways. Our results highlight the importance of considering environmental contaminants when designing pest management strategies, as combined exposure to heavy metals and pesticides can either enhance or reduce the efficacy of control measures.",Needs manual review before database use,NEW_CANDIDATE,
42298900,10.1021/acs.jafc.6c02903,2026,Resistance to Fenoxaprop-P-ethyl in Wild Oats May Involve GST-Mediated Enhanced Antioxidant Capacity.,Journal of agricultural and food chemistry,Qing J; Cao Z; Lu H; Pan L; Liu M,Journal Article,"Avena fatua (wild oat), a globally invasive weed threatening cereal production, has evolved herbicide resistance, complicating field management. A previous study identified an Australian resistant population (R1) with moderate resistance to the acetyl-CoA carboxylase (ACCase)-inhibiting herbicide fenoxaprop-P-ethyl via nontarget-site resistance (NTSR). RNA-seq revealed that a glutathione S-transferase (GST) gene, AfGSTU16, was upregulated in R1. Transgenic rice overexpressing AfGSTU16 (AfGSTU16-OE) exhibited an enhanced tolerance to fenoxaprop-P-ethyl. However, in vitro assays of recombinant AfGSTU16 in Escherichia coli showed no metabolic activity toward fenoxaprop-P-ethyl, indicating resistance independent of direct herbicide degradation. Alternatively, AfGSTU16-OE rice accumulated lower hydrogen peroxide levels and displayed higher antioxidant enzyme activities under herbicide stress. Transcriptome analysis further showed enrichment in xenobiotic detoxification and antioxidant defense pathways. Collectively, these findings suggest that AfGSTU16 confers fenoxaprop-P-ethyl resistance in the wild oat mainly by enhancing antioxidant capacity to alleviate herbicide-induced oxidative damage rather than via direct herbicide metabolic degradation.",Needs manual review before database use,NEW_CANDIDATE,
42290144,10.1002/mnfr.70519,2026,Enhanced Protective Potential of a Pea Protein-Fortified Fermented Almond Beverage Against Paraquat-Induced Oxidative Stress.,Molecular nutrition & food research,Charif SE; Gozzi MS; Branca BE; Roiffe G; Dorfman VB,Journal Article,"Oxidative stress, arising from an imbalance between reactive oxygen species and antioxidant defenses, drives numerous diseases. Paraquat (PQ) induces oxidative damage through free radical generation. Developing antioxidant-rich products from natural sources may mitigate these effects. We evaluated the antioxidant content and protective effects of a plant-based fermented beverage (PBFB) based on almond milk and plant protein. Methanolic extracts were analyzed for total phenolic (TPC) and flavonoid (TFC) content, as well as DPPH and ABTS assays. Fermentation enhanced antioxidant properties, increasing phenolic content (80.20 ± 0.81 vs. 119.60 ± 1.43 mg GAE/mg), total flavonoid content (9.32 ± 1.32 vs. 22.35 ± 1.52 mg CAE/mg), DPPH (4.97 ± 0.17% vs. 10.43 ± 0.15%), and ABTS (23.57 ± 1.46% vs. 44.30 ± 0.51%) radical scavenging capacity (p < 0.05). In vitro, PQ increased catalase (CAT) (16.36 ± 3.33 vs. 36.70 ± 5.52 units/min/mg, p < 0.05) and decreased glutathione S-transferase (GST) activities (39.42 ± 2.92 vs. 18.27 ± 2.37 µmol/min/mL, p < 0.05) in CHO-K1 cells. PBFB treatment partially restored GST activity (26.04 ± 2.30 µmol/min/mL, p < 0.05) and normalized CAT levels (21.25 ± 2.95 units/min/mg, p < 0.05). Cell viability remained unchanged. These findings highlight the synergistic effect of fermentation and plant protein enrichment, yielding a functional food with cytoprotective potential.",Needs manual review before database use,NEW_CANDIDATE,
42287693,10.1093/ee/nvag060,2026,Contact toxicity and mechanisms of 4 compounds from Evodia rutaecarpa against Tribolium castaneum (Coleoptera: Tenebrionidae).,Environmental entomology,Yang W; Wang Y; Cao J,Journal Article,"Tribolium castaneum causes significant damage to grains and their products. Increased resistance to synthetic insecticides poses a further challenge to pest control, highlighting botanical insecticides as an alternative. Evodia rutaecarpa is rich in anti-insect compounds and possesses insecticidal activity against T. castaneum. However, the underlying mechanism of action remains unclear. We evaluated the contact toxicity of 4 active compounds from E. rutaecarpa, linalool, caryophyllene oxide, α-terpineol, and rutaecarpine, against T. castaneum via topical application, and assessed their effects on neural and detoxification enzymes using spectrophotometry. α-Terpineol showed the highest contact toxicity, followed by rutaecarpine (LD50 = 63.42 μg/adult), linalool (LD50 = 74.07 μg/adult), and caryophyllene oxide (LD50 = 105.60 μg/adult). All 4 compounds affected key enzymes, with decreased AChE and increased GST activity. CES activity initially increased and then declined, suggesting neurotoxic disruption and detoxification induction. Transcriptomic and proteomic analyses were conducted to identify pathways affected by α-terpineol, indicating that the mechanism involves dysregulation of detoxification, neurotransmission, and developmental pathways, ultimately disrupting physiological and metabolic processes in T. castaneum. After cuticular penetration, α-terpineol activated detoxification genes (CYPs, ESTs, GSTs, and UGTs) and ATP-binding cassette transporters, while downregulating genes involved in cuticle formation (CHTs, CP63, Obstructor-B), energy metabolism (Treh), and neurotransmission (AChE). Molecular docking analysis revealed that the 4 compounds formed stable complexes with AChE, CES, and GST by hydrogen bonding, π-interactions, and hydrophobic contacts (binding energies ranged from -9.4 to -4.8 kcal/mol). Therefore, α-terpineol from E. rutaecarpa is a promising insecticide for controlling stored-product insects.",Needs manual review before database use,NEW_CANDIDATE,
42280262,10.3390/molecules31111960,2026,Pioneering Investigation on the Larvicidal Mechanism and Chemical Profile of,"Molecules (Basel, Switzerland)",de Oliveira AC; da Costa MLL; Marcusso GM; Simões RC; Serrão RNG; Figueira ÉAG; de Lima GS; Vasconcelos ADS,Journal Article,"Aedes aegypti and Anopheles darlingi represent health challenges due to synthetic insecticide resistance. Hence, the essential oil from Piper humillimum is an alternative for vector control. In this study, the essential oil (3.5 ± 0.4% yield) alongside germacrene D (61.51%) and δ-cadinene (17.46%) showed larvicidal activity (LC50 of 34.75 to 46.04 µg/mL), accompanied by an increase of hydrogen peroxide (H2O2) production (36.67 ± 1.52 to 81.33 ± 1.52 µmol H2O2 min-1 mg-1 protein), causing lipid (43.3 ± 6.02 to 81.67 ± 3.05 nmol malondialdehyde mg-1 protein) and protein damages (61.67 ± 6.80 to 83.00 ± 2.64 nmol carbonyls mg-1 protein). Further triggering an increase in superoxide dismutase (83.31 ± 6.80 to 95.00 ± 3.60 U mg-1 protein) and catalase (74.31 ± 7.02 to 82.09 ± 1.00 µmol H2O2 min-1 mg-1 protein) activities. In addition, mixed-function oxidases (61.17 ± 11.37 to 73.52 ± 6.42 nmol cyt c min-1 mg-1 protein), α- and β-esterase (38.41 ± 4.04 to 61.31 ± 9.29 µmol min-1 mg-1 protein) levels increased. Conversely, glutathione S-transferase (GST) (11.01 ± 2.00 to 9.67 ± 3.05 µmol min-1 mg-1 protein) and acetylcholinesterase (AChE) (14.33 ± 3.78 to 17.00 ± 1.00 μmol min-1 mg-1 protein) were inhibited, corroborated by molecular docking, with germacrene D and δ-cadinene showing binding energies of -7.9 and -7.9 kcal/mol, 1.63 and 1.94 Ki for AChE, while for GST were -6.4 and 6.6 kcal/mol, and 20.5 and 15.50 Ki, respectively. These results demonstrate that the essential oil from P. humillimum is a promising multi-target alternative for the control of the investigated vectors.",Needs manual review before database use,NEW_CANDIDATE,
