pmid,doi,year,title,journal,authors,publication_types,abstract,manual_review_status
42413097,10.7705/biomedica.7709,2026,"Docking prediction, molecular dynamics and antibiofilm effect of linalool against Candida albicans strains from vulvovaginal secretions.",Biomedica : revista del Instituto Nacional de Salud,Medeiros CI; Galdino Gouveia R; Targino Gomes V; Silva G; Vasconcelos Gomes U; Alves Filho A; De Oliveira Lima E,Journal Article,"INTRODUCTION: Vulvovaginal candidiasis is a prevalent fungal infection, predominantly caused by Candida albicans. Biofilm formation plays a central role in disease persistence and therapeutic failure by enhancing fungal tolerance to conventional antifungal agents. OBJECTIVE: To evaluate the antibiofilm activity of linalool against C. albicans strains isolated from vulvovaginal secretions and to investigate its potential molecular interactions with 1,3-β-glucan synthase, a key enzyme involved in fungal cell wall biosynthesis. MATERIALS AND METHODS: The antibiofilm effect of linalool was assessed in vitro using the crystal violet assay against a clinical isolate (C. albicans LM 129) and a reference strain (C. albicans ATCC 76485). Nystatin was included as a comparator antifungal. In parallel, molecular docking analyses were performed using AutoDock 4.2, followed by molecular dynamics simulations conducted in GROMACS 2022.3 to evaluate the stability of the linalool-enzyme complex. RESULTS: Linalool significantly reduced biofilm formation in both C. albicans strains, with an average inhibition of 74.65%, whereas nystatin exhibited limited antibiofilm activity. Docking studies revealed that linalool interacts with the active site of 1,3-β-glucan synthase, presenting a binding free energy (ΔG) of -6.0 kcal/mol, comparable to the control ligand castanospermine (-7.0 kcal/mol). Molecular dynamics simulations demonstrated structural stability of the linalool-enzyme complex over a 30 ns trajectory, supporting the persistence of these interactions under dynamic conditions. CONCLUSIONS: Linalool exhibits relevant antibiofilm activity against C. albicans and shows stable interactions with 1,3-β-glucan synthase, suggesting a plausible inhibitory mechanism. These findings support the potential of linalool as a natural scaffold for the development of alternative therapeutic strategies for vulvovaginal candidiasis.",Needs manual review before database use
42409498,10.1016/j.foodres.2026.119672,2026,Synergistic micro-nano bubble treatment via high-speed vortex and ultrasound enhances quality and safety of lettuce and cherry tomatoes.,"Food research international (Ottawa, Ont.)",Li X; Dong Y; Shen J; Zhang L; Gao X; Wang B; Zhang ZH,Journal Article,"This study aimed to address quality deterioration and microbial contamination in fresh produce during postharvest storage by exploring efficient and safe cleaning technologies. The effects of three micro-nano bubble (MNB) treatments generated via ultrasound (US), high-speed vortex (HV), and their synergistic system (HV-US) on the quality and safety of lettuce and cherry tomatoes were compared. Results showed that the HV-US synergistic system significantly outperformed the individual treatments (p < 0.05), which was attributed to its smaller bubble size, higher dissolved oxygen content, stronger oxidative capacity. HV-US significantly reduced weight loss rates (3.19% for lettuce and 3.59% for tomatoes), increased firmness (2.12 N and 5.61 N), and minimized color changes (ΔE⁎ of 22.0 and 7.8) during storage (p < 0.05). It also significantly inhibited polyphenol oxidase (PPO) and peroxidase (POD) activities, reduced vitamin C (Vc) degradation by 30% in lettuce and 22% in cherry tomatoes, decreased microbial counts by 2.09 and 2.90 log CFU·g-1, and lowered pesticide residues to 10.2 μg·kg-1 and 8.2 μg·kg-1, respectively (p < 0.05). These findings demonstrate that the HV-US synergistic MNB treatment effectively improves the cleaning efficiency, storage quality, and safety of fresh fruits and vegetables, showing high potential for postharvest industrial applications.",Needs manual review before database use
42406275,10.1007/s11274-026-05125-3,2026,A novel phthalic acid degradation pathway in Klebsiella variicola SY1 and engineering the strain for degradation of multiple phthalate esters.,World journal of microbiology & biotechnology,Lequan Q; Mengyuan B; Zhongqing Y; Longkuan W; Tongtong L; Shijin W,Journal Article,"Phthalic acid (PA) is a key intermediate in the biodegradation of phthalate esters (PAEs), and its aerobic degradation pathways exhibit considerable diversity. In this study, a novel aerobic PA degradation bypass was discovered in Klebsiella variicola SY1. After blocking the classical 4,5-dioxygenase pathway, the strain retained the ability to utilize PA, and gene 5193 encoding a UbiD family decarboxylase was significantly upregulated. Further knockout of gene 5193 caused the loss of PA utilization ability. Metabolomic and LC-MS analysis revealed that this bypass is initiated by 4-monooxygenation of PA to 4-hydroxyphthalic acid, followed by decarboxylation to 4-hydroxybenzoic acid, which then enters protocatechuic acid or phenol metabolism. Heterologous expression of gene 5193 did not confer the ability to convert PA or 4-hydroxyphthalic acid (4-HP), indicating that its product is not directly responsible for substrate conversion. Furthermore, by constructing a constitutive expression vector and introducing the esterase gene pehA, the recombinant strain achieved degradation rates exceeding 90% for dimethyl phthalate, diethyl phthalate, and dibutyl phthalate, effectively broadening the substrate spectrum. This finding enriches the understanding of the diversity of aerobic PA metabolism and provides both a strain resource and theoretical support for the bioremediation of phthalate ester pollution.",Needs manual review before database use
42406193,10.1007/s11274-026-05130-6,2026,Siderophore-producing Aspergillus species as multifunctional bioinoculants for sustainable cultivation of cowpea (Vigna unguiculata (L.) Walp.).,World journal of microbiology & biotechnology,Mistry D; Gamit D,Journal Article,"The excessive reliance on synthetic fertilizers and pesticides has undeniably enhanced crop productivity; however, it has also led to long-term environmental degradation, highlighting the urgent need for sustainable alternatives. Bioinoculants, particularly siderophore-producing fungi, represent a potential eco-friendly approach to improving nutrient acquisition, plant health, and resistance to pathogens. In the present study, 23 fungal species were isolated from agricultural and non-agricultural soils, among which four exhibited plant growth-promoting fungal (PGPF) activity. Of these, Aspergillus awamori (SA2) and Aspergillus terreus (SA3), identified through ITS gene sequencing, demonstrated the highest PGPF potential. Both strains synthesized hydroxamate-type siderophores, as confirmed by Chrome Azurol S (CAS) assay, HPLC, FTIR, and NMR analyses. In addition, they exhibited multiple plant growth-promoting (PGP) traits, including indole-3-acetic acid and ammonia production, as well as phosphate solubilizing activity. Treatment of Vigna unguiculata (L.) Walp. seeds with the filtrate of siderophore- producing isolates significantly enhanced germination rate, biomass accumulation, chlorophyll content, and levels of secondary metabolites (phenolics and flavonoids), while also displaying antagonistic activity against Fusarium oxysporum and Rhizoctonia solani under controlled conditions. These findings suggest that Aspergillus awamori and Aspergillus terreus have potential as plant growth-promoting and biocontrol agents; however, further validation under field conditions is required.",Needs manual review before database use
42402977,10.1002/jbt.71011,2026,Selenium Ameliorates Paraquat-Induced Oxidative Stress and Reproductive Damage Through Restoration of Antioxidant Defense in Male Albino Rats.,Journal of biochemical and molecular toxicology,Shahid MR; Mehmood MS; Hussain S; Afzal M; Sani SS; Adnan M; Asif M; Rafique A,Journal Article,"Paraquat (PQ), a widely used non-selective herbicide, poses serious environmental and health risks due to its strong oxidative potential. Although its toxic impacts on the liver, kidneys, and lungs are well documented, limited information exists regarding its reproductive toxicity in males. This study investigated the protective role of selenium (Se) against PQ-induced testicular oxidative stress and reproductive dysfunction in male albino rats. Forty-eight adult rats were randomly divided into four groups: control, Se (0.5 mg/kg), PQ (2 mg/kg), and PQ + Se (2 + 0.5 mg/kg), administered orally for 8 weeks. Biochemical assays revealed that PQ exposure significantly (p < 0.05) reduced the activities of antioxidant enzymes, including catalase (CAT), superoxide dismutase (SOD), glutathione peroxidase (GPx), and glutathione reductase (GSR), while increasing reactive oxygen species (ROS) and malondialdehyde (MDA) concentrations in testicular tissues. PQ exposure also led to a significant decline in sperm count, motility, and viability, along with a reduction in testicular weight. Co-administration of selenium markedly restored antioxidant enzyme levels and reduced oxidative damage, improving sperm quality and testicular integrity compared with the PQ group. Although partial stress effects persisted, selenium supplementation significantly alleviated PQ-induced reproductive impairments. These findings suggest that selenium exerts strong antioxidant protection by maintaining redox balance and preserving sperm function, highlighting its potential as a therapeutic agent against herbicide-induced male reproductive toxicity.",Needs manual review before database use
42384685,10.1073/pnas.2610149123,2026,Coordination of N,Proceedings of the National Academy of Sciences of the United States of America,Hu X; Liu X; Wang Y; Liu K; Gao H; Zhu G; Wang S; Fang X,Journal Article,"Cell differentiation and Turing-like patterning are tightly associated in a group of filamentous cyanobacteria that differentiate specialized N2-fixing cells, called heterocysts. Based on systematic genetic analyses, in particular genome-wide identification of recognized promoters and assays with a reconstituted Anabaena transcription system in Escherichia coli, we established HetZ as the central activator of the gene regulatory network of heterocyst differentiation. Biochemical and cryo-EM analyses further established HetZ as a σ factor (σHetZ). Unique domain insertions in σHetZ are involved in promoter DNA recognition-unwinding and interaction with the inhibitor PatU3. σHetZ-PatU3 and the master regulator-diffusible inhibitor constitute the minimal core regulatory circuit (CRC) for cell fate determination and patterning. σHetZ activates not only genes of the CRC but also downstream regulator/effector genes involved in morphological and functional development. The gene regulatory network and the structure-function relationship of σHetZ depict how cell differentiation and patterning are coordinated in this group of multicellular cyanobacteria.",Needs manual review before database use
42384294,10.1007/s42770-026-02003-w,2026,"Isolation, identification and biocontrol potential evaluation of bacterial strain HZ-61 against tomato gray mold.",Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology],Peng C; Ma Y; Qi X; Bao L; Zhu H,Journal Article,"To address the issues of resistance and environmental pollution caused by over-reliance on chemical pesticides in the control of Botrytis cinerea, this study aimed to isolate efficient biocontrol bacteria from unique habitats for the development of new resources for green control. Antagonistic strains were isolated from facility agriculture soil on the Qinghai-Tibet Plateau. Their taxonomic status was determined through morphological, physiological, biochemical, and comprehensive molecular identification based on 16 S rDNA and gyrB gene sequences. The antifungal activity and biocontrol potential were evaluated using plate confrontation assays, in vitro fruit protection tests, and microscopic observation. Moreover, culture conditions including carbon source, nitrogen source, temperature, salinity, and pH were systematically optimized. A highly effective biocontrol strain, HZ-61, was isolated and identified as Bacillus pumilus. This strain exhibited an inhibition rate of 75% against B. cinerea in plate assays and achieved a control efficacy of 94.12% in detached fruit tests. It also induced extensive hyphal fragmentation and deformation in the pathogen. Optimization of culture conditions revealed that the optimal carbon source was yeast extract, the optimal nitrogen sources were peptone or tryptone, the optimal growth temperature was 28 °C, the optimal salinity was 1% NaCl, and the optimal pH was 7.0. Strain HZ-61 demonstrated remarkable antifungal activity and biocontrol potential against B. cinerea, providing a preliminary theoretical basis and a key microbial resource for the development of efficient and environmentally friendly microbial agents.",Needs manual review before database use
42379782,10.21873/invivo.14355,2026,"Dynamics of the Interleukin-10 Family of Cytokines in Chronic Otitis Media Patients upon 1,8-Cineol Treatment.","In vivo (Athens, Greece)",Leichtle A; Fleckner J; Plötze-Martin K; Penxová Z; Bruchhage KL; Pries R,Journal Article,"BACKGROUND/AIM: The monoterpene 1,8-Cineol is a natural plant-based anti-inflammatory agent that is used to treat different respiratory diseases with regard to its mucolytic and anti-microbial properties. 1,8-Cineol has recently been shown to support the natural microbial colonization of the middle ear, the intestinal bacterial community, as well as the clinical inflammatory situation of patients with chronic otitis media (COM). The aim of this study was to understand better the influence of 1,8-Cineol treatment on the systemic balances of inflammatory mediators of the interleukin-10 (IL-10) family of cytokines. PATIENTS AND METHODS: Plasma concentrations of cytokines IL-10, IL-19, IL-20, Il-22, IL-24 and IL-26 were analyzed in patients with COM with regard to 1,8-Cineol (CNL-1976®) treatment using ELISA measurements. RESULTS: Data revealed significantly increased concentrations of cytokines IL-19 and IL-26 in plasma samples from patients with COM compared to healthy donors as well as a significant positive correlation between IL-10 and IL-19. Of note, patients with COM revealed significantly reduced plasma levels of IL-26 in response to 14 days of 1,8-Cineol administration. CONCLUSION: 1,8-Cineol treatment actively modulates the systemic inflammatory environment in patients with chronic otitis media. By resetting disrupted cytokine balances, this plant-based agent offers a promising, target-specific therapeutic strategy for managing persistent middle ear inflammation and potentially mitigating associated systemic comorbidities.",Needs manual review before database use
42372878,10.1016/j.mimet.2026.107608,2026,A low-cost microbial bioassay for comparative assessment of nitrogen fixation in pesticide-exposed cyanobacteria.,Journal of microbiological methods,Dutta J; Baruah PP,Journal Article; Comparative Study; Evaluation Study,"Nitrogen fixation by diazotrophic cyanobacteria plays a significant role in maintaining soil fertility in rice field ecosystems. The acetylene reduction assay (ARA) is widely used to estimate nitrogenase activity; however, it requires expensive instrumentation and specialized facilities. This study evaluates a microbial bioassay based on Kjeldahl nitrogen estimation as a low-cost alternative for assessing nitrogen fixation in Westiellopsis prolifica under pesticide stress. Nitrogen fixation rates were significantly reduced by elevated concentrations of malathion. A comparative evaluation using representative values from previously published ARA studies and the present nitrogen estimation data suggested a C₂H₂: N₂ relationship value of approximately 2.78. Although not derived from simultaneous paired measurements, this value falls within the broad variability reported for nitrogenase-associated estimates. The results suggest that this microbial bioassay may serve as a practical and accessible comparative method for assessing nitrogen fixation trends in cyanobacteria, particularly in resource-limited laboratories.",Needs manual review before database use
42366343,10.1186/s12866-026-05333-9,2026,Diversity of stem endophytes communities from wild asparagus resources and the biocontrol potential on Phomopsis asparagi.,BMC microbiology,Yin Y; Fan M; Zhang Q; Ye Y; Xie Q; Zhang B; Tang Y; Luo S,Journal Article,"BACKGROUND: Asparagus stem blight, caused by Phomopsis asparagi, is a devastating disease leading to significant yield losses in asparagus cultivation. Current control methods, such as greenhouse cultivation or extensive pesticide use, are either costly or environmentally unsustainable. Endophytes, residing within healthy plant tissues, offer a promising biocontrol alternative due to their antagonistic activities against pathogens. METHODOLOGY: This study investigated the diversity and biocontrol potential of endophytic fungi and bacteria in the stems of one cultivated variety (ATL) and three wild asparagus resources (NFY, YAY, YDL). We employed high-throughput sequencing to analyze endophytic community composition and diversity. We conducted predictive functional profiling to assess potential metabolic capabilities. Additionally, endophytic strains were isolated from stem tissues and screened for antagonistic activity against P. asparagi using dual-culture assays. RESULTS: High-throughput sequencing revealed distinct endophytic communities between cultivated (ATL) and wild (NFY, YAY, YDL) asparagus. Wild varieties exhibited significantly higher microbial diversity and more unique Operational Taxonomic Units (OTUs). Principal Coordinate Analysis (PCoA) confirmed separate clustering, with wild samples grouping apart from ATL. Community composition differed markedly: in fungi, Russula was abundant in NFY, while Incertae_sedis dominated others; in bacteria, Pseudomonadota prevailed in wild types versus Armatimonadota in ATL. Functional prediction showed wild endophytes enriched in genes for direct antagonism (e.g., chitinase), stress resistance, and competition (e.g., ABC transporters, quorum sensing). Cultivated endophytes were geared toward core metabolism. From wild stems, 14 endophytic strains were isolated. Four bacterial isolates strongly inhibited Phomopsis asparagi (> 90% inhibition), with one (YDJ119602) achieving 100% inhibition via fermentation broth. CONCLUSIONS: In conclusion, wild asparagus exhibits rich endophytic diversity and represents a promising source of biocontrol agents against stem blight, offering a sustainable disease management strategy.",Needs manual review before database use
