pesticide,pdf_file,status,pages,extracted_chars,snippet_count
Imazamox,Characterization of imazamox degradation by-products by using liquid chromatography mass spectrometry and high-resolution Fourier transform ion cyclotron resonance mass spectrometry..pdf,screened,9,7879,12
Imazamox,Relationship between changes of soil microbial biomass content and imazamox and benfluralin degradation.pdf,screened,5,20912,3
Imazamox,Behavior of the Chiral Herbicide Imazamox in Soils Enantiomer Composition Differentiates between Biodegradation and Photodegradation..pdf,screened,8,39242,12
Imazamox,Development of a new test design to investigate the degradation of pesticides in soil under sunlight conditions.pdf,screened,9,32158,12
Imazamox,Survey of ACCase and ALS resistance in winter annual grasses identifies target-site and nontarget-site imazamox resistance in Secale cereale..pdf,screened,10,22677,12
Penthiopyrad,"Dissipation, Residue and Dietary Intake Risk Assessment of Penthiopyrad in Eggplants and Its Removal Using Various Household Processing Techniques..pdf",screened,14,27428,12
Penthiopyrad,Review of the existing maximum residue levels for penthiopyrad according to Article 12 of Regulation (EC) No 3962005..pdf,screened,112,32470,12
Penthiopyrad,"Simultaneous determination of penthiopyrad enantiomers and its metabolite in vegetables, fruits, and cereals using ultra-high performance liquid chromatography-tandem mass spectrometry..pdf",screened,16,13548,12
Penthiopyrad,Comparative Biological Half-Life of Penthiopyrad and Tebufenpyrad in Angelica Leaves and Establishment of Pre-Harvest Residue Limits (PHRLs)..pdf,screened,18,21537,12
Penthiopyrad,"Dissipation, residue, stereoselectivity and dietary risk assessment of penthiopyrad and metabolite PAM on cucumber and tomato in greenhouse and field..pdf",screened,10,11390,12
Propamocarb,Analysis of genes and metabolites associated with propamocarb hydrochloride response in tobacco.pdf,screened,12,11887,12
Propamocarb,Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth..pdf,screened,14,22387,12
Propamocarb,Expression and functional analysis of the Propamocarb-related gene CsDIR16 in cucumbers..pdf,screened,12,24398,12
Propamocarb,Overexpression of CsHMGB Alleviates Phytotoxicity and Propamocarb Residues in Cucumber.pdf,screened,20,22775,12
Propamocarb,"Microbial degradation of the carbamate pesticides desmedipham, phenmedipham, promecarb, and propamocarb..pdf",screened,5,8488,8
Fluxapyroxad,Investigation of Residue Dissipation of Fluxapyroxad and Its Metabolites in Chinese Cabbage and Spring Scallion Using Different Application Methods..pdf,screened,10,10154,12
Fluxapyroxad,Dissipation kinetics and biological degradation by yeast and dietary risk assessment of fluxapyroxad in apples..pdf,screened,9,37679,12
Fluxapyroxad,Degradation of Fluxapyroxad in Soils and WaterSediment Systems Under Aerobic or Anaerobic Conditions..pdf,screened,7,27903,12
Fluxapyroxad,Modification of the existing maximum residue levels for fluxapyroxad in kakiJapanese persimmons and cultivated mushrooms..pdf,screened,28,26077,12
Fluxapyroxad,Setting of import tolerances for fluxapyroxad in certain root crops and coffee beans..pdf,screened,28,23170,12
Acibenzolar-S-methyl,Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth..pdf,screened,14,22387,12
Acibenzolar-S-methyl,Modification of the existing maximum residue levels for acibenzolar-S-methyl in beans with pods and peas with pods..pdf,screened,44,10577,12
Acibenzolar-S-methyl,Modification of the existing maximum residue levels for acibenzolar-S-methyl in aubergines and cucurbits with edible and inedible peel..pdf,screened,21,25541,12
Acibenzolar-S-methyl,Attenuation and soil biodegradation of fungicides by using vegetated buffer strips in vineyards during a simulated rainfall-runoff event..pdf,screened,9,9842,12
Acibenzolar-S-methyl,Postharvest acibenzolar-S-methyl treatment maintains storage quality and retards softening of apple fruit..pdf,screened,8,35257,12
Spirodiclofen,"In vitro metabolism of tebuconazole, flurtamone, fenhexamid, metalaxyl-M and spirodiclofen in Cannabis sativa L. (hemp) callus cultures..pdf",screened,11,4600,12
Spirodiclofen,Review of the existing maximum residue levels for spirodiclofen according to Article 12 of Regulation (EC) No 3962005..pdf,screened,46,36597,12
Spirodiclofen,Enhanced degradation of spiro-insecticides and their leacher enol derivatives in soil by solarization and biosolarization techniques..pdf,screened,8,17953,12
Spirodiclofen,Terminal Residues and Risk Assessment of Spiromesifen and Spirodiclofen in Tomato Fruits..pdf,screened,12,21823,12
Spirodiclofen,Dissipation Kinetics and Risk Assessment of Spirodiclofen and Tebufenpyrad in iAster scaberi Thunb..pdf,screened,11,11724,12
Pinoxaden,Degradation Characteristics of Pinoxaden by Acinetobacter and Prediction of Related Genes.pdf,screened,19,3555,12
Pinoxaden,Review of the existing maximum residue levels for pinoxaden according to Article 12 of Regulation (EC) No 3962005..pdf,screened,41,9593,12
Pinoxaden,"Aryldiones incorporating a [1,4,5]oxadiazepane ring. Part 2 chemistry and biology of the cereal herbicide pinoxaden..pdf",screened,23,4296,12
Isopyrazam,Simultaneous Determination of the Residues of Isopyrazam Isomers and Their Metabolites in Soil and Tomatoes by Ultraperformance Liquid Chromatography-Tandem Mass Spectrometry..pdf,screened,11,12096,12
Isopyrazam,Review of the existing maximum residue levels for isopyrazam according to Article 12 of Regulation (EC) No 3962005..pdf,screened,56,33953,12
Isopyrazam,Fungicide isopyrazam degradative response toward extrinsically added fungal and bacterial strains..pdf,screened,10,12452,12
Isopyrazam,The behavior of isopyrazam in aquatic ecosystems implementation of a tiered investigation..pdf,screened,11,12427,12
Isopyrazam,Surface water mineralization of isopyrazam according to OECD 309 observations on implementation of the new data requirement within agrochemical regulation..pdf,screened,9,20117,12
Propargite,"Biodegradation of propargite by Pseudomonas putida, isolated from tea rhizosphere..pdf",screened,4,4902,12
Propargite,Calculation of pesticide degradation in decaying cotton gin trash..pdf,screened,4,4902,12
Propargite,Setting of maximum residue limits for propargite in citrus fruits and tea..pdf,screened,25,9027,12
