pesticide,pathway_name,microorganism,completeness,step_order,substrate,product,reaction_label,enzyme,gene,evidence_type,doi,reference_title,source_pdf,evidence_note
Pirimiphos-Methyl,Lactobacillus plantarum pirimiphos-methyl degradation evidence,Lactobacillus plantarum,PARTIAL,1,Pirimiphos-Methyl,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1111/lam.12128,Database DOI record for pirimiphos-methyl degradation by Lactobacillus plantarum,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact transformation products are not standardized in the current source table.
Fenpropathrin,Sphingobium sp. JQL4-5 fenpropathrin hydrolase evidence,Sphingobium sp. JQL4-5(JQL4-5-mpd),PARTIAL,1,Fenpropathrin,Pyrethroid ester-cleavage products,Hydrolase-associated pyrethroid degradation,Methyl parathion hydrolase,mpd,GENETIC,10.1016/j.jenvman.2010.06.010,Database DOI record for mpd-associated fenpropathrin degradation,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports mpd hydrolase-associated degradation; exact product names are kept broad until metabolites are standardized in the source data.
Prochloraz,Bacillus cereus WD-2 prochloraz degradation evidence,Bacillus cereus strain WD-2,PARTIAL,1,Prochloraz,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1371/journal.pone.0220975,Database DOI record for prochloraz degradation by Bacillus cereus WD-2,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial prochloraz degradation; exact products are not stored in the current source table.
Ethoprophos,Sphingomonas and Flavobacterium ethoprophos degradation evidence,Sphingomonas paucimobilis; Flavobacterium sp.,PARTIAL,1,Ethoprophos,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1016/j.femsec.2005.01.012,Database DOI record for ethoprophos degradation in soil bacteria,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact transformation products are not standardized in the current source table.
Flubendiamide,Botryosphaeria and fungal flubendiamide laccase evidence,Botryosphaeria rhodina; Trichoderma koningiopsis; Neurospora sp.,PARTIAL,1,Flubendiamide,Oxidative transformation products not resolved in current database source,Laccase/peroxidase-associated transformation,Laccase,,WHOLE_CELL,10.1007/s13213-019-01536-w,Database DOI record for fungal flubendiamide degradation,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports fungal enzymatic/degradation evidence; exact products are not standardized in the current source table.
Mesotrione,Amycolatopsis nivea La24 mesotrione nitroreductase evidence,Amycolatopsis nivea La24,PARTIAL,1,Mesotrione,Mesotrione reduction products,Nitroreductase-associated transformation,Nitroreductase,,WHOLE_CELL,10.1016/j.jhazmat.2024.134951,Database DOI record for mesotrione degradation by Amycolatopsis nivea La24,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports nitroreductase-associated degradation; exact product labels are conservative until metabolites are standardized in the source table.
Boscalid,Lysinibacillus and Bacillus boscalid degradation evidence,Lysinibacillus boronitolerans; Peribacillus muralis; Bacillus simplex,PARTIAL,1,Boscalid,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1016/j.envpol.2022.120484,Database DOI record for boscalid degradation by Bacillus-related isolates,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation but does not store named transformation products.
Chlorpropham,Bacillus licheniformis NKC-1 chlorpropham hydrolase pathway,Bacillus licheniformis NKC-1,PARTIAL,1,Chlorpropham,3-chloroaniline and downstream chlorocatechol products,Hydrolysis followed by dioxygenase-associated aromatic transformation,"Chlorpropham hydrolase; 3-chloroaniline dioxygenase; 4-chlorocatechol 1,2-dioxygenase",,WHOLE_CELL,10.1007/s11274-018-2494-8,Database DOI record for chlorpropham degradation by Bacillus licheniformis NKC-1,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports hydrolase and dioxygenase evidence for chlorpropham degradation; the product label summarizes the supported enzyme sequence conservatively.
Clothianidin,Pseudomonas clothianidin degradation evidence,Pseudomonas oleovorans SA2; Pseudomonas stutzeri strain SMK,PARTIAL,1,Clothianidin,Microbial transformation products not resolved in current database source,Whole-cell degradation,,,WHOLE_CELL,10.1021/acsomega.3c09749,Database DOI record for clothianidin degradation by Pseudomonas oleovorans SA2,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports microbial degradation; exact product names are not standardized in the current source table.
Dinotefuran,Burkholderia sp. C3 dinotefuran hydrolase evidence,Burkholderia sp. C3,PARTIAL,1,Dinotefuran,Dinotefuran hydrolysis products,Carbaryl hydrolase-associated transformation,Carbaryl hydrolase,cahA,GENETIC,10.1007/s10532-013-9629-2,Database DOI record for Burkholderia sp. C3 hydrolase-associated dinotefuran degradation,Database reference from pesticide_data.xlsx / PBDB_master_with_ids.xlsx,This DOI is present in pesticide_data.xlsx. The database supports cahA hydrolase-associated degradation; exact product names are kept conservative until standardized in the source table.
