pesticide,microorganism,evidence_type,evidence_type_original,evidence_type_mapping_note,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_accession,ncbi_protein_accession,year,doi,collection_category,uniprot_accession,pubmed_id,source_title,curation_notes,already_in_current_master_exact_accession,curation_status
"2,4-D / chlorophenoxy herbicides",Rhodopila globiformis (Rhodopseudomonas globiformis),Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,CCS01_16535,,WP_104519926.1,2018,10.1007/s00203-018-1489-z,SUPPLEMENTED,A0A2S6NB55,29423563,New insights into the metabolic potential of the phototrophic purple bacterium Rhodopila globiformis DSM 161(T) from its draft genome sequence and evidence for a vanadium-dependent nitrogenase.,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,READY_FOR_MANUAL_REVIEW
"2,4-D / chlorophenoxy herbicides",Rhodopila globiformis (Rhodopseudomonas globiformis),Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,CCS01_27900,,,2018,10.1007/s00203-018-1489-z,SUPPLEMENTED,A0A2S6MYG4,29423563,New insights into the metabolic potential of the phototrophic purple bacterium Rhodopila globiformis DSM 161(T) from its draft genome sequence and evidence for a vanadium-dependent nitrogenase.,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,READY_FOR_MANUAL_REVIEW
"2,4-D / chlorophenoxy herbicides",Fusarium flagelliforme,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Oxidoreductase,"Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase",,FIE12Z_1266,,,2018,10.1371/journal.ppat.1006946,SUPPLEMENTED,A0A395N2X0,29649280,"Evolution of structural diversity of trichothecenes, a family of toxins produced by plant pathogenic and entomopathogenic fungi.","Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,READY_FOR_MANUAL_REVIEW
"2,4-D / chlorophenoxy herbicides",Striga asiatica (Asiatic witchweed) (Buchnera asiatica),Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Oxidoreductase,"Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase,4-dichlorophenoxyacetate dioxygenase",,STAS_01043,,,2019,10.1016/j.cub.2019.07.086,SUPPLEMENTED,A0A5A7NYA0,31522940,Genome Sequence of Striga asiatica Provides Insight into the Evolution of Plant Parasitism.,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,READY_FOR_MANUAL_REVIEW
"2,4-D / chlorophenoxy herbicides",Delftia acidovorans (Pseudomonas acidovorans) (Comamonas acidovorans),Purified (Activity),Publication-linked enzyme record; manual verification required,Publication title indicates direct enzyme activity or characterization.,Oxidoreductase,(R)-phenoxypropionate/alpha-ketoglutarate-dioxygenase (RdpA) (EC 1.14.11.44) ((R)-dichlorprop/(R)-mecoprop dioxygenase) (Alpha-ketoglutarate-dependent dioxygenase) (Dichlorprop/alpha-ketoglutarate-dioxygenase) (Mecoprop/alpha-ketoglutarate-dioxygenase),,rdpA,,,2004,10.1128/AEM.70.9.5357-5365.2004,SUPPLEMENTED,P83310,15345421; 12501996; 15073309,"Localization and characterization of two novel genes encoding stereospecific dioxygenases catalyzing 2(2,4-dichlorophenoxy)propionate cleavage in Delftia acidovorans MC1.","Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,READY_FOR_MANUAL_REVIEW
"2,4-D / chlorophenoxy herbicides",Delftia acidovorans (Pseudomonas acidovorans) (Comamonas acidovorans),Purified (Activity),Publication-linked enzyme record; manual verification required,Publication title indicates direct enzyme activity or characterization.,Oxidoreductase,(S)-phenoxypropionate/alpha-ketoglutarate-dioxygenase (SdpA) (EC 1.14.11.43) ((S)-dichlorprop/(S)-mecoprop dioxygenase) (Alpha-ketoglutarate-dependent dioxygenase) (Dichlorprop/alpha-ketoglutarate-dioxygenase) (Mecoprop/alpha-ketoglutarate-dioxygenase),,sdpA,,,2004,10.1128/AEM.70.9.5357-5365.2004,SUPPLEMENTED,P83309,15345421; 12501996; 15073309,"Localization and characterization of two novel genes encoding stereospecific dioxygenases catalyzing 2(2,4-dichlorophenoxy)propionate cleavage in Delftia acidovorans MC1.","Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,READY_FOR_MANUAL_REVIEW
"2,4-D / chlorophenoxy herbicides",Sphingobium herbicidovorans (strain ATCC 700291 / DSM 11019 / CCUG 56400 / KCTC 2939 / LMG 18315 / NBRC 16415 / MH) (Sphingomonas herbicidovorans),Whole-cell / Crude,Publication-linked enzyme record; manual verification required,Publication title indicates organism-level degradation evidence.,Oxidoreductase,(S)-phenoxypropionate/alpha-ketoglutarate-dioxygenase (SdpA) (EC 1.14.11.43) ((S)-dichlorprop/(S)-mecoprop dioxygenase) (Alpha-ketoglutarate-dependent dioxygenase) (Dichlorprop/alpha-ketoglutarate-dioxygenase) (Mecoprop/alpha-ketoglutarate-dioxygenase),,sdpA,,WP_037468461.1,1999,10.1038/sj.jim.2900751,SUPPLEMENTED,Q700X4,11423952; 15466552; 16820480; 16731970,Sphingomonas herbicidovorans MH: a versatile phenoxyalkanoic acid herbicide degrader.,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,READY_FOR_MANUAL_REVIEW
"2,4-D / chlorophenoxy herbicides",Cupriavidus pinatubonensis (strain JMP 134 / LMG 1197) (Cupriavidus necator (strain JMP 134)),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase (2,4-D dioxygenase) (EC 1.14.11.-)",,tfdA,,WP_011178399.1,1987,10.1128/jb.169.7.2950-2955.1987,SUPPLEMENTED,P10088,3036764; 15186344; 20206455; 20339589; 10777523; 11457355; 11955067,"Analysis, cloning, and high-level expression of 2,4-dichlorophenoxyacetate monooxygenase gene tfdA of Alcaligenes eutrophus JMP134.","Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,READY_FOR_MANUAL_REVIEW
"2,4-D / chlorophenoxy herbicides",Burkholderia sp. (strain RASC),Purified (Activity),Publication-linked enzyme record; manual verification required,Publication title indicates direct enzyme activity or characterization.,Oxidoreductase,"Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase (2,4-D dioxygenase) (EC 1.14.11.-)",,tfdA,,,1996,10.1128/aem.62.7.2464-2469.1996,SUPPLEMENTED,Q45423,8779585,"Characterization of a chromosomally encoded 2,4-dichlorophenoxyacetic acid/alpha-ketoglutarate dioxygenase from Burkholderia sp. strain RASC.","Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,READY_FOR_MANUAL_REVIEW
"2,4-D / chlorophenoxy herbicides",Halomonadaceae gen. sp. strain I-18,Whole-cell / Crude,Publication-linked enzyme record; manual verification required,Publication title indicates organism-level degradation evidence.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,tfdA,,,1996,10.1099/13500872-142-5-1115,SUPPLEMENTED,Q47965,8704953,"Degradation of 2,4-dichlorophenoxyacetic acid by haloalkaliphilic bacteria.","Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,READY_FOR_MANUAL_REVIEW
