pesticide,microorganism,evidence_type,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_accession,ncbi_protein_accession,year,doi,collection_category,uniprot_accession,pubmed_id,source_title,curation_notes,already_in_current_master_exact_accession,curation_status
Atrazine,Pseudomonas sp. strain ADP,Purified enzyme / gene characterization,Hydrolase,Atrazine chlorohydrolase,,atzA,,WP_011117157.1,1996,10.1128/jb.178.16.4894-4900.1996,SUPPLEMENTED,P72156,8759853,"Atrazine chlorohydrolase from Pseudomonas sp. strain ADP: gene sequence, enzyme purification, and protein characterization.",Experimentally purified/characterized atrazine dechlorination enzyme; also supported by gene cloning publication PMID 7574646.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas sp. strain ADP,Purified enzyme / pathway characterization,Hydrolase,Hydroxyatrazine ethylaminohydrolase,,atzB,,WP_011117160.1,1997,10.1128/aem.63.3.916-923.1997,SUPPLEMENTED,P95442,9055410,The atzB gene of Pseudomonas sp. strain ADP encodes the second enzyme of a novel atrazine degradation pathway.,Experimentally assigned second enzyme in atrazine degradation pathway; later mechanistic work PMID 17660279.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas sp. strain ADP,Purified enzyme / pathway characterization,Hydrolase,N-isopropylammelide isopropylaminohydrolase,,atzC,,WP_011117177.1,1998,10.1128/JB.180.1.152-158.1998,SUPPLEMENTED,O52063,9422605,AtzC is a new member of the amidohydrolase protein superfamily and is homologous to other atrazine-metabolizing enzymes.,Experimentally characterized atrazine pathway enzyme; purified substrate-range work PMID 12218024.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Nocardioides sp. SP12,Gene detection / degradation strain characterization,Hydrolase,Atrazine hydrolase,,trzN,,,2003,10.1016/S0378-1097(03)00168-X,SUPPLEMENTED,Q83ZG4,12694918,"Isolation and characterisation of Nocardioides sp. SP12, an atrazine-degrading bacterial strain possessing the gene trzN from bulk- and maize rhizosphere soil.",Experimentally isolated atrazine-degrading strain possessing trzN; accession lacks RefSeq cross-reference in UniProt.,NO,READY_FOR_MANUAL_REVIEW
Parathion / organophosphates,Brevundimonas diminuta,Gene cloning / enzyme characterization,Hydrolase,Parathion hydrolase / phosphotriesterase,,opd,,,1988,10.1128/jb.170.5.2306-2311.1988,SUPPLEMENTED,P0A434,2834339,Cloning and sequencing of a plasmid-borne gene (opd) encoding a phosphotriesterase.,Classic experimentally characterized organophosphate-degrading phosphotriesterase.,NO,READY_FOR_MANUAL_REVIEW
Parathion / organophosphates,Sphingobium fuliginis ATCC 27551,Gene-protein relationship / enzyme characterization,Hydrolase,Parathion hydrolase / phosphotriesterase,,opd,,,1989,10.1128/jb.171.12.6740-6746.1989,SUPPLEMENTED,P0A433,2556372,Parathion hydrolase specified by the Flavobacterium opd gene: relationship between the gene and protein.,Experimentally linked opd gene to parathion hydrolase protein from ATCC 27551.,NO,READY_FOR_MANUAL_REVIEW
Methyl parathion,Plesiomonas sp. M6,Gene cloning / degradation strain characterization,Hydrolase,Methyl parathion hydrolase,,mpd,,,2001,10.1128/AEM.67.10.4922-4925.2001,SUPPLEMENTED,Q9ALW1,11571204,Isolation of methyl parathion-degrading strain M6 and cloning of the methyl parathion hydrolase gene.,Experimentally isolated methyl-parathion degrader and cloned hydrolase gene.,NO,READY_FOR_MANUAL_REVIEW
Methyl parathion / p-nitrophenol,Pseudomonas sp. strain WBC-3,Catabolic pathway / structural characterization,Hydrolase,Methyl parathion hydrolase,,mpd,,,2005,10.1016/j.bbrc.2005.07.006,SUPPLEMENTED,Q841S6,16039612,Plasmid-borne catabolism of methyl parathion and p-nitrophenol in Pseudomonas sp. strain WBC-3.,Experimentally studied methyl parathion catabolism; protein structure also reported PMID 16181636.,NO,READY_FOR_MANUAL_REVIEW
Chlorpyrifos / methyl parathion,Stenotrophomonas sp. YC-1,Gene cloning / bioremediation study,Hydrolase,Methyl parathion hydrolase,,mpd,,,2006,10.1111/j.1574-6968.2006.00478.x,SUPPLEMENTED,Q0PWQ4,17107423,Cloning of mpd gene from a chlorpyrifos-degrading bacterium and use of this strain in bioremediation of contaminated soil.,Experimentally linked mpd to chlorpyrifos-degrading bacterium; useful organophosphate supplement.,NO,READY_FOR_MANUAL_REVIEW
Chlorpyrifos / methyl parathion,Stutzerimonas stutzeri,Enzyme engineering / activity assay,Hydrolase,Methyl parathion hydrolase,,mpd,,,2014,10.1111/lam.12155,SUPPLEMENTED,H9ZVH5,24010722,Improving methyl parathion hydrolase to enhance its chlorpyrifos-hydrolysing efficiency.,Experimentally assayed engineered/improved chlorpyrifos hydrolysis; include with note if you allow enzyme variants.,NO,READY_FOR_MANUAL_REVIEW
Carbaryl,Rhizobium sp. AC100,Gene sequence / degradation enzyme characterization,Hydrolase,Carbaryl hydrolase,,cehA,,,2002,10.1128/AEM.68.3.1220-1227.2002,SUPPLEMENTED,Q8RR61,11872471,Nucleotide sequence and genetic structure of a novel carbaryl hydrolase gene (cehA) from Rhizobium sp. strain AC100.,Experimentally supported carbaryl hydrolase gene from degrader strain.,NO,READY_FOR_MANUAL_REVIEW
Carbaryl,Arthrobacter sp. RC100,Gene cloning / sequence characterization,Hydrolase,Carbaryl hydrolase,,cahA,,,2006,10.1263/jbb.101.410,SUPPLEMENTED,Q8GRB9,16781470,Cloning and nucleotide sequence of carbaryl hydrolase gene (cahA) from Arthrobacter sp. RC100.,Experimentally cloned carbaryl hydrolase gene; no RefSeq cross-reference in UniProt.,NO,READY_FOR_MANUAL_REVIEW
Carbofuran,Achromobacter sp. WM111,Experimentally reported enzyme; accession/source needs manual confirmation,Hydrolase,Carbofuran hydrolase,,mcd,,,,,SUPPLEMENTED,Q9KJV0,,UniProt record identifies mcd carbofuran hydrolase from Achromobacter sp. WM111; add primary citation before import.,"Good candidate, but primary publication metadata was not present in UniProt query result; keep as REVIEW_BEFORE_IMPORT.",NO,REVIEW_BEFORE_IMPORT
Pyrethroids,Sphingobium wenxiniae JZ-1,Gene cloning / biochemical characterization,Hydrolase,Pyrethroid hydrolase,,pytH,,,2009,10.1007/s00128-007-9314-4,SUPPLEMENTED,C0LA90,19581484,Cloning of a novel pyrethroid-hydrolyzing carboxylesterase gene from Sphingobium sp. strain JZ-1 and characterization of the gene product.,Reviewed UniProt enzyme; experimentally characterized pyrethroid hydrolysis.,NO,READY_FOR_MANUAL_REVIEW
