pesticide,microorganism,evidence_type,evidence_type_original,evidence_type_mapping_note,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_accession,ncbi_protein_accession,year,doi,collection_category,uniprot_accession,pubmed_id,source_title,curation_notes,already_in_current_master_exact_accession
"2,4-D / chlorophenoxy herbicides",Delftia acidovorans (Pseudomonas acidovorans) (Comamonas acidovorans),Purified (Activity),Publication-linked enzyme record; manual verification required,Publication title indicates direct enzyme activity or characterization.,Oxidoreductase,(R)-phenoxypropionate/alpha-ketoglutarate-dioxygenase (RdpA) (EC 1.14.11.44) ((R)-dichlorprop/(R)-mecoprop dioxygenase) (Alpha-ketoglutarate-dependent dioxygenase) (Dichlorprop/alpha-ketoglutarate-dioxygenase) (Mecoprop/alpha-ketoglutarate-dioxygenase),,rdpA,,,2004,10.1128/AEM.70.9.5357-5365.2004,SUPPLEMENTED,P83310,15345421; 12501996; 15073309,"Localization and characterization of two novel genes encoding stereospecific dioxygenases catalyzing 2(2,4-dichlorophenoxy)propionate cleavage in Delftia acidovorans MC1.","Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Delftia acidovorans (Pseudomonas acidovorans) (Comamonas acidovorans),Purified (Activity),Publication-linked enzyme record; manual verification required,Publication title indicates direct enzyme activity or characterization.,Oxidoreductase,(S)-phenoxypropionate/alpha-ketoglutarate-dioxygenase (SdpA) (EC 1.14.11.43) ((S)-dichlorprop/(S)-mecoprop dioxygenase) (Alpha-ketoglutarate-dependent dioxygenase) (Dichlorprop/alpha-ketoglutarate-dioxygenase) (Mecoprop/alpha-ketoglutarate-dioxygenase),,sdpA,,,2004,10.1128/AEM.70.9.5357-5365.2004,SUPPLEMENTED,P83309,15345421; 12501996; 15073309,"Localization and characterization of two novel genes encoding stereospecific dioxygenases catalyzing 2(2,4-dichlorophenoxy)propionate cleavage in Delftia acidovorans MC1.","Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Burkholderia sp. (strain RASC),Purified (Activity),Publication-linked enzyme record; manual verification required,Publication title indicates direct enzyme activity or characterization.,Oxidoreductase,"Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase (2,4-D dioxygenase) (EC 1.14.11.-)",,tfdA,,,1996,10.1128/aem.62.7.2464-2469.1996,SUPPLEMENTED,Q45423,8779585,"Characterization of a chromosomally encoded 2,4-dichlorophenoxyacetic acid/alpha-ketoglutarate dioxygenase from Burkholderia sp. strain RASC.","Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
Atrazine,Pseudomonas sp. strain ADP,Purified (Activity),Purified enzyme / gene characterization,Direct mapping from supplemental label: Purified enzyme / gene characterization,Hydrolase,Atrazine chlorohydrolase,,atzA,,WP_011117157.1,1996,10.1128/jb.178.16.4894-4900.1996,SUPPLEMENTED,P72156,8759853,"Atrazine chlorohydrolase from Pseudomonas sp. strain ADP: gene sequence, enzyme purification, and protein characterization.",Experimentally purified/characterized atrazine dechlorination enzyme; also supported by gene cloning publication PMID 7574646.,NO
Atrazine,Pseudomonas sp. strain ADP,Purified (Activity),Purified enzyme / pathway characterization,Direct mapping from supplemental label: Purified enzyme / pathway characterization,Hydrolase,Hydroxyatrazine ethylaminohydrolase,,atzB,,WP_011117160.1,1997,10.1128/aem.63.3.916-923.1997,SUPPLEMENTED,P95442,9055410,The atzB gene of Pseudomonas sp. strain ADP encodes the second enzyme of a novel atrazine degradation pathway.,Experimentally assigned second enzyme in atrazine degradation pathway; later mechanistic work PMID 17660279.,NO
Atrazine,Pseudomonas sp. strain ADP,Purified (Activity),Purified enzyme / pathway characterization,Direct mapping from supplemental label: Purified enzyme / pathway characterization,Hydrolase,N-isopropylammelide isopropylaminohydrolase,,atzC,,WP_011117177.1,1998,10.1128/JB.180.1.152-158.1998,SUPPLEMENTED,O52063,9422605,AtzC is a new member of the amidohydrolase protein superfamily and is homologous to other atrazine-metabolizing enzymes.,Experimentally characterized atrazine pathway enzyme; purified substrate-range work PMID 12218024.,NO
Chlorpyrifos / methyl parathion,Stutzerimonas stutzeri,Recombinant (Activity),Enzyme engineering / activity assay,Direct mapping from supplemental label: Enzyme engineering / activity assay,Hydrolase,Methyl parathion hydrolase,,mpd,,,2014,10.1111/lam.12155,SUPPLEMENTED,H9ZVH5,24010722,Improving methyl parathion hydrolase to enhance its chlorpyrifos-hydrolysing efficiency.,Experimentally assayed engineered/improved chlorpyrifos hydrolysis; include with note if you allow enzyme variants.,NO
Dicamba,Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia),Recombinant (Activity),Publication-linked enzyme record; manual verification required,Publication title indicates cloned/recombinant protein analysis.,Oxidoreductase,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-) (Dicamba monooxygenase) (DMO) (Three-component Rieske non-heme iron oxygenase system)",,ddmC,,,2005,10.1074/jbc.M500597200,SUPPLEMENTED,Q5S3I3,15855162; 15820213; 16535584; 19616009; 19616011,"A three-component dicamba O-demethylase from Pseudomonas maltophilia, strain DI-6: gene isolation, characterization, and heterologous expression.",Imported from UniProt query 'dicamba monooxygenase'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Methyl parathion / p-nitrophenol,Pseudomonas sp. strain WBC-3,Recombinant (Activity),Catabolic pathway / structural characterization,Direct mapping from supplemental label: Catabolic pathway / structural characterization,Hydrolase,Methyl parathion hydrolase,,mpd,,,2005,10.1016/j.bbrc.2005.07.006,SUPPLEMENTED,Q841S6,16039612,Plasmid-borne catabolism of methyl parathion and p-nitrophenol in Pseudomonas sp. strain WBC-3.,Experimentally studied methyl parathion catabolism; protein structure also reported PMID 16181636.,NO
Parathion / organophosphates,Sphingobium fuliginis ATCC 27551,Recombinant (Activity),Gene-protein relationship / enzyme characterization,Direct mapping from supplemental label: Gene-protein relationship / enzyme characterization,Hydrolase,Parathion hydrolase / phosphotriesterase,,opd,,,1989,10.1128/jb.171.12.6740-6746.1989,SUPPLEMENTED,P0A433,2556372,Parathion hydrolase specified by the Flavobacterium opd gene: relationship between the gene and protein.,Experimentally linked opd gene to parathion hydrolase protein from ATCC 27551.,NO
