Microorganism,Culture_type,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,Metabolite_or_product
Lysinibacillus cresolivuorans Strain HIS7,Individual strain,Cypermethrin,Experimental evidence,Contaminated soil,Egypt,2021,,,,10.3390/plants10091903,
Lysinibacillus sp. CBMAI2051,Individual strain,Esfenvalerate,Experimental evidence,Savannah,Brazil,2020,,,,10.21577/0103-5053.20200051,Pyrethroid ester-cleavage products
Bacillus cereus CBMAI2067,Individual strain,Esfenvalerate,Experimental evidence,Savannah,Brazil,2020,,,,10.21577/0103-5053.20200051,Pyrethroid ester-cleavage products
Bacillus sp. CBMAI2052,Individual strain,Esfenvalerate,Experimental evidence,Savannah,Brazil,2020,Hydrolases,Carboxylesterases,,10.21577/0103-5053.20200051,Pyrethroid ester-cleavage products
Penicillium raistrickii CBMAI 931,Individual strain,Esfenvalerate,Experimental evidence,Marine sponge,Brazil,2015,,,,10.1007/s10126-016-9710-z,
Aspergillus sydowii CBMAI 935,Individual strain,Esfenvalerate,Experimental evidence,Marine sponge,Brazil,2015,,,,10.1007/s10126-016-9710-z,
Cladosporium sp. CBMAI 1237,Individual strain,Esfenvalerate,Experimental evidence,Marine sponge,Brazil,2015,,,,10.1007/s10126-016-9710-z,
Microsphaeropsis sp. CBMAI 1675,Individual strain,Esfenvalerate,Experimental evidence,Marine sponge,Brazil,2015,,,,10.1007/s10126-016-9710-z,
Acremonium sp. CBMAI 1676,Individual strain,Esfenvalerate,Experimental evidence,Marine sponge,Brazil,2015,,,,10.1007/s10126-016-9710-z,
Westerdykella sp. CBMAI 1679,Individual strain,Esfenvalerate,Experimental evidence,Marine sponge,Brazil,2015,,,,10.1007/s10126-016-9710-z,
Cladosporium sp. CBMAI 1678,Individual strain,Esfenvalerate,Experimental evidence,Marine sponge,Brazil,2015,,,,10.1007/s10126-016-9710-z,
Azospirillum species,Individual strain,Ethion,Experimental evidence,Contaminated soil,Australia,2004,,,,10.1016/j.femsle.2004.09.010,
Pseudomonas species,Individual strain,Ethion,Experimental evidence,Contaminated soil,Australia,2004,,,,10.1016/j.femsle.2004.09.010,
Lactobacillus plantarum P9,Individual strain,Phosmet,Experimental evidence,Fermented food,Mangolia,2018,,,,10.3389/fmicb.2018.02048,
Agrobacterium radiobacter P230,Individual strain,Phosmet,Enzymatic evidence,Contaminated soil,Australia,2002,,,OpdA,10.1128/AEM.68.7.3371-3376.2002,
Enterobacter agglomerans,Individual strain,Phosmet,Experimental evidence,Blueberry,United States,2007,,,,10.1111/j.1750-3841.2007.00466.x,Phthalimide; N-hydroxymethyl phthalimide; Phthalamic acid; Phthalic acid
Pseudomonas fluorescens,Individual strain,Phosmet,Experimental evidence,Blueberry,United States,2007,,,,10.1111/j.1750-3841.2007.00466.x,Phthalimide; N-hydroxymethyl phthalimide; Phthalamic acid; Phthalic acid
Bacillus subtilis GB03,Individual strain,Acibenzolar-S-methyl,Experimental evidence,Commercial PGPR strain,United States,2011,,,,10.1007/s10532-011-9509-6,
Bacillus subtilis FZB24,Individual strain,Acibenzolar-S-methyl,Experimental evidence,Commercial PGPR strain,Germany,2011,,,,10.1007/s10532-011-9509-6,
Bacillus amyloliquefaciens IN937a,Individual strain,Acibenzolar-S-methyl,Experimental evidence,"Culture collection, Dept. of Entomology & Plant Pathology",United States,2011,,,,10.1007/s10532-011-9509-6,
Bacillus pumilus SE34,Individual strain,Acibenzolar-S-methyl,Experimental evidence,"Culture collection, Dept. of Entomology & Plant Pathology",United States,2011,,,,10.1007/s10532-011-9509-6,
Pseudomonas oleovorans SA2,Individual strain,Clothianidin,Experimental evidence,Not specified,India,2024,,,,10.1021/acsomega.3c09749,
Pseudomonas stutzeri strain SMK,Individual strain,Clothianidin,Experimental evidence,Agricultural soil,India,2019,,,,10.1155/2019/4807913,
Alcaligenes eutrophus JMP134,Individual strain,"2,4-D",Experimental evidence,"Not stated (lab strain, Australia origin in literature)",,1985,Dioxygenases,Fe(II)/α-KG dependent dioxygenase,"TfdA, TfdB, TfdC. TfdD, TfdE, TfdC1/TfdCII",10.1128/jb.161.1.85-90.1985,
Alcaligenes eutrophus JMP134,Individual strain,"2,4-D",Experimental evidence,"Not stated (lab strain, Australia origin in literature)",,1985,Monooxygenases,Chlorophenol hydroxylase,,10.1128/jb.161.1.85-90.1985,
Alcaligenes eutrophus JMP134,Individual strain,"2,4-D",Experimental evidence,"Not stated (lab strain, Australia origin in literature)",,1985,Dioxygenases,"Chlorocatechol 1,2-dioxygenase",,10.1128/jb.161.1.85-90.1985,
Alcaligenes eutrophus JMP134,Individual strain,"2,4-D",Experimental evidence,"Not stated (lab strain, Australia origin in literature)",,1985,Isomerases,Chloromuconate cycloisomerase,,10.1128/jb.161.1.85-90.1985,
Alcaligenes eutrophus JMP134,Individual strain,"2,4-D",Experimental evidence,"Not stated (lab strain, Australia origin in literature)",,1985,Hydrolases,Dienelactone hydrolase,,10.1128/jb.161.1.85-90.1985,
Alcaligenes eutrophus JMP134,Individual strain,"2,4-D",Experimental evidence,"Not stated (lab strain, Australia origin in literature)",,1985,Dioxygenases,"Chlorocatechol 1,2-dioxygenases",,10.1128/jb.161.1.85-90.1985,
Sphingomonas sp. TFD44,Individual strain,"2,4-D",Experimental evidence,Japan (NIAES culture),Japan,2005,Dioxygenases,Catechol dioxygenase,"tfdCDEF, tfdCII, tfdDII, tfdEII, tfdFII, + tfdK",10.1007/s00203-004-0748-3,
Sphingomonas sp. TFD44,Individual strain,"2,4-D",Enzymatic evidence,Herbicide wastewater treatment facility,USA,2005,,,"tfdC, tfdC2",10.1016/j.bbrc.2005.05.045,
Escherichia coli JMP502,Individual strain,"2,4-D",Experimental evidence,"Schuchardt, Mtinchen",USA,1983,,,TfdA,10.1007/BF00407938,
Sphingomonas paucimobilis 1443,Individual strain,"2,4-D",Experimental evidence,Agricultural field soil,China,1994,,,"tfdA, tfdB",10.1128/aem.60.4.1116-1120.1994,
Pseudomonas pickettii 712,Individual strain,"2,4-D",Experimental evidence,Agricultural soils,China,1994,,,tfdA,10.1128/aem.60.4.1116-1120.1994,
Cupriavidus campinensis BJ71,Individual strain,"2,4-D",Experimental evidence,Agricultural soils,China,2014,,,tfdA,10.1007/s11274-014-1680-6,
Ochrobactrum anthropi,Individual strain,"2,4-D",Experimental evidence,Agricultural soils,China,2014,,,tfdA,10.1007/s11274-014-1680-6,
Bacillus spp.,Individual strain,"2,4-D",Experimental evidence,Agricultural soils,China,2014,,,tfdA,10.1007/s11274-014-1680-6,
Stenotrophomonas sp.,Individual strain,"2,4-D",Experimental evidence,Agricultural soils,China,2014,,,tfdA,10.1007/s11274-014-1680-6,
Pseudomonas sp.,Individual strain,"2,4-D",Experimental evidence,Agricultural soils,China,2014,,,tfdA,10.1007/s11274-014-1680-6,
Arthrobacter sp.,Individual strain,"2,4-D",Experimental evidence,Soil,USA,1969,,,"tfdC, tfdD, tfdE, tfdF",10.1021/jf60165a037,
Arthrobacter sp.,Individual strain,"2,4-D",Experimental evidence,Soil,USA,1973,,,tfD,10.1128/am.26.3.445-447.1973,
Pseudomonas cepacia,Individual strain,"2,4-D",Experimental evidence,Soil,Not mentioned,1991,Monooxygenases,"2,4-dichlorophenol hydroxylase",,10.1016/0003-9861(91)90180-q,
