pesticide,current_pathway_status,stepwise_arrow_count,folder_found,real_pdf_count,html_placeholder_count,top_candidate_papers,doi_candidates_from_queue,automated_evidence_signal,needed_information_for_kegg_like_arrow,recommended_next_action,sample_files_from_usb_folder
"2,4-D",Stepwise pathway integrated,8,No,0,0,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,
2-Phenylphenol,Stepwise pathway integrated,3,Yes,29,0,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,"All-in-one continuous electrochemical monitoring of 2-phenylphenol removal from water by electro-Fenton treatment..pdf | Catalytic degradation of kraft lignin to determine its antioxidant potential for industrial purposes..pdf | Cloning of bacterial genes specifying degradation of 4-chlorobiphenyl from Pseudomonas putida OU83..pdf | Degradation of 2-hydroxybiphenyl and 2,2'-dihydroxybiphenyl by Pseudomonas sp. strain HBP1..pdf"
Abamectin,Stepwise pathway integrated,4,Yes,18,0,Effect of soil fumigants on degradation of abamectin and their combination synergistic effect to root-knot nematode..pdf | Photodegradation of the acaricide abamectin a kinetic study..pdf | Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism..pdf | Microbial degradation of abamectin in reservoir water.pdf | Time profile of abamectin and doramectin excretion and degradation in sheep faeces..pdf,10.1002/jssc.201401234; 10.1002/ps.1503; 10.1002/ps.2303; 10.1002/ps.3535 | 10.1021/jf8014848 | 10.1016/j.resmic.2015.04.002 | 10.1007/s10646-006-0085-1 | 10.1016/j.envpol.2005.12.019,candidate_gene/enzyme_plus_pathway,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,"Contribution of insect gut microbiota and their associated enzymes in insect physiology and biodegradation of pesticides..pdf | Degradation of abamectin and doramectin on sheep grazed pasture..pdf | Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism..pdf | Degradation of sex pheromone and plant volatile components by an antennal glutathione S-transferase in the oriental fruit moth,Grapholita molesta Busck (Lepidoptera Tortricidae)..pdf"
Acephate,Stepwise pathway integrated,13,Yes,42,0,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,A Comprehensive Review of Multifunctional Nanozymes for Degradation and Detection of Organophosphorus Pesticides in the Environment..pdf | Aerobic dichlorvos degradation by iPseudomonas stutzerii smk complete pathway and implications for toxicity in iMus musculusi..pdf | Aflatoxin Bâ‚ degradation by a Pseudomonas strain..pdf | Are the issues involving acephate already resolved A scientometric review..pdf
Acetamiprid,Stepwise pathway integrated,1,Yes,2,0,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,Acetamiprid_10.1371_journal.pone.0082603.pdf | Acetamiprid_10.3389_fmicb.2020.01429.pdf
Acetochlor,Stepwise pathway integrated,1,Yes,0,24,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | Biodegradation_of_di_n_Butyl_Phthalate_by_Achromobacter_sp__Isolated_from_Rural_.pdf | Characterization_of_a_novel_amidohydrolase_with_promiscuous_esterase_activity_fr.pdf | Characterization_of_a_Sequential_UV_Photolysis_Biodegradation_Process_for_Treatm.pdf
Acibenzolar-S-methyl,Needs stepwise product/intermediate screening (candidate papers available),0,Yes,8,0,Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth..pdf | Modification of the existing maximum residue levels for acibenzolar-S-methyl in beans with pods and peas with pods..pdf | Modification of the existing maximum residue levels for acibenzolar-S-methyl in aubergines and cucurbits with edible and inedible peel..pdf | Attenuation and soil biodegradation of fungicides by using vegetated buffer strips in vineyards during a simulated rainfall-runoff event..pdf | Postharvest acibenzolar-S-methyl treatment maintains storage quality and retards softening of apple fruit..pdf,10.1007/s10532-011-9509-6 | 10.2903/j.ef; 10.2903/j.efsa.2013.3122; 10.2903/j.efsa.2017; 10.2903/j.efsa.2017.4929 | 10.2903/j.efsa; 10.2903/j.efsa.2011.2632; 10.2903/j.efsa.2017; 10.2903/j.efsa.2017.4929 | 10.1007/s11356-023-27766-9 | 10.1002/jsfa.9326; 10.1002/jsfa.9376; 10.1007/s0021; 10.1007/s4216,candidate_gene/enzyme_plus_pathway,"Substrate, product/intermediate, transformation type, gene/protein/enzyme if reported, organism, DOI/reference.",Screen the strongest papers for identified metabolites/products and convert supported reactions into pathway steps.,Attenuation and soil biodegradation of fungicides by using vegetated buffer strips in vineyards during a simulated rainfall-runoff event..pdf | Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth..pdf | Influence of Bacillus subtilis and Trichoderma harzianum on Penthiopyrad Degradation under Laboratory and Field Studies.pdf | Modification of the existing maximum residue level for acibenzolar-S-methyl in hazelnuts..pdf
Aldrin and Dieldrin,Stepwise pathway integrated,2,No,0,0,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,
Ametoctradin,Stepwise pathway integrated,4,Yes,3,0,Accelerated Biodegradation of the Agrochemical Ametoctradin by Soil-Derived Microbial Consortia..pdf | Modification of the existing maximum residue level for ametoctradin in honey..pdf | Modification of the existing maximum residue levels for ametoctradin in herbs and edible flowers..pdf,10.1002/jctb.6390; 10.1007/978-981-10; 10.1007/BF0049; 10.1007/BF02467676 | 10.2903/j.efsa.2012.2921; 10.2903/j.efsa.2018.5147; 10.2903/j.efsa.2020.5990; 10.2903/j.efsa.2021 | 10.2903/j.efsa; 10.2903/j.efsa.2007.32r; 10.2903/j.efsa.2009.1367; 10.2903/j.efsa.2012.2921,candidate_gene/enzyme_plus_pathway,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,Accelerated Biodegradation of the Agrochemical Ametoctradin by Soil-Derived Microbial Consortia..pdf | Modification of the existing maximum residue level for ametoctradin in honey..pdf | Modification of the existing maximum residue levels for ametoctradin in herbs and edible flowers..pdf
Azinphos-Methyl,Full-text re-download needed,0,Yes,0,5,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Microbial_Degradation_of_Pesticide_Residues_and_an_Emphasis_on_the_Degradation_o.pdf | Organophosphorus_pesticide_degradation_product_in_vitro_metabolic_stability_and_.pdf | Photodegradation_of_pesticides_using_compound_specific_isotope_analysis__CSIA___.pdf | Screening_for__i_Lactobacillus_plantarum__i__Strains_That_Possess_Organophosphor.pdf
