id,name,role,cas_number,pubchem_cid,smiles,inchikey,pubchem_url,structure_image_url,structure_status,description
146,"(3,5-dichlorophenylurea) acetic acid",METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
30,(E)-1-formyl-2-phenyldiazene,METABOLITE,,13955506,C1=CC=C(C=C1)N=NC=O,ZLDVXJIQNDSWPK-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/13955506,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/13955506/PNG,structure_available,
163,"1,2-Benzenedicarboxylic acid",METABOLITE,,1017,C1=CC=C(C(=C1)C(=O)O)C(=O)O,XNGIFLGASWRNHJ-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/1017,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/1017/PNG,structure_available,
175,"1,2-benzenedicarboxylic butyl dacyl ester",METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
196,"1,2-dimethyl-3,5-dinitro-4-N(buta-1,3-dien-2-yl)-dinitrobenzenamine-N-oxide",METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
197,"1,2-dimethyl-3,5-dinitro-4-N(prop-1-en-2-yl)-dinitrobenzenamine-N-oxide",METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
44,"1,3-bis(2,4-difluoro-3,5-dichlorophenyl)urea",METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
1,"1,4-Dimethylnaphthalene",PESTICIDE,571-58-4,11304,CC1=CC=C(C2=CC=CC=C12)C,APQSQLNWAIULLK-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/11304,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11304/PNG,structure_available,"Parent pesticide/sprout inhibitor. Current microbial-degradation curation supports disappearance of the parent compound, but no confirmed 1,4-DMN metabolite pathway has been resolved in the imported batch."
177,"1-(2,4-dichlorophenyl)-2-(1H-1,2,4-triazol-1-yl) ethanone",METABOLITE,,739374,C1=CC(=C(C=C1Cl)Cl)C(=O)CN2C=NC=N2,XOHMICFWUQPTNP-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/739374,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/739374/PNG,structure_available,
178,"1-[2-(4-chlorophenyl)ethyl]-1H-1,2,4-triazole",METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
179,"1-ethyl-1H-1,2,4-triazole",METABOLITE,,519305,CCN1C=NC=N1,FEOIYPLRWRCSMS-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/519305,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/519305/PNG,structure_available,
135,1-naphthol,METABOLITE,,7005,C1=CC=C2C(=C1)C=CC=C2O,KJCVRFUGPWSIIH-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/7005,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/7005/PNG,structure_available,
29,"1-phenyl-3-hydroxy-1,2,4-triazole (PHT)",METABOLITE,,77910,C1=CC=C(C=C1)N2C=NC(=O)N2,QCDMYEHBRNFUQG-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/77910,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/77910/PNG,structure_available,
28,"1-phenyl-3-hydroxy-1,2,4-triazole (PHT) + O,O-diethyl phosphorothioic acid",METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
91,"2,3,4,5,6-pentachloroaniline",METABOLITE,,10693,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)N,KHCZSJXTDDHLGJ-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/10693,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/10693/PNG,structure_available,
97,"2,3,4,5-tetrachloroaniline",METABOLITE,,12466,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)N,GBKZRUCVLTWAML-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/12466,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/12466/PNG,structure_available,
96,"2,3,5,6-tetrachloroaniline",METABOLITE,,18998,C1=C(C(=C(C(=C1Cl)Cl)N)Cl)Cl,YTDHEFNWWHSXSU-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/18998,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/18998/PNG,structure_available,
50,"2,3-Dihydroxybiphenyl",METABOLITE,,254,C1=CC=C(C=C1)C2=C(C(=CC=C2)O)O,YKOQAAJBYBTSBS-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/254,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/254/PNG,structure_available,
103,"2,4-D",PESTICIDE,,1486,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,OVSKIKFHRZPJSS-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/1486,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/1486/PNG,structure_available,
106,"2,4-dichloro-cis,cis-muconate",METABOLITE,,5280635,C(=C(\C=C(/C(=O)O)\Cl)/Cl)\C(=O)O,FHXOPKKNGKBBKG-DXLKSGPOSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/5280635,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5280635/PNG,structure_available,
104,"2,4-dichlorophenol",METABOLITE,,8449,C1=CC(=C(C=C1Cl)Cl)O,HFZWRUODUSTPEG-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/8449,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/8449/PNG,structure_available,
43,"2,4-difluoro-3,5-dichloroaniline",METABOLITE,,2774000,C1=C(C(=C(C(=C1Cl)F)Cl)F)N,KLECNQGLBJHVSH-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/2774000,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/2774000/PNG,structure_available,
41,"2,6-difluorobenzamide",METABOLITE,,87439,C1=CC(=C(C(=C1)F)C(=O)N)F,AVRQBXVUUXHRMY-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/87439,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/87439/PNG,structure_available,
42,"2,6-difluorobenzoic acid",METABOLITE,,9796,C1=CC(=C(C(=C1)F)C(=O)O)F,ONOTYLMNTZNAQZ-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/9796,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/9796/PNG,structure_available,
51,"2-Hydroxy-6-oxo-6-phenyl-2,4-hexadienoic acid",METABOLITE,,5460220,C1=CC=C(C=C1)/C(=C\C=C\C(=O)C(=O)O)/O,YOVXRIACERVBAG-AJQRHIRFSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/5460220,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5460220/PNG,structure_available,
49,2-Hydroxybiphenyl,METABOLITE,,7017,C1=CC=C(C=C1)C2=CC=CC=C2O,LLEMOWNGBBNAJR-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/7017,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/7017/PNG,structure_available,
212,2-Phenylphenol,PESTICIDE,,7017,C1=CC=C(C=C1)C2=CC=CC=C2O,LLEMOWNGBBNAJR-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/7017,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/7017/PNG,structure_available,
45,"2-[[(3,5-dichlorophenyl)carbamoyl]oxy]-2-methyl-3-butenoic acid",METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
133,2-aminobenzimidazole,METABOLITE,,13624,C1=CC=C2C(=C1)NC(=N2)N,JWYUFVNJZUSCSM-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/13624,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/13624/PNG,structure_available,
