pesticide,paper_title,doi,publication_year,microorganism_or_strain,evidence_category,source_pdf,pesticide_specific_context,biodegradation_term_hits,gene_enzyme_term_hits,pathway_metabolite_term_hits,pesticide_mentions,pesticide_degradation_contexts,microbial_contexts_near_pesticide,gene_enzyme_contexts_near_pesticide,curation_source_folder
Abamectin,Ecotoxicology (2006) 15:495–502,10.1007/s10646-006-0085-1,2006,,Gene/enzyme and pathway/metabolite evidence,Microbial degradation of abamectin in reservoir water.pdf,"ounds (Kümmerer, was to identify the toxicity of abamectin on bacteria, al- 2001; Boxall et al. 2003a, b). Consequently, the environgae, daphnids, and fish. An extremely high toxicity of mental fate of many pharmaceuticals is not well known avermectin to the survival and reproduction of Daphnia (Halling-Sorensen et al. 1998). magna was observed in 21-day exposure tests. Zebrafish Veterinary drugs such as the avermectins (e.g. iverand the algae Scenedesmus subspicatus are less sensitive mectin, abamectin, doramectin) are commonly used in to avermectin. The compound is expected to have adverse veterinary medicine as anthelmintics against internal and effects on the aquatic environment due to its high toxic- external parasites of cattle, pigs, and horses, sheep, and ity, even at very low concentrations, to daphnids and to goats (Campbell and Benz 1984; Suarez 2002). In most fish. cases up",8,7,14,89,17,27,0,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Abamectin/PesticideDB_curation_Abamectin_20260707
Abamectin,Environmental Pollution 144 (2006) 197e202,10.1016/j.envpol.2005.12.019,2006,,Gene/enzyme and pathway/metabolite evidence,Time profile of abamectin and doramectin excretion and degradation in sheep faeces..pdf,"Environmental Pollution 144 (2006) 197e202 www.elsevier.com/locate/envpol Time profile of abamectin and doramectin excretion and degradation in sheep faeces Lucija Kolar a,*, Vesna Cerkvenik Flajs b, Jernej Ku zner a, Irena Marc c, Milan Poga cnik d, Andrej Bidovec e, Cornelis A.M. van Gestel f, Nevenka Ko zuh Er zen a a Institute of Physiology, Pharmacology and Toxicology, Veterinary Faculty, University of Ljubljana, Gerbi ceva 60, SI-1000 Ljubljana, Slovenia b Institute of Food Hygiene and Bromatology, Veterinary Faculty, University of Ljubljana, Gerbi ceva 60, SI-1000 Ljubljana, Slovenia c",11,2,10,47,9,1,2,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Abamectin/PesticideDB_curation_Abamectin_20260707
Abamectin,"J. Agric. Food Chem. 2008, 56, 7355–7359 7355",10.1021/jf8014848,2008,,Gene/enzyme and pathway/metabolite evidence,Photodegradation of the acaricide abamectin a kinetic study..pdf,"J. Agric. Food Chem. 2008, 56, 7355–7359 7355 Photodegradation of the Acaricide Abamectin: A Kinetic Study JUAN PABLO ESCALADA,† JOSÉ GIANOTTI,† ADRIANA PAJARES,† WALTER A. MASSAD,‡ FRANCISCO AMAT-GUERRI,§ AND NORMAN A. GARCÍA*,‡ Unidad Académica Río Gallegos, Universidad Nacional de la Patagonia Austral, 9400 Río Gallegos, Argentina, Departamento de Química, Universidad Nacional de Río Cuarto, 5800 Río Cuarto, Argentina, and Instituto de Química Orgánica, CSIC, Juan de la Cierva 3, 28006 Madrid, Spain The acaricide abamectin is a mixture of two colorless homologues in a molar ra",48,8,24,29,27,5,9,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Abamectin/PesticideDB_curation_Abamectin_20260707
Abamectin,Research in Microbiology 166 (2015) 408e418,10.1016/j.resmic.2015.04.002,2015,ABM biodegradation products of; ADP adsorption to layered; Burkholderia sp GB-01 for; DP-2. J Enhanced biotransformation; E56; KB2. Int Biodeter Biodegr,Gene/enzyme and pathway/metabolite evidence,Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism..pdf,"Research in Microbiology 166 (2015) 408e418 www.elsevier.com/locate/resmic Original article Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism Yuan-Shan Wang a,b, Xing-Chang Zheng a,b, Qi-Wei Hu a,b, Yu-Guo Zheng a,b,* a Institute of Bioengineering, Zhejiang University of Technology, No. 18, Chaowang Road, Hangzhou, Zhejiang 310014, PR China b Engineering Research Center of Bioconversion and Biopurification of Ministry of Education, Zhejiang University of Technology, No. 18, Chaowang Road, Hangzhou, Zhejiang 310014, PR Ch",171,17,64,14,13,13,2,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Abamectin/PesticideDB_curation_Abamectin_20260707
Abamectin,Effect of soil fumigants on degradation of,10.1002/jssc.201401234,2018,Burkholderia sp. GB-01 for,Gene/enzyme and pathway/metabolite evidence,Effect of soil fumigants on degradation of abamectin and their combination synergistic effect to root-knot nematode..pdf,"RESEARCH ARTICLE Effect of soil fumigants on degradation of abamectin and their combination synergistic effect to root-knot nematode Bin Huang1, Jun Li1, Qian Wang1, Meixia Guo1,2, Dongdong Yan1,2, Wensheng Fang1,2, Zongjie Ren1, Qiuxia Wang1,2, Canbin Ouyang1,2, Yuan Li1,2, Aocheng Cao1,2* 1 Institute of Plant Protection, Chinese Academy of Agricultural Sciences, Beijing, China, 2 State Key Laboratory for Biology of Plant Disease and Insect Pests, Beijing, China a1111111111 * caoac@vip.sina.com a1111111111 a1111111111 a1111111111 Abstract a1111111111 Background",76,2,22,62,32,9,3,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Abamectin/PesticideDB_curation_Abamectin_20260707
Acibenzolar-S-methyl,Biodegradation (2012) 23:297–310,10.1007/s10532-011-9509-6,2012,B. amyloliquefaciens IN937a and; B. pumilus SE34 more; Bordetella sp. B9. Biodegradation; FZB24; GB03. The PGPR strains; IN937a,Gene/enzyme and pathway/metabolite evidence,Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth..pdf,"Biodegradation (2012) 23:297–310 DOI 10.1007/s10532-011-9509-6 ORIGINAL PAPER Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth Charalampos K. Myresiotis • Zisis Vryzas • Euphemia Papadopoulou-Mourkidou Received: 21 March 2011 / Accepted: 16 August 2011 / Published online: 26 August 2011 Ó Springer Science+Business Media B.V. 2011 Abstract A laboratory study was conducted to of acibenzolar-S-methyl incubated in the presence of investigate the influence of four PGPR strains on PGPR strains spiked at 1.0 and 10.0 mg kg-1 were the degradation of five soil applied pesticides and 10.3–16.4 and 9.2–15.9 days, respectively, markedly their effects on bacterial growth. Interactions of lower compared with[34.2 days in the control. From Bacillus subtilis GB03, Bacillus subtilis FZB24, the rest pesticide",144,6,20,33,32,28,1,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acibenzolar-S-methyl/PesticideDB_curation_Acibenzolar_S_methyl_20260707
Acibenzolar-S-methyl,Received: 17 September 2019 | Revised: 10 December 2019 | Accepted: 18 December 2019,10.1002/jsfa.9326,2020,,Gene/enzyme and pathway/metabolite evidence,Postharvest acibenzolar-S-methyl treatment maintains storage quality and retards softening of apple fruit..pdf,"ess, activity of pectin Funding information methylesterase, and polygalacturonase. Cellulase, β-glucosidase, and degradation of National Natural Science Foundation of protopectin in apple fruit were also suppressed by ASM treatment during storage. China, Grant/Award Number: 31801595; China Postdoctoral Science Foundation, In conclusion, ASM could maintain fruit quality by regulating cell wall-degrading enGrant/Award Number: 2018M630277 zymes during storage. Practical applications Application of acibenzolar-S-methyl after harvest has the potential of delaying fruit softening by regulating cell wall-degrading enzymes, thus retain fruit quality. KEYWORDS acibenzolar-S-methyl, cell wall-degrading enzyme, ethylene production rate, Malus domestica Borkh, respiratory rate 1 | I NTRO D U C TI O N which, flesh firmness is a vital quality characteristic which directly in fluence the preference of",9,35,10,8,4,2,4,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acibenzolar-S-methyl/PesticideDB_curation_Acibenzolar_S_methyl_20260707
Acibenzolar-S-methyl,Environmental Science and Pollution Research (2023) 30:83678–83686,10.1007/s11356-023-27766-9,2023,,Gene/enzyme and pathway/metabolite evidence,Attenuation and soil biodegradation of fungicides by using vegetated buffer strips in vineyards during a simulated rainfall-runoff event..pdf,"ght protection in the US; foreign copyright protection may apply 2023 Abstract Rainfall–runoff events occurring in vineyard fields can result in pesticide ground losses and the subsequent pollution of surface water bodies, derivate from the crop protection spray applications. In this study, the capacity of vegetated buffer strips (BS) to prevent surface water pollution due to the application of five fungicide products typically used in vineyards (copper, dimethomorph, oxathiapiprolin, zoxamide, acibenzolar-s-methyl, and laminarin) following a simulated run-off event has been assessed, and compared to that from a bare ground soil (BG). Two strips (5 m in length, each), one with vegetation and the other without were built up, and two different experiments were performed, a runoff event and a soil fungicide degradation kinetic evaluation. The runoff results show that fungicide mass retentio",51,6,43,6,5,4,2,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acibenzolar-S-methyl/PesticideDB_curation_Acibenzolar_S_methyl_20260707
Acibenzolar-S-methyl,ADOPTED: 28 January 2021,10.2903/j.ef,2025,,Gene/enzyme and pathway/metabolite evidence,Modification of the existing maximum residue levels for acibenzolar-S-methyl in beans with pods and peas with pods..pdf,"iol Magrans, Ileana Miron, Stefanie Nave, Ragnor Pedersen, Hermine Reich, Alejandro Rojas, Angela Sacchi, Miguel Santos, Alessia Pia Scarlato, Anne Theobald, Benedicte Vagenende and Alessia Verani Abstract In accordance with Article 6 of Regulation (EC) No 396/2005, the applicant Syngenta France SAS submitted a request to the competent national authority in France to amend the residue deﬁnition for risk assessment and to modify the existing maximum residue levels (MRLs) for the active substance acibenzolar-S-methyl in beans (with pods) and peas (with pods). The toxicological data submitted in support of this MRL application were found to be sufﬁcient to conclude that the plant metabolite 4-OH acibenzolar acid is not genotoxic in vitro, however lacking investigation of the general toxicity, a deﬁnitive conclusion cannot be derived whether 4-OH acibenzolar acid (free and conjugated) should",130,43,151,202,18,0,11,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acibenzolar-S-methyl/PesticideDB_curation_Acibenzolar_S_methyl_20260707
Acibenzolar-S-methyl,APPROVED: 10 April 2018,10.2903/j.efsa,2025,,Gene/enzyme and pathway/metabolite evidence,Modification of the existing maximum residue levels for acibenzolar-S-methyl in aubergines and cucurbits with edible and inedible peel..pdf,") 0.01 to 0.4 mg/kg for cucurbits with edible peel, and 0.15 mg/kg for cucurbits with inedible peel and aubergines. EFSA assessed the application and the evaluation report as required by Article 10 of the MRL regulation. Based on the conclusions derived by EFSA in the framework of Regulation (EC) No 1107/2009, the data evaluated under previous MRL assessment and the additional data provided by the EMS in the framework of this application, the following conclusions are derived. The metabolism of acibenzolar-S-methyl following foliar applications was investigated in crops belonging to the fruit, leafy and cereals crop groups. Hydrolysis studies investigating the effect of processing on the nature of acibenzolar-S-methyl demonstrated that the acibenzolar-S-methyl is stable under pasteurisation and baking-like processes and likely to degrade to acibenzolar acid under sterilisation conditions",21,10,36,95,11,0,4,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acibenzolar-S-methyl/PesticideDB_curation_Acibenzolar_S_methyl_20260707
