acquisition_priority,pesticide,priority_group,doi,doi_url,google_scholar_url,target_usb_folder,suggested_pdf_filename,database_record_count,protein_record_count,database_gene_leads,database_enzyme_leads,database_microbe_leads,source_action,pathway_extraction_rule,oa_check_status,is_oa,oa_status,best_oa_pdf_url,best_oa_landing_url,best_oa_host_type,best_oa_license,download_status,downloaded_pdf_path
1,Acetamiprid,No local readable file - literature search needed,10.1007/s10532-018-9855-8,https://doi.org/10.1007/s10532-018-9855-8,https://scholar.google.com/scholar?q=10.1007/s10532-018-9855-8,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid,Acetamiprid_10.1007_s10532-018-9855-8.pdf,19,18,"pnhA (highest activity) | Nhase | CYP5147A3 | Multiple CYP genes (11 upregulated) | AceAB | AnhD,
9 AnhE, and AnhA | AnhD | AnhE | AnhA | Nhase α-subunit | +4 more",Amidases | P450 | Nitrile hydratase | Amidase,Acinetobacter sp. | Afipia sp. | Ensifer adhaerens CGMCC 6315 | Ensifer meliloti CGMCC 7333 | Fusarium sp. CS-3 | Microbacterium  sp. | Ochrobactrum sp. D-12 | Phanerochaete chrysosporium ME-446 | +9 more,"Use database DOI leads first; obtain full text and extract substrate, product/intermediate, reaction, enzyme/gene, organism, DOI, and evidence wording.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,False,closed,,,,,not_attempted,
1,Acetamiprid,No local readable file - literature search needed,10.1007/s11356-016-6482-y,https://doi.org/10.1007/s11356-016-6482-y,https://scholar.google.com/scholar?q=10.1007/s11356-016-6482-y,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid,Acetamiprid_10.1007_s11356-016-6482-y.pdf,19,18,"pnhA (highest activity) | Nhase | CYP5147A3 | Multiple CYP genes (11 upregulated) | AceAB | AnhD,
9 AnhE, and AnhA | AnhD | AnhE | AnhA | Nhase α-subunit | +4 more",Amidases | P450 | Nitrile hydratase | Amidase,Acinetobacter sp. | Afipia sp. | Ensifer adhaerens CGMCC 6315 | Ensifer meliloti CGMCC 7333 | Fusarium sp. CS-3 | Microbacterium  sp. | Ochrobactrum sp. D-12 | Phanerochaete chrysosporium ME-446 | +9 more,"Use database DOI leads first; obtain full text and extract substrate, product/intermediate, reaction, enzyme/gene, organism, DOI, and evidence wording.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,False,closed,,,,,not_attempted,
1,Acetamiprid,No local readable file - literature search needed,10.1016/j.biortech.2013.03.193,https://doi.org/10.1016/j.biortech.2013.03.193,https://scholar.google.com/scholar?q=10.1016/j.biortech.2013.03.193,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid,Acetamiprid_10.1016_j.biortech.2013.03.193.pdf,19,18,"pnhA (highest activity) | Nhase | CYP5147A3 | Multiple CYP genes (11 upregulated) | AceAB | AnhD,
9 AnhE, and AnhA | AnhD | AnhE | AnhA | Nhase α-subunit | +4 more",Amidases | P450 | Nitrile hydratase | Amidase,Acinetobacter sp. | Afipia sp. | Ensifer adhaerens CGMCC 6315 | Ensifer meliloti CGMCC 7333 | Fusarium sp. CS-3 | Microbacterium  sp. | Ochrobactrum sp. D-12 | Phanerochaete chrysosporium ME-446 | +9 more,"Use database DOI leads first; obtain full text and extract substrate, product/intermediate, reaction, enzyme/gene, organism, DOI, and evidence wording.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,False,closed,,,,,not_attempted,
1,Acetamiprid,No local readable file - literature search needed,10.1016/j.jhazmat.2019.03.042,https://doi.org/10.1016/j.jhazmat.2019.03.042,https://scholar.google.com/scholar?q=10.1016/j.jhazmat.2019.03.042,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid,Acetamiprid_10.1016_j.jhazmat.2019.03.042.pdf,19,18,"pnhA (highest activity) | Nhase | CYP5147A3 | Multiple CYP genes (11 upregulated) | AceAB | AnhD,
9 AnhE, and AnhA | AnhD | AnhE | AnhA | Nhase α-subunit | +4 more",Amidases | P450 | Nitrile hydratase | Amidase,Acinetobacter sp. | Afipia sp. | Ensifer adhaerens CGMCC 6315 | Ensifer meliloti CGMCC 7333 | Fusarium sp. CS-3 | Microbacterium  sp. | Ochrobactrum sp. D-12 | Phanerochaete chrysosporium ME-446 | +9 more,"Use database DOI leads first; obtain full text and extract substrate, product/intermediate, reaction, enzyme/gene, organism, DOI, and evidence wording.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,True,green,,https://shizuoka.repo.nii.ac.jp/records/11369,repository,cc-by-nc-nd,no_pdf_url,
1,Acetamiprid,No local readable file - literature search needed,10.1021/acs.jafc.8b06154,https://doi.org/10.1021/acs.jafc.8b06154,https://scholar.google.com/scholar?q=10.1021/acs.jafc.8b06154,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid,Acetamiprid_10.1021_acs.jafc.8b06154.pdf,19,18,"pnhA (highest activity) | Nhase | CYP5147A3 | Multiple CYP genes (11 upregulated) | AceAB | AnhD,
9 AnhE, and AnhA | AnhD | AnhE | AnhA | Nhase α-subunit | +4 more",Amidases | P450 | Nitrile hydratase | Amidase,Acinetobacter sp. | Afipia sp. | Ensifer adhaerens CGMCC 6315 | Ensifer meliloti CGMCC 7333 | Fusarium sp. CS-3 | Microbacterium  sp. | Ochrobactrum sp. D-12 | Phanerochaete chrysosporium ME-446 | +9 more,"Use database DOI leads first; obtain full text and extract substrate, product/intermediate, reaction, enzyme/gene, organism, DOI, and evidence wording.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,False,closed,,,,,not_attempted,
1,Acetamiprid,No local readable file - literature search needed,10.1021/jf503557t,https://doi.org/10.1021/jf503557t,https://scholar.google.com/scholar?q=10.1021/jf503557t,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid,Acetamiprid_10.1021_jf503557t.pdf,19,18,"pnhA (highest activity) | Nhase | CYP5147A3 | Multiple CYP genes (11 upregulated) | AceAB | AnhD,
9 AnhE, and AnhA | AnhD | AnhE | AnhA | Nhase α-subunit | +4 more",Amidases | P450 | Nitrile hydratase | Amidase,Acinetobacter sp. | Afipia sp. | Ensifer adhaerens CGMCC 6315 | Ensifer meliloti CGMCC 7333 | Fusarium sp. CS-3 | Microbacterium  sp. | Ochrobactrum sp. D-12 | Phanerochaete chrysosporium ME-446 | +9 more,"Use database DOI leads first; obtain full text and extract substrate, product/intermediate, reaction, enzyme/gene, organism, DOI, and evidence wording.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,False,closed,,,,,not_attempted,
1,Acetamiprid,No local readable file - literature search needed,10.1080/09593330.2022.2026488,https://doi.org/10.1080/09593330.2022.2026488,https://scholar.google.com/scholar?q=10.1080/09593330.2022.2026488,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid,Acetamiprid_10.1080_09593330.2022.2026488.pdf,19,18,"pnhA (highest activity) | Nhase | CYP5147A3 | Multiple CYP genes (11 upregulated) | AceAB | AnhD,
9 AnhE, and AnhA | AnhD | AnhE | AnhA | Nhase α-subunit | +4 more",Amidases | P450 | Nitrile hydratase | Amidase,Acinetobacter sp. | Afipia sp. | Ensifer adhaerens CGMCC 6315 | Ensifer meliloti CGMCC 7333 | Fusarium sp. CS-3 | Microbacterium  sp. | Ochrobactrum sp. D-12 | Phanerochaete chrysosporium ME-446 | +9 more,"Use database DOI leads first; obtain full text and extract substrate, product/intermediate, reaction, enzyme/gene, organism, DOI, and evidence wording.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,False,closed,,,,,not_attempted,
1,Acetamiprid,No local readable file - literature search needed,10.1128/AEM.02425-19,https://doi.org/10.1128/AEM.02425-19,https://scholar.google.com/scholar?q=10.1128/AEM.02425-19,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid,Acetamiprid_10.1128_AEM.02425-19.pdf,19,18,"pnhA (highest activity) | Nhase | CYP5147A3 | Multiple CYP genes (11 upregulated) | AceAB | AnhD,
9 AnhE, and AnhA | AnhD | AnhE | AnhA | Nhase α-subunit | +4 more",Amidases | P450 | Nitrile hydratase | Amidase,Acinetobacter sp. | Afipia sp. | Ensifer adhaerens CGMCC 6315 | Ensifer meliloti CGMCC 7333 | Fusarium sp. CS-3 | Microbacterium  sp. | Ochrobactrum sp. D-12 | Phanerochaete chrysosporium ME-446 | +9 more,"Use database DOI leads first; obtain full text and extract substrate, product/intermediate, reaction, enzyme/gene, organism, DOI, and evidence wording.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,True,green,,https://www.ncbi.nlm.nih.gov/pmc/articles/7054090,repository,,no_pdf_url,
1,Acetamiprid,No local readable file - literature search needed,10.1371/journal.pone.0082603,https://doi.org/10.1371/journal.pone.0082603,https://scholar.google.com/scholar?q=10.1371/journal.pone.0082603,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid,Acetamiprid_10.1371_journal.pone.0082603.pdf,19,18,"pnhA (highest activity) | Nhase | CYP5147A3 | Multiple CYP genes (11 upregulated) | AceAB | AnhD,
9 AnhE, and AnhA | AnhD | AnhE | AnhA | Nhase α-subunit | +4 more",Amidases | P450 | Nitrile hydratase | Amidase,Acinetobacter sp. | Afipia sp. | Ensifer adhaerens CGMCC 6315 | Ensifer meliloti CGMCC 7333 | Fusarium sp. CS-3 | Microbacterium  sp. | Ochrobactrum sp. D-12 | Phanerochaete chrysosporium ME-446 | +9 more,"Use database DOI leads first; obtain full text and extract substrate, product/intermediate, reaction, enzyme/gene, organism, DOI, and evidence wording.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,True,gold,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0082603&type=printable,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0082603&type=printable,publisher,cc-by,downloaded_open_access_pdf,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid/Acetamiprid_10.1371_journal.pone.0082603.pdf
1,Acetamiprid,No local readable file - literature search needed,10.3389/fmicb.2020.01429,https://doi.org/10.3389/fmicb.2020.01429,https://scholar.google.com/scholar?q=10.3389/fmicb.2020.01429,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid,Acetamiprid_10.3389_fmicb.2020.01429.pdf,19,18,"pnhA (highest activity) | Nhase | CYP5147A3 | Multiple CYP genes (11 upregulated) | AceAB | AnhD,
9 AnhE, and AnhA | AnhD | AnhE | AnhA | Nhase α-subunit | +4 more",Amidases | P450 | Nitrile hydratase | Amidase,Acinetobacter sp. | Afipia sp. | Ensifer adhaerens CGMCC 6315 | Ensifer meliloti CGMCC 7333 | Fusarium sp. CS-3 | Microbacterium  sp. | Ochrobactrum sp. D-12 | Phanerochaete chrysosporium ME-446 | +9 more,"Use database DOI leads first; obtain full text and extract substrate, product/intermediate, reaction, enzyme/gene, organism, DOI, and evidence wording.","Import only if the paper reports a substrate-to-product/intermediate transformation, reaction/enzyme/gene evidence, and organism/source context.",checked,True,gold,https://www.frontiersin.org/articles/10.3389/fmicb.2020.01429/pdf,https://www.frontiersin.org/articles/10.3389/fmicb.2020.01429/pdf,publisher,cc-by,downloaded_open_access_pdf,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid/Acetamiprid_10.3389_fmicb.2020.01429.pdf
