pesticide,pathway_name,microorganism,completeness,step_order,substrate,product,reaction_label,enzyme,gene,evidence_type,doi,reference_title,source_pdf,evidence_note
"2,4-D","Curated tfd/pca pathway for 2,4-D degradation",Engineered Escherichia coli strain BL-3164; Cupriavidus pinatubonensis JMP134 pathway genes,COMPLETE,1,"2,4-D","2,4-dichlorophenol",alpha-ketoglutarate-dependent dioxygenation / ether cleavage,"2,4-dichlorophenoxyacetate dioxygenase",tfdA,GENETIC,10.1016/j.jhazmat.2023.131099,"Engineered E. coli expression of 2,4-D degradation pathway genes tfdA-F and pcaIJF",Database curated protein/evidence records; source PDF not local,"PesticideDB protein records include tfdA as the first 2,4-D degradation enzyme in the engineered tfd/pca pathway."
"2,4-D","Curated tfd/pca pathway for 2,4-D degradation",Cupriavidus pinatubonensis JMP134; engineered Escherichia coli strain BL-3164,COMPLETE,2,"2,4-dichlorophenol","3,5-dichlorocatechol",Hydroxylation,"2,4-dichlorophenol 6-monooxygenase",tfdB,GENETIC,10.1016/j.jhazmat.2023.131099,"Engineered E. coli expression of 2,4-D degradation pathway genes tfdA-F and pcaIJF",Database curated protein/evidence records; source PDF not local,"PesticideDB protein records include tfdB/2,4-dichlorophenol 6-monooxygenase for the chlorophenol-to-chlorocatechol step."
"2,4-D","Curated tfd/pca pathway for 2,4-D degradation",Engineered Escherichia coli strain BL-3164,COMPLETE,3,"3,5-dichlorocatechol","2,4-dichloro-cis,cis-muconate",Ring cleavage,"Chlorocatechol 1,2-dioxygenase",tfdC,GENETIC,10.1016/j.jhazmat.2023.131099,"Engineered E. coli expression of 2,4-D degradation pathway genes tfdA-F and pcaIJF",Database curated protein/evidence records; source PDF not local,"PesticideDB protein records include tfdC/chlorocatechol 1,2-dioxygenase for chlorocatechol ortho-cleavage."
"2,4-D","Curated tfd/pca pathway for 2,4-D degradation",Engineered Escherichia coli strain BL-3164,COMPLETE,4,"2,4-dichloro-cis,cis-muconate",Dienelactone,Cycloisomerization,Chloromuconate cycloisomerase,tfdD,GENETIC,10.1016/j.jhazmat.2023.131099,"Engineered E. coli expression of 2,4-D degradation pathway genes tfdA-F and pcaIJF",Database curated protein/evidence records; source PDF not local,PesticideDB protein records include tfdD/chloromuconate cycloisomerase downstream of chlorocatechol ring cleavage.
"2,4-D","Curated tfd/pca pathway for 2,4-D degradation",Engineered Escherichia coli strain BL-3164,COMPLETE,5,Dienelactone,Maleylacetate,Hydrolysis,Dienelactone hydrolase,tfdE,GENETIC,10.1016/j.jhazmat.2023.131099,"Engineered E. coli expression of 2,4-D degradation pathway genes tfdA-F and pcaIJF",Database curated protein/evidence records; source PDF not local,PesticideDB protein records include tfdE/dienelactone hydrolase in the lower chlorocatechol pathway.
"2,4-D","Curated tfd/pca pathway for 2,4-D degradation",Engineered Escherichia coli strain BL-3164,COMPLETE,6,Maleylacetate,3-oxoadipate,Reduction,Maleylacetate reductase,tfdF,GENETIC,10.1016/j.jhazmat.2023.131099,"Engineered E. coli expression of 2,4-D degradation pathway genes tfdA-F and pcaIJF",Database curated protein/evidence records; source PDF not local,PesticideDB protein records include tfdF/maleylacetate reductase connecting the chlorocatechol route to beta-ketoadipate metabolism.
"2,4-D","Curated tfd/pca pathway for 2,4-D degradation",Engineered Escherichia coli strain BL-3164,COMPLETE,7,3-oxoadipate,3-oxoadipyl-CoA,CoA transfer,Succinyl-CoA:3-oxoadipate CoA transferase,pcaI/pcaJ,GENETIC,10.1016/j.jhazmat.2023.131099,"Engineered E. coli expression of 2,4-D degradation pathway genes tfdA-F and pcaIJF",Database curated protein/evidence records; source PDF not local,PesticideDB protein records include pcaI and pcaJ as beta-ketoadipate pathway CoA-transferase subunits.
"2,4-D","Curated tfd/pca pathway for 2,4-D degradation",Engineered Escherichia coli strain BL-3164,COMPLETE,8,3-oxoadipyl-CoA,Acetyl-CoA + Succinyl-CoA,Thiolysis,Beta-ketoadipyl-CoA thiolase,pcaF,GENETIC,10.1016/j.jhazmat.2023.131099,"Engineered E. coli expression of 2,4-D degradation pathway genes tfdA-F and pcaIJF",Database curated protein/evidence records; source PDF not local,PesticideDB protein records include pcaF as the thiolase producing central-carbon-metabolism products.
MCPA,Initial tfdA-catalyzed MCPA cleavage,Ralstonia eutropha JMP134; Comamonas acidovorans MC1; Cupriavidus spp.,PARTIAL,1,MCPA,4-chloro-2-methylphenol,alpha-ketoglutarate-dependent ether cleavage,Phenoxyalkanoic acid dioxygenase,tfdA,GENETIC,10.1128/jb.184.15.4054-4064.2002,Genetic and microbial evidence for tfdA-mediated MCPA degradation,Database curated evidence records; source PDF not local,Database records link MCPA degradation to tfdA/tfd-like phenoxy acid degradation genes; this batch imports only the conservative initial cleavage product.
Carbofuran,Carbofuran hydrolase-mediated carbamate cleavage,Achromobacter sp. WM111,PARTIAL,1,Carbofuran,Carbofuran phenol,Carbamate hydrolysis,Carbofuran hydrolase,mcd,GENETIC,10.1128/jb.171.7.4038-4044.1989,Cloning and expression of a carbofuran hydrolase gene from Achromobacter sp. WM111,Database curated evidence records; source PDF not local,Database records link Achromobacter sp. WM111 carbofuran degradation to mcd/carbofuran hydrolase; only the primary hydrolysis product is imported here.
