pesticide,microorganism,evidence_type,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_protein_accession,year,doi,uniprot_accession,sequence_available,collection_category,annotation_basis
Lindane,Petrimonas sulfuriphila PET,Experimental evidence — 41.2% degraded (58.8% residual); γ-HCH/chlorobenzene measured chromatographically,,2-haloacid dehalogenase; cobalamin-associated dehalogenation,,2-haloacid dehalogenase and cobalamin-biosynthesis genes,,2025,10.1016/j.watres.2024.122730,,No,CURATED,additional_2025-2026-search.xlsx
Lindane,Robertmurraya sp. CYTO,Experimental evidence — 54.4% degraded (45.6% residual); chromatographic confirmation,,2-haloacid dehalogenase; cobalamin-associated dehalogenation,,2-haloacid dehalogenase and cobalamin-biosynthesis genes,,2025,10.1016/j.watres.2024.122730,,No,CURATED,additional_2025-2026-search.xlsx
Lindane,Hungatella sp. CloS1,Experimental evidence — 39.8% degraded (60.2% residual); chromatographic confirmation,,2-haloacid dehalogenase; cobalamin-associated dehalogenation,,2-haloacid dehalogenase and cobalamin-biosynthesis genes,,2025,10.1016/j.watres.2024.122730,,No,CURATED,additional_2025-2026-search.xlsx
Lindane,Enterococcus avium PseS3,Experimental evidence — 30.7% degraded (69.3% residual); chromatographic confirmation,,2-haloacid dehalogenase; cobalamin-associated dehalogenation,,2-haloacid dehalogenase and cobalamin-biosynthesis genes,,2025,10.1016/j.watres.2024.122730,,No,CURATED,additional_2025-2026-search.xlsx
Lindane,Sphingobium japonicum UT26 engineered derivatives,Experimental and enzymatic evidence — quantitative γ-HCH/metabolites by GC-ECD after 60 min; assimilation by plate assay/qPCR,Haloalkane dehalogenase,DmmA; Rluc_anc; Rluc_anc_R7P; LinB comparator,,dmmA; rluc_anc; rluc_anc_R7P; linA; linB; linC,,2025,10.1093/bbb/zbaf022,,No,CURATED,additional_2025-2026-search.xlsx
Lindane,Klebsiella sp. ASNY6,Experimental evidence — 100 ppm initial; quantitative GC kinetic decline over 8 d; γ-PCCH detected by GC-MS (RT 8.814 min); TLC confirmation,Dechlorinase,Dechlorinase activity; identity unresolved,,,,2026,10.21276/pt.2026.v3.i1.12,,No,CURATED,additional_2025-2026-search.xlsx
Lindane,Anaerobic enrichment culture,Experimental evidence — removal rate increased 33.3±1.2 to 85.3±4.5 µM/d; MCB/benzene by headspace GC-FID; H2 by GC-TCD; 16S profiling,,Reductive dechlorination activity; enzyme not isolated,,,,2026,10.1016/j.jhazmat.2026.142242,,No,CURATED,additional_2025-2026-search.xlsx
Lindane,Sphingobium japonicum UT26 LinA expressed in Arabidopsis,Enzymatic evidence — >90% removed in 4 weeks; TCB and DCB products chemically detected,Dehydrochlorinase,LinA,,linA,,2026,10.1111/1751-7915.70409,P51697,Yes,CURATED,additional_2025-2026-search.xlsx
Glyphosate,Burkholderia cepacia TBr1,Experimental evidence — 67% degradation of 15 mg/mL within 7 d,C–P lyase activity,C–P lyase,,,,2026,10.48048/tis.2026.12865,,No,CURATED,additional_2025-2026-search.xlsx
Glyphosate,Bacillus velezensis TBr12,Experimental evidence — 76% degradation of 15 mg/mL within 7 d,C–P lyase activity,C–P lyase,,,,2026,10.48048/tis.2026.12865,,No,CURATED,additional_2025-2026-search.xlsx
Glyphosate,Stenotrophomonas maltophilia GP-1,Enzymatic evidence — metabolites sarcosine/glycine by TLC and LC-MS/MS; C–P lyase activity 0.4 U,C–P lyase,Glyphosate-specific C–P lyase,,phn operon; phnJ; sox,,2025,10.1007/s10532-025-10169-7,,No,CURATED,additional_2025-2026-search.xlsx
Thiamethoxam,Anaerobic aquatic microbial community,"Experimental evidence — 85.92% removal at 200 mg/L nitrate; 7.45-fold control; electrochemistry, ETSA/NADH, enzyme assays and metatranscriptomics",Reductases; catalase,Nitrate reductase; nitrite reductase; catalase,,Functional genes identified by metatranscriptomics,,2025,10.1016/j.envres.2025.122141,,No,CURATED,additional_2025-2026-search.xlsx
Thiamethoxam,Anaerobic microbial community,"Experimental evidence — nitrite produced 15.9-fold higher removal than control; electrochemical, enzymatic and microbial analyses",Nitrogen-cycle enzymes,Enzyme activities reported; names require full text,,Functional genes profiled,,2025,10.1016/j.jece.2025.119002,,No,CURATED,additional_2025-2026-search.xlsx
Thiamethoxam,Tolypothrix tenuis,Experimental evidence — 95.7% degradation; LC-MS quantified residues and products,,Intracellular enzymes and ROS implicated,,,,2026,10.3390/w18030304,,No,CURATED,additional_2025-2026-search.xlsx
