pesticidedb_protein_id,pesticide,microorganism,gene_name,reported_protein_name,doi,uniprot_accession,ncbi_protein_accession,structure_curation_status,reason,recommended_next_step
PDBP0221,Lindane,Petrimonas sulfuriphila PET,2-haloacid dehalogenase and cobalamin-biosynthesis genes,2-haloacid dehalogenase; cobalamin-associated dehalogenation,10.1016/j.watres.2024.122730,,,needs_accession_or_sequence_curation,"A specific gene/protein is reported, but no public UniProt/NCBI accession or FASTA sequence has been curated yet.","Check the article supplement, GenBank/NCBI Protein, UniProt, or contact/source data for the exact accession or sequence."
PDBP0222,Lindane,Robertmurraya sp. CYTO,2-haloacid dehalogenase and cobalamin-biosynthesis genes,2-haloacid dehalogenase; cobalamin-associated dehalogenation,10.1016/j.watres.2024.122730,,,needs_accession_or_sequence_curation,"A specific gene/protein is reported, but no public UniProt/NCBI accession or FASTA sequence has been curated yet.","Check the article supplement, GenBank/NCBI Protein, UniProt, or contact/source data for the exact accession or sequence."
PDBP0223,Lindane,Hungatella sp. CloS1,2-haloacid dehalogenase and cobalamin-biosynthesis genes,2-haloacid dehalogenase; cobalamin-associated dehalogenation,10.1016/j.watres.2024.122730,,,needs_accession_or_sequence_curation,"A specific gene/protein is reported, but no public UniProt/NCBI accession or FASTA sequence has been curated yet.","Check the article supplement, GenBank/NCBI Protein, UniProt, or contact/source data for the exact accession or sequence."
PDBP0224,Lindane,Enterococcus avium PseS3,2-haloacid dehalogenase and cobalamin-biosynthesis genes,2-haloacid dehalogenase; cobalamin-associated dehalogenation,10.1016/j.watres.2024.122730,,,needs_accession_or_sequence_curation,"A specific gene/protein is reported, but no public UniProt/NCBI accession or FASTA sequence has been curated yet.","Check the article supplement, GenBank/NCBI Protein, UniProt, or contact/source data for the exact accession or sequence."
PDBP0225,Lindane,Sphingobium japonicum UT26 engineered derivatives,dmmA; rluc_anc; rluc_anc_R7P; linA; linB; linC,DmmA; Rluc_anc; Rluc_anc_R7P; LinB comparator,10.1093/bbb/zbaf022,,,not_structure_eligible_from_current_metadata,"The row names a community, broad gene family, multiple genes, or unresolved enzyme rather than one accession-backed protein.",Return to the full text or sequence databases and split into single protein records only when a valid accession or sequence is available.
PDBP0226,Lindane,Klebsiella sp. ASNY6,,Dechlorinase activity; identity unresolved,10.21276/pt.2026.v3.i1.12,,,not_structure_eligible_from_current_metadata,"The row names a community, broad gene family, multiple genes, or unresolved enzyme rather than one accession-backed protein.",Return to the full text or sequence databases and split into single protein records only when a valid accession or sequence is available.
PDBP0227,Lindane,Anaerobic enrichment culture,,Reductive dechlorination activity; enzyme not isolated,10.1016/j.jhazmat.2026.142242,,,not_structure_eligible_from_current_metadata,"The row names a community, broad gene family, multiple genes, or unresolved enzyme rather than one accession-backed protein.",Return to the full text or sequence databases and split into single protein records only when a valid accession or sequence is available.
PDBP0228,Lindane,Sphingobium japonicum UT26 LinA expressed in Arabidopsis,linA,LinA,10.1111/1751-7915.70409,P51697,,structure_ready,Reviewed UniProt accession curated for this record.,Download AlphaFold/RCSB model and regenerate preview/report.
PDBP0229,Glyphosate,Burkholderia cepacia TBr1,,C–P lyase,10.48048/tis.2026.12865,,,not_structure_eligible_from_current_metadata,"The row names a community, broad gene family, multiple genes, or unresolved enzyme rather than one accession-backed protein.",Return to the full text or sequence databases and split into single protein records only when a valid accession or sequence is available.
PDBP0230,Glyphosate,Bacillus velezensis TBr12,,C–P lyase,10.48048/tis.2026.12865,,,not_structure_eligible_from_current_metadata,"The row names a community, broad gene family, multiple genes, or unresolved enzyme rather than one accession-backed protein.",Return to the full text or sequence databases and split into single protein records only when a valid accession or sequence is available.
PDBP0231,Glyphosate,Stenotrophomonas maltophilia GP-1,phn operon; phnJ; sox,Glyphosate-specific C–P lyase,10.1007/s10532-025-10169-7,,,not_structure_eligible_from_current_metadata,"The row names a community, broad gene family, multiple genes, or unresolved enzyme rather than one accession-backed protein.",Return to the full text or sequence databases and split into single protein records only when a valid accession or sequence is available.
PDBP0232,Thiamethoxam,Anaerobic aquatic microbial community,Functional genes identified by metatranscriptomics,Nitrate reductase; nitrite reductase; catalase,10.1016/j.envres.2025.122141,,,not_structure_eligible_from_current_metadata,"The row names a community, broad gene family, multiple genes, or unresolved enzyme rather than one accession-backed protein.",Return to the full text or sequence databases and split into single protein records only when a valid accession or sequence is available.
PDBP0233,Thiamethoxam,Anaerobic microbial community,Functional genes profiled,Enzyme activities reported; names require full text,10.1016/j.jece.2025.119002,,,not_structure_eligible_from_current_metadata,"The row names a community, broad gene family, multiple genes, or unresolved enzyme rather than one accession-backed protein.",Return to the full text or sequence databases and split into single protein records only when a valid accession or sequence is available.
PDBP0234,Thiamethoxam,Tolypothrix tenuis,,Intracellular enzymes and ROS implicated,10.3390/w18030304,,,not_structure_eligible_from_current_metadata,"The row names a community, broad gene family, multiple genes, or unresolved enzyme rather than one accession-backed protein.",Return to the full text or sequence databases and split into single protein records only when a valid accession or sequence is available.
PDBP0235,Profenofos,Pseudomonas aeruginosa BRD1,bphD; glpD; estB_1; estB_2; pdeB; pdeN; pdeG; gstB_2; yfcF; gstB_3; cpg2; lap; pepN,Phosphodiesterase; cytochrome P450; GST; hydrolases,10.22207/jpam.20.2.62,,,not_structure_eligible_from_current_metadata,"The row names a community, broad gene family, multiple genes, or unresolved enzyme rather than one accession-backed protein.",Return to the full text or sequence databases and split into single protein records only when a valid accession or sequence is available.
PDBP0236,Endosulfan,Bacillus subtilis strain UAMC,,Hydrolytic degradation enzymes,10.1007/s10532-026-10312-y,,,not_structure_eligible_from_current_metadata,"The row names a community, broad gene family, multiple genes, or unresolved enzyme rather than one accession-backed protein.",Return to the full text or sequence databases and split into single protein records only when a valid accession or sequence is available.
PDBP0237,Acephate,Pandoraea pnomenusa ZQ05,aca,Aca amidase,10.1016/j.biortech.2025.133298,,,needs_accession_or_sequence_curation,"A specific gene/protein is reported, but no public UniProt/NCBI accession or FASTA sequence has been curated yet.","Check the article supplement, GenBank/NCBI Protein, UniProt, or contact/source data for the exact accession or sequence."
PDBP0238,Acetochlor,Klebsiella michiganensis ES15,gst,Km-Gst,10.1016/j.pestbp.2025.106530,,,needs_accession_or_sequence_curation,"A specific gene/protein is reported, but no public UniProt/NCBI accession or FASTA sequence has been curated yet.","Check the article supplement, GenBank/NCBI Protein, UniProt, or contact/source data for the exact accession or sequence."
PDBP0239,Acetochlor,Rhizosphere microbiome enriched in Pseudomonas,dhaA; fdhA; mxaJ; K01455; norB; nemA,Dehalogenase/formaldehyde and nitrogen-metabolism enzymes,10.1016/j.jhazmat.2025.140635,,,not_structure_eligible_from_current_metadata,"The row names a community, broad gene family, multiple genes, or unresolved enzyme rather than one accession-backed protein.",Return to the full text or sequence databases and split into single protein records only when a valid accession or sequence is available.
